capture,condition,n,panel,phase,state,status
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,0,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,0,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,0,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,0,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,10,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,10,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,10,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,10,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,50,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,50,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,50,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,50,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,70,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,70,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,70,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,70,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,80,COMPLETED
