entry,kind,status,comparison,exact,field,layer,max_abs,relative_frobenius,metric,attention_mask_sha256,authority_user_text,blocks_execution,comparison_verdict,full_physical_max_abs,full_physical_rms,full_physical_valid_logits_bitwise_equal,input_ids_sha256,kernel,numerical_comparison_policy,sum_route_max_abs,sum_route_not_bitwise_assumed,sum_route_rms,threshold,tokens,vocabulary
50,HOOK,PASS,,,,L5,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.5735626220703125e-05,True,2.112341770829589e-06,0,14,128256
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,K,4,0.0,0.0,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,R,4,0.0,0.0,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,4,1.9441358745098114e-08,4.7568462448787544e-07,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,5,7.748603820800781e-07,5.111222324845229e-07,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,5,1.3113021850585938e-06,1.1118763158276287e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,5,1.0576331987977028e-07,1.858535717785612e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,6,2.6226043701171875e-06,1.0742390873516244e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,6,1.430511474609375e-06,1.203873200831189e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,6,2.1513551473617554e-07,2.850982747897149e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,7,3.5762786865234375e-06,1.3021669719477673e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,7,2.7418136596679688e-06,1.1675383709772527e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,7,2.8312206268310547e-07,3.35347279630279e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,8,1.9073486328125e-06,1.533888044273354e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,8,3.4570693969726562e-06,1.149332540135308e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,8,8.167698979377747e-07,4.353196581643186e-06,,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.9802322387695312e-06,,RS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.910064697265625e-05,,RS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.002716064453125e-05,,PS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.814697265625e-05,,PS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.1484832763671875e-05,,NS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.1484832763671875e-05,,NS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.9591064453125e-05,,N512,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.5299530029296875e-05,,H512/RS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.7670135498046875e-05,,H512/RS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,9.5367431640625e-05,,H512/PS,,,,,,,,,,,,,,,,
70,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,0.00012111663818359375,,H512/PS,,,,,,,,,,,,,,,,
70,HOOK,PASS,,,,L6,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.8596649169921875e-05,True,2.1994360891398723e-06,0,14,128256
70,HOOK,PASS,,,,L5,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.4781951904296875e-05,True,2.1174108587349748e-06,0,14,128256
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,K,4,0.0,0.0,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,R,4,0.0,0.0,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,4,2.62079993262887e-08,4.974920468963459e-07,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,5,7.152557373046875e-07,4.951005759659669e-07,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,5,1.9073486328125e-06,1.1198315042146924e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,5,1.9371509552001953e-07,1.977264611346506e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,6,1.4901161193847656e-06,9.909565174309442e-07,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,6,5.0067901611328125e-06,1.3034222884299078e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,6,2.4633482098579407e-07,3.091360861867272e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,7,1.6689300537109375e-06,1.0382459416327433e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,7,3.814697265625e-06,1.2685658339125184e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,7,4.386529326438904e-07,4.081729191878685e-06,,,,,,,,,,,,,,,,,
