phase,state,condition,panel,layer,space,context,variant,n,PR,top1,top5,trace,mean_energy,norm_ESS,norm_top1pct,zero_norm,source
E1,0,native,early,4,projected,writer_mean,raw,1000,507.31033111770506,0.02363826825409651,0.05074938638534306,7552.18102846269,0.0223697395533273,959.1373977900271,0.019713334124123384,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-projected-geometry.json
E1,0,native,early,4,projected,writer_mean,centered,1000,671.6809049818576,0.009683357767307013,0.03304064996697766,7383.240705796401,0.0223697395533273,959.1373977900271,0.019713334124123384,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-projected-geometry.json
E1,0,native,early,4,projected,writer_mean,unit_raw,1000,512.2989152544734,0.024201423237463507,0.05115799759584127,999.9999999999939,0.0223697395533273,959.1373977900271,0.019713334124123384,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-projected-geometry.json
E1,0,native,early,4,projected,writer_mean,unit_centered,1000,693.500020100786,0.010660852852369578,0.03282674425635297,977.1321245095022,0.0223697395533273,959.1373977900271,0.019713334124123384,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-projected-geometry.json
E1,0,native,early,4,raw,writer_mean,raw,1000,176.69453695914643,0.06595241670072634,0.09285080902895979,7925.155655721034,0.06498446530107096,961.1456516202503,0.019335576888259473,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-raw-geometry.json
E1,0,native,early,4,raw,writer_mean,centered,1000,663.8257152821234,0.01026667612413565,0.03410109375476544,7410.143653006245,0.06498446530107096,961.1456516202503,0.019335576888259473,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-raw-geometry.json
E1,0,native,early,4,raw,writer_mean,unit_raw,1000,173.52215314827316,0.06705145686212839,0.09390146367938361,999.9999999999957,0.06498446530107096,961.1456516202503,0.019335576888259473,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-raw-geometry.json
E1,0,native,early,4,raw,writer_mean,unit_centered,1000,684.4499640681931,0.01114450110700172,0.03393743055553372,933.8895937954221,0.06498446530107096,961.1456516202503,0.019335576888259473,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L4-raw-geometry.json
E1,0,native,early,5,projected,writer_mean,raw,1000,461.3436120305013,0.022387206394358497,0.0583721349419394,11080.706880082726,0.019273076004082335,954.2288464000648,0.018039113410663464,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L5-projected-geometry.json
E1,0,native,early,5,projected,writer_mean,centered,1000,558.8869321044169,0.012952787265081233,0.04559652483977675,10867.147574203935,0.019273076004082335,954.2288464000648,0.018039113410663464,0,/data/janghj/ODE-edit/local/alpha-key-concentration-causal/20260923-r1/execution/attempt-r3/geometry/E1/W000/native/early/L5-projected-geometry.json
