entry,branch,comparison,panel,metric,n,lost,gained,delta_pp,tf_lost,tf_gained,desired_nll_delta_mean,desired_nll_delta_p95,desired_nll_delta_p99,desired_nll_delta_max,lost_ids,gained_ids,cluster_cases,bootstrap_seed,bootstrap_repeats,descriptive_ci_low,descriptive_ci_high
50,SHAM,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,-7.755705155432225e-08,3.4309923648834226e-07,7.524713873863259e-07,1.4863908290863037e-06,,,100,20260924,2000,0.0,0.0
50,SHAM,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,-1.8032034859061242e-07,7.18235969543456e-06,1.7197132110595675e-05,2.1457672119140625e-05,,,100,20260924,2000,0.0,0.0
50,SHAM,same-entry NATIVE,Current,NS,1000,0,0,0.0,0,0,-7.959315553307534e-08,1.7109513282775876e-05,2.5036334991455076e-05,4.291534423828125e-05,,,100,20260924,2000,0.0,0.0
50,SHAM,same-entry NATIVE,H512_ALL,RS,512,0,0,0.0,0,0,-2.1073446987429634e-08,8.517503738403319e-06,1.751184463500975e-05,2.6702880859375e-05,,,,,,,
50,SHAM,same-entry NATIVE,H512_ALL,PS,1024,0,0,0.0,0,0,-3.259641516706324e-07,1.0949373245239247e-05,1.8945932388305645e-05,4.398822784423828e-05,,,,,,,
50,H5,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,-1.3258066028356552e-05,3.210674040019509e-05,6.492416374385373e-05,9.551551192998886e-05,,,100,20260924,2000,0.0,0.0
50,H5,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,-0.0003274928547398304,0.0010279536247253414,0.0061195278167724436,0.015965938568115234,,,100,20260924,2000,0.0,0.0
50,H5,same-entry NATIVE,Current,NS,1000,1,0,-0.1,1,1,-0.000639452578034252,0.005204010009765624,0.009240379333496092,0.021961212158203125,5f5b8c4695fe2a4d8b6de6f65a120e57f2e34df3f97234c14223d2c0c656d197,,100,20260924,2000,-0.3,0.0
50,H5,same-entry NATIVE,H512_ALL,RS,512,0,0,0.0,0,0,-0.0005633461967846642,0.007043015956878662,0.018896372318267823,0.05838203430175781,,,,,,,
50,H5,same-entry NATIVE,H512_ALL,PS,1024,0,0,0.0,0,0,-6.728763948871119e-05,0.011292657256126402,0.02313419938087463,0.037035465240478516,,,,,,,
50,H6,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,3.0231964628910646e-05,8.421316742896994e-05,0.0007582554221153283,0.0012121200561523438,,,100,20260924,2000,0.0,0.0
50,H6,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,-0.000205944439767336,0.0033360809087753197,0.014663866758346552,0.022303104400634766,,,100,20260924,2000,0.0,0.0
50,H6,same-entry NATIVE,Current,NS,1000,0,0,0.0,0,0,-0.0009185058064758777,0.007242941856384277,0.012924213409423829,0.020778656005859375,,,100,20260924,2000,0.0,0.0
50,H6,same-entry NATIVE,H512_ALL,RS,512,0,1,0.1953125,0,0,-0.0009142011741545275,0.00566977262496948,0.018030642867088307,0.08269023895263672,,c44a2ac5cea7acbe6101ee280c7b60051c04ff38ff724e5a73b5f4ad574d0a19,,,,,
50,H6,same-entry NATIVE,H512_ALL,PS,1024,0,1,0.09765625,0,1,-0.00026649356893670983,0.010656535625457734,0.027903480529785155,0.10126352310180664,,4e1144cf5a46ff9ac4208ec38522f87a5ad80d152ebb96f5807a3f82c9d3f618,,,,,
50,H56,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,1.6579797520535067e-05,6.284657865762709e-05,0.0006707805395126348,0.0007730424404144287,,,100,20260924,2000,0.0,0.0
50,H56,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,-0.0005290671727561858,0.003393051028251639,0.018328900337219147,0.030906200408935547,,,100,20260924,2000,0.0,0.0
50,H56,same-entry NATIVE,Current,NS,1000,1,1,0.0,1,1,-0.0015447620726190508,0.0098724365234375,0.018359279632568358,0.04079437255859375,5f5b8c4695fe2a4d8b6de6f65a120e57f2e34df3f97234c14223d2c0c656d197,e9f2dec08a5bef7951298448ff66fda875960fb68a27e2afd59680005a2862f9,100,20260924,2000,-0.3,0.3
50,H56,same-entry NATIVE,H512_ALL,RS,512,0,1,0.1953125,0,0,-0.00145898943797107,0.00928961932659149,0.03381975412368774,0.09740924835205078,,c44a2ac5cea7acbe6101ee280c7b60051c04ff38ff724e5a73b5f4ad574d0a19,,,,,
50,H56,same-entry NATIVE,H512_ALL,PS,1024,0,1,0.09765625,0,1,-0.0003223224382935541,0.01612185239791869,0.044523189067840564,0.08463788032531738,,4e1144cf5a46ff9ac4208ec38522f87a5ad80d152ebb96f5807a3f82c9d3f618,,,,,
50,MASS56,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,-1.86481251148507e-05,2.379587385803461e-07,7.097795605659509e-07,1.1818483471870422e-06,,,100,20260924,2000,0.0,0.0
50,MASS56,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,-5.402657203376293e-05,1.626871526241296e-05,0.00013076543807983258,0.0003218650817871094,,,100,20260924,2000,0.0,0.0
50,MASS56,same-entry NATIVE,Current,NS,1000,0,0,0.0,0,0,2.1476804278790952e-05,0.00016832351684570312,0.0003657770156860351,0.0016632080078125,,,100,20260924,2000,0.0,0.0
50,MASS56,same-entry NATIVE,H512_ALL,RS,512,0,0,0.0,0,0,1.8395294773654314e-05,0.00016049742698669433,0.0003730940818786612,0.0006284713745117188,,,,,,,
50,MASS56,same-entry NATIVE,H512_ALL,PS,1024,0,0,0.0,0,0,1.4820597414200165e-05,0.00016032457351684533,0.00027517318725585934,0.0008878707885742188,,,,,,,
70,SHAM,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,4.735775291919708e-09,3.468245267868042e-07,1.224726438522348e-06,2.9802322387695312e-06,,,100,20260924,2000,0.0,0.0
70,SHAM,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,2.31799203902483e-07,6.198883056640625e-06,1.5268325805664054e-05,1.9073486328125e-05,,,100,20260924,2000,0.0,0.0
70,SHAM,same-entry NATIVE,Current,NS,1000,0,0,0.0,0,0,1.420164480805397e-07,1.52587890625e-05,2.1939277648925777e-05,4.1484832763671875e-05,,,100,20260924,2000,0.0,0.0
70,SHAM,same-entry NATIVE,H512_ALL,RS,512,0,0,0.0,0,0,3.126042429357767e-07,1.2743473052978513e-05,2.4530887603759762e-05,4.1484832763671875e-05,,,,,,,
70,SHAM,same-entry NATIVE,H512_ALL,PS,1024,0,0,0.0,0,0,6.892878445796669e-08,1.239776611328125e-05,1.8486976623535148e-05,9.5367431640625e-05,,,,,,,
70,H5,same-entry NATIVE,Current,RS,100,0,0,0.0,0,0,-8.81272841070313e-06,7.228809408843509e-05,0.00017802510410547305,0.0002732686698436737,,,100,20260924,2000,0.0,0.0
70,H5,same-entry NATIVE,Current,PS,200,0,0,0.0,0,0,0.00045763184971292503,0.008597767353057811,0.02511633872985839,0.04220175743103027,,,100,20260924,2000,0.0,0.0
70,H5,same-entry NATIVE,Current,NS,1000,1,0,-0.1,0,0,3.953175153583288e-05,0.010522150993347164,0.019816336631774893,0.0606231689453125,b028d9014094710fe016763bf15600a89096fa0307e13ad9e62db1f25cadb999,,100,20260924,2000,-0.3,0.0
70,H5,same-entry NATIVE,H512_ALL,RS,512,1,0,-0.1953125,1,0,0.000898807820874481,0.021407055854797363,0.04459204792976373,0.093597412109375,b3c5e54fd88a14a46c33543f3586495f70521ac6881e7058d8b90157c519ab34,,,,,,
