after_nll_advantage,arm,before_nll_advantage,case_id,cell,entry_success,initially_failed,newly_forgotten,post_success
15.733864755369723,O_NATIVE,15.602223214693367,9563,0,True,False,False,True
8.226088762283325,O_NATIVE,8.017496064305305,12078,0,True,False,False,True
18.1898324702197,O_NATIVE,17.924817597377114,16738,0,True,False,False,True
14.678495817817748,O_NATIVE,14.445101055316627,19472,0,True,False,False,True
15.687858169490937,O_NATIVE,15.655935346730985,6818,0,True,False,False,True
11.449358447978739,O_NATIVE,11.282643812824972,5546,0,True,False,False,True
13.006553746759892,O_NATIVE,13.00351020693779,20622,0,True,False,False,True
8.178736209869385,O_NATIVE,7.8122395277023315,13220,0,True,False,False,True
13.26609040144831,O_NATIVE,13.350208168849349,8040,0,True,False,False,True
15.052328297286294,O_NATIVE,14.94542073237244,21857,0,True,False,False,True
15.76595853548497,ORBFH_HIST,15.602223214693367,9563,0,True,False,False,True
8.208070941269398,ORBFH_HIST,8.017496064305305,12078,0,True,False,False,True
18.17933358749724,ORBFH_HIST,17.924817597377114,16738,0,True,False,False,True
14.706059716641903,ORBFH_HIST,14.445101055316627,19472,0,True,False,False,True
15.71581858425634,ORBFH_HIST,15.655935346730985,6818,0,True,False,False,True
11.451648815593217,ORBFH_HIST,11.282643812824972,5546,0,True,False,False,True
13.049277685582638,ORBFH_HIST,13.00351020693779,20622,0,True,False,False,True
8.227250546216965,ORBFH_HIST,7.8122395277023315,13220,0,True,False,False,True
13.263440746348351,ORBFH_HIST,13.350208168849349,8040,0,True,False,False,True
15.039142861263826,ORBFH_HIST,14.94542073237244,21857,0,True,False,False,True
15.870790122076869,JV_NATIVE,15.602223214693367,9563,0,True,False,False,True
8.051172345876694,JV_NATIVE,8.017496064305305,12078,0,True,False,False,True
18.057922622479964,JV_NATIVE,17.924817597377114,16738,0,True,False,False,True
14.93078279029578,JV_NATIVE,14.445101055316627,19472,0,True,False,False,True
15.69627182482509,JV_NATIVE,15.655935346730985,6818,0,True,False,False,True
11.5687654906651,JV_NATIVE,11.282643812824972,5546,0,True,False,False,True
13.009840734302998,JV_NATIVE,13.00351020693779,20622,0,True,False,False,True
8.54682257771492,JV_NATIVE,7.8122395277023315,13220,0,True,False,False,True
13.192315893247724,JV_NATIVE,13.350208168849349,8040,0,True,False,False,True
15.028380929143168,JV_NATIVE,14.94542073237244,21857,0,True,False,False,True
15.81338769197464,ORB_RAY_N,15.602223214693367,9563,0,True,False,False,True
8.177913971245289,ORB_RAY_N,8.017496064305305,12078,0,True,False,False,True
18.20350839526509,ORB_RAY_N,17.924817597377114,16738,0,True,False,False,True
14.769841275177896,ORB_RAY_N,14.445101055316627,19472,0,True,False,False,True
15.739367303845938,ORB_RAY_N,15.655935346730985,6818,0,True,False,False,True
11.511096927686594,ORB_RAY_N,11.282643812824972,5546,0,True,False,False,True
13.029706310480833,ORB_RAY_N,13.00351020693779,20622,0,True,False,False,True
8.343530774116516,ORB_RAY_N,7.8122395277023315,13220,0,True,False,False,True
13.228899417445064,ORB_RAY_N,13.350208168849349,8040,0,True,False,False,True
15.06830431590788,ORB_RAY_N,14.94542073237244,21857,0,True,False,False,True
19.283612552448176,O_NATIVE,19.311233014333993,9563,1,True,False,False,True
15.192254734458402,O_NATIVE,15.096892895526253,12078,1,True,False,False,True
19.192732337010966,O_NATIVE,18.962498906694236,16738,1,True,False,False,True
19.718974813556997,O_NATIVE,19.925419178500306,19472,1,True,False,False,True
17.45544605446048,O_NATIVE,17.456308297027135,6818,1,True,False,False,True
13.110961935672094,O_NATIVE,13.082140227677883,5546,1,True,False,False,True
15.957855971064419,O_NATIVE,16.245902884285897,20622,1,True,False,False,True
16.868939486332238,O_NATIVE,17.05289464490488,13220,1,True,False,False,True
14.210298659163527,O_NATIVE,14.39582038903609,8040,1,True,False,False,True
16.516921559581533,O_NATIVE,16.277872847102117,21857,1,True,False,False,True
19.24963855103124,ORBFH_HIST,19.311233014333993,9563,1,True,False,False,True
15.06264650716912,ORBFH_HIST,15.096892895526253,12078,1,True,False,False,True
19.153143289586296,ORBFH_HIST,18.962498906694236,16738,1,True,False,False,True
19.69962273866986,ORBFH_HIST,19.925419178500306,19472,1,True,False,False,True
17.418664505676134,ORBFH_HIST,17.456308297027135,6818,1,True,False,False,True
13.127115628987667,ORBFH_HIST,13.082140227677883,5546,1,True,False,False,True
15.876844946295023,ORBFH_HIST,16.245902884285897,20622,1,True,False,False,True
16.923008419806138,ORBFH_HIST,17.05289464490488,13220,1,True,False,False,True
14.235537225496955,ORBFH_HIST,14.39582038903609,8040,1,True,False,False,True
16.505902075965423,ORBFH_HIST,16.277872847102117,21857,1,True,False,False,True
19.186781520722434,JV_NATIVE,19.311233014333993,9563,1,True,False,False,True
14.984514334355481,JV_NATIVE,15.096892895526253,12078,1,True,False,False,True
19.014252665947424,JV_NATIVE,18.962498906694236,16738,1,True,False,False,True
19.564332612149883,JV_NATIVE,19.925419178500306,19472,1,True,False,False,True
17.220825612399494,JV_NATIVE,17.456308297027135,6818,1,True,False,False,True
13.216825505660381,JV_NATIVE,13.082140227677883,5546,1,True,False,False,True
15.55062492750585,JV_NATIVE,16.245902884285897,20622,1,True,False,False,True
16.877047586487606,JV_NATIVE,17.05289464490488,13220,1,True,False,False,True
14.241126084583811,JV_NATIVE,14.39582038903609,8040,1,True,False,False,True
16.36682249692967,JV_NATIVE,16.277872847102117,21857,1,True,False,False,True
19.227410451392643,ORB_RAY_N,19.311233014333993,9563,1,True,False,False,True
15.026632663735654,ORB_RAY_N,15.096892895526253,12078,1,True,False,False,True
19.15370035458909,ORB_RAY_N,18.962498906694236,16738,1,True,False,False,True
19.630564924736973,ORB_RAY_N,19.925419178500306,19472,1,True,False,False,True
