alias,arm,backward,endpoint_seconds,forward,main_JVP,native_key_captures,peak_gpu_bytes,process_JV_over_O,process_seconds,solve_instrumented,target_seconds,write_including_endpoint_seconds
llama3-8b-inst,O_NATIVE,21025,795.1884985365905,26895,0,100,39115080192,1.0,10814.554998190142,50,6914.258127889596,2428.3470030487515
qwen2.5-7b-inst,O_NATIVE,13307,931.8711706558242,19178,0,100,40953551360,1.0,8627.021725771017,50,4067.9094104385003,2570.565130134579
llama3-8b-inst,JV_NATIVE,23955,801.9852530825883,31075,200,300,38191523328,1.51380515259763,16371.12907931069,1583,7920.0616665738635,6259.729806184303
qwen2.5-7b-inst,JV_NATIVE,11721,917.869467667304,18842,200,300,39044651520,1.513273918816432,13055.046974672005,1583,3595.7379358769394,6742.239164324012
