L2_work,L4_7_batch_net_energy,L4_7_signed_progress,L8_batch_net_energy,L8_energy_share,L8_native_work_share,NS_den,NS_num,NS_rate,PS_den,PS_num,PS_rate,RS_den,RS_num,RS_rate,W0_net_squared,alias,arm,batch,effective_layers,entropy,final_V_ratio,history_raw_work_ratio,history_work,materialization_discrepancy_normalized,max_layer,max_over_min_active_scale,maximum_active_scale,minimum_active_scale,minimum_scale_case_ids,node0_response_Gram_diagonal_max,normalized_native_work,raw_native_work,signed_predicted_progress,total_batch_net_energy,total_batch_net_norm
108.33456479209649,0.12534594183024647,0.017503190768343096,148.35597562292344,0.9991558134012462,0.9991070596158955,1000,858,0.858,200,177,0.885,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,1,1.0068834470450807,0.006859864282085749,0.004851641793998623,0.0,0.0,5.216526529692448e-06,8,1.5294587977355165,5.400712490081787,3.5311264991760254,[3557],11.799074072314859,0.12893670174800737,108.33456479209649,0.6593279036447609,148.48132156475367,12.185291197372088
126.06002766782052,0.14018281833394589,0.016652134379919355,171.87212906237238,0.9991850419496067,0.9991688228971956,1000,860,0.86,200,182,0.91,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,2,1.0066679267148861,0.006645794421414559,0.004887844758432653,0.008431239883193444,1.071879607042274,2.1452998260062986e-06,8,1.6024974190112473,5.67179012298584,3.539344310760498,[12179],12.961597428961653,0.13377931686658623,127.1319072748628,0.6590247767938008,172.01231188070633,13.115346426256012
145.31153680433934,0.16347152752153737,0.017341732093776863,199.53634070683046,0.999181413714452,0.9991433519554963,1000,808,0.808,200,184,0.92,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,3,1.006728573646871,0.006706037828008632,0.004980661584658014,0.01766183845477943,2.612612427289717,2.0304019065759663e-06,8,1.4502628797746326,5.804615020751953,4.002457141876221,[10481],12.940097189022874,0.13948723401292515,147.92414923162906,0.6588427309216278,199.699812234352,14.131518398047396
154.66368883180382,0.16034836720166912,0.01615838455601779,211.99582005317936,0.9992441965350546,0.9992414372884509,1000,752,0.752,200,186,0.93,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,4,1.0062446332977102,0.0062252163676784905,0.00495869466553629,0.018027973893280702,2.8394627039968494,2.3881136494623596e-06,8,1.5732790086385644,5.838664531707764,3.711143732070923,[9513],13.180941826500517,0.1434995616401256,157.5031515358007,0.6587631862985845,212.15616842038102,14.565581636871938
168.62694062791812,0.13773068284453083,0.01510361111475951,230.8423312669877,0.9994037118109594,0.9993964061740437,1000,807,0.807,200,181,0.905,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,5,1.0050996279035023,0.005086668840053758,0.004939745715525356,0.021402366333948267,3.6879463355857975,2.4258668677101686e-06,8,1.5655659826716721,5.912121772766113,3.7763478755950928,[17558],13.885161910002697,0.1455610708194686,172.3148869635039,0.6586410274345311,230.98006194983225,15.198028225721659
185.14185726747186,0.20278860572750157,0.016436279645790475,252.9828684936383,0.9991990517628417,0.9992037653180026,1000,732,0.732,200,191,0.955,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,6,1.006559785425314,0.006538363663309953,0.004954375316863669,0.027568510943879656,5.248786547628899,2.0495797544685836e-06,8,1.5284613230319641,6.178123474121094,4.042054176330566,[16069],13.891584851374674,0.14945822443354578,190.39064381510076,0.6584568855903382,253.1856570993658,15.911808731233725
186.932442652025,0.15605677051359282,0.014310854817192919,255.80443204551528,0.999390309140151,0.999419916971782,1000,781,0.781,200,186,0.93,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,7,1.0051690608132255,0.005155747078341792,0.005675964418935209,0.057501894816978,11.404765268117108,2.451394852378259e-06,8,1.4652474916133957,5.841771602630615,3.9868838787078857,[12919],14.574687838308346,0.15274317843926988,198.33720792014213,0.657857947240694,255.96048881602889,15.998765227855207
196.60796610186574,0.14446335565697138,0.013550581990520184,268.6568327343615,0.9994625645123059,0.999460214109322,1000,728,0.728,200,188,0.94,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,8,1.0046137414932026,0.004603130812028909,0.004949834417995107,0.031401696510978516,6.373977386634476,1.6925483976723737e-06,8,1.4203729064156776,6.054935932159424,4.262919902801514,[4651],15.397583686942943,0.1506824306504392,202.98194348850024,0.6583281919482811,268.80129609001847,16.395160752185948
215.51680272074066,0.15851114934871846,0.014113663163246816,296.09271088167407,0.9994649434751289,0.9994740404208245,1000,715,0.715,200,188,0.94,100,100,1.0,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,9,1.0046191525795998,0.004608517033221325,0.005130430995977058,0.048303196651195916,10.938515782364705,2.0715288203370453e-06,8,1.4931615858865086,6.23712682723999,4.177127838134766,[19176],14.518328706991033,0.15341575972178573,226.4553185031054,0.658176444552069,296.2512220310228,17.211949977588908
1.873781168877798e-09,2.716460500643614e-09,4.9450364292598434e-06,2.401994677294182e-13,8.841587434330681e-05,0.0005877515427616734,1000,747,0.747,200,52,0.26,100,25,0.25,NOT_RECORDED,llama3-8b-inst,JV_NATIVE,10,1.0009140554006155,0.0009136379063670333,0.9999471885780729,0.055144793021891056,1.093599039968854e-10,0.014180362566960526,7,173776.31037026303,6.2120041847229,3.574712900444865e-05,[4228],4402280.675683666,1.3385273772912413e-12,1.9831410728746837e-09,4.955540336041659e-06,2.7167007001113436e-09,5.21219790502178e-05
