case_index,job_id,state,exit_code,start,end,elapsed_seconds,elapsed,total_cpu,allocated_cpu_seconds,requested_memory,max_rss_parent,allocated_tres
2,22854_2,COMPLETED,0:0,2026-08-23T01:08:01,2026-08-23T01:10:07,126,00:02:06,02:11.304,1008,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
3,22854_3,COMPLETED,0:0,2026-08-23T01:08:01,2026-08-23T01:10:06,125,00:02:05,02:09.875,1000,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
4,22854_4,COMPLETED,0:0,2026-08-23T01:10:16,2026-08-23T01:12:22,126,00:02:06,02:10.647,1008,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
5,22854_5,COMPLETED,0:0,2026-08-23T01:10:16,2026-08-23T01:12:21,125,00:02:05,02:10.648,1000,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
6,22854_6,COMPLETED,0:0,2026-08-23T01:12:21,2026-08-23T01:14:26,125,00:02:05,02:09.689,1000,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
7,22854_7,COMPLETED,0:0,2026-08-23T01:12:51,2026-08-23T01:14:59,128,00:02:08,02:13.956,1024,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
8,22854_8,COMPLETED,0:0,2026-08-23T01:14:46,2026-08-23T01:16:52,126,00:02:06,02:12.339,1008,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
9,22854_9,COMPLETED,0:0,2026-08-23T01:15:16,2026-08-23T01:17:24,128,00:02:08,02:12.841,1024,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
10,22854_10,COMPLETED,0:0,2026-08-23T01:16:53,2026-08-23T01:19:00,127,00:02:07,02:12.034,1016,65000M,NOT_RECORDED_PARENT_ROW,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1"
