case_index,request_index,request_sha256,arm,microstep,objective_total,train_new_nll,train_true_nll,train_margin_new_minus_true,kl,decay,raw_field_norm,raw_euler_displacement,pre_clamp_displacement,post_clamp_displacement,clamp_hit,clamp_ratio,clamp_removed_norm,clamp_removed_energy,boundary_outward_component,boundary_tangential_component,zero_field
2,0,77f07216c6ca6c39ab0274107bf776c38abd63ae8c1ca02ea59fcdab0f36e4e4,Z+,1,9.58556079864502,9.585561752319336,6.92367696762085,-2.661884069442749,0.0,0.0,5.7928619384765625,5.7928619384765625,5.7928619384765625,4.803086757659912,1,0.8291394114494324,0.9897708296775818,0.9796467423439026,0.0,5.792857646942139,0
2,1,8d67adfeef800f3ba3b181a61828d73e1a8c5712ee92223ca71ce23e8fee6253,Z+,1,11.599926948547363,11.59992790222168,4.06249475479126,-7.537432670593262,0.0,0.0,5.125324726104736,5.125324726104736,5.125324249267578,4.2151594161987305,1,0.8224179148674011,0.9101657271385193,0.8284018039703369,0.0,5.125324249267578,0
2,2,6346c3ea243517cbad25c3a69368e9e4e406b1dc74740054f1cb5fffd458cc0c,Z+,1,13.681855201721191,13.681856155395508,6.917021751403809,-6.764834403991699,0.0,0.0,5.807652950286865,5.807652950286865,5.807652950286865,4.311919689178467,1,0.7424547076225281,1.4957342147827148,2.2372217178344727,0.0,5.807656288146973,0
2,3,2089e9a0a34cd6b112042624259e5a1dfb017b6f95b70d028c2452eef4371262,Z+,1,5.645181179046631,5.645181179046631,3.4611520767211914,-2.1840293407440186,0.0,0.0,5.758835792541504,5.758835792541504,5.758835792541504,4.045731067657471,1,0.7025264501571655,1.7131012678146362,2.9347147941589355,0.0,5.7588348388671875,0
2,4,3a77016737e2b0f4dfa9685598e7703e88fe37b911c923d52a9dd4187d20f892,Z+,1,10.197275161743164,10.197275161743164,2.631840705871582,-7.565434455871582,0.0,0.0,4.079253673553467,4.079253673553467,4.079253673553467,4.079253673553467,0,1.0,0.0,0.0,0.0,4.079252243041992,0
2,5,0cbdcd102101aa2847555821e9cb9856e3e26f89510271de286f5bf4667c4094,Z+,1,10.418910026550293,10.41891098022461,4.514336585998535,-5.904574394226074,0.0,0.0,1.7444164752960205,1.7444164752960205,1.7444164752960205,1.7444164752960205,0,1.0,0.0,0.0,0.0,1.7444168329238892,0
2,6,28380ae63c22bfe558c51b74c37ea0f21b0d2a56d51d9668b669a7da0368ae22,Z+,1,8.712152481079102,8.712152481079102,6.177333831787109,-2.5348191261291504,0.0,0.0,9.419711112976074,9.419711112976074,9.419711112976074,4.9992194175720215,1,0.5307191014289856,4.420490264892578,19.540729522705078,0.0,9.419710159301758,0
2,7,5fb850b2455f7b7e5f6079f0dce941715ca198eff1276c7a4d63f6aaeb20d520,Z+,1,17.10176658630371,17.101768493652344,3.7982029914855957,-13.303565979003906,0.0,0.0,4.156806945800781,4.156806945800781,4.156806945800781,4.156806945800781,0,1.0,0.0,0.0,0.0,4.156808376312256,0
2,8,85a4eedb16a30908dfc36bf358b5d34dc472310148a017735bbdad65a96f977c,Z+,1,15.587443351745605,15.587442398071289,4.804929733276367,-10.782512664794922,0.0,0.0,8.370085716247559,8.370085716247559,8.370085716247559,4.669510364532471,1,0.5578808784484863,3.700573205947876,13.694238662719727,0.0,8.370080947875977,0
2,9,cf6f2bb990d5607be73e905f76a5a18c2756098f9d34cb16b4de12fe91ac1d3d,Z+,1,10.261963844299316,10.261963844299316,4.905912399291992,-5.356051921844482,0.0,0.0,5.7004265785217285,5.7004265785217285,5.7004265785217285,5.0888872146606445,1,0.8927195072174072,0.6115442514419556,0.3739868998527527,0.0,5.700427532196045,0
2,0,77f07216c6ca6c39ab0274107bf776c38abd63ae8c1ca02ea59fcdab0f36e4e4,Z+,2,3.365100383758545,3.2823004722595215,12.133920669555664,8.851619720458984,0.3879057765007019,0.11711203306913376,4.759284973144531,4.759284973144531,6.755556583404541,4.803089618682861,1,0.7109836339950562,1.9524636268615723,3.8121211528778076,0.0,4.759276866912842,0
2,1,8d67adfeef800f3ba3b181a61828d73e1a8c5712ee92223ca71ce23e8fee6253,Z+,2,5.206621170043945,5.042368412017822,4.121584892272949,-0.9207838773727417,1.560471773147583,0.13344697654247284,3.8794569969177246,3.8794569969177246,5.73095703125,4.215158939361572,1,0.7355068922042847,1.5157979726791382,2.297645092010498,0.003095952793955803,3.879457473754883,0
2,2,6346c3ea243517cbad25c3a69368e9e4e406b1dc74740054f1cb5fffd458cc0c,Z+,2,10.61977767944336,10.341793060302734,6.359655380249023,-3.982137441635132,3.4041433334350586,0.13045236468315125,2.5461854934692383,2.5461854934692383,5.079265594482422,4.311915397644043,1,0.8489257097244263,0.7673451900482178,0.588819146156311,0.08385400474071503,2.5448050498962402,0
2,3,2089e9a0a34cd6b112042624259e5a1dfb017b6f95b70d028c2452eef4371262,Z+,2,1.0802135467529297,0.9991706609725952,1.6987080574035645,0.699537456035614,0.184405118227005,0.13903522491455078,3.315437078475952,3.315437078475952,5.195466995239258,4.045733451843262,1,0.7787046432495117,1.149733304977417,1.3218847513198853,0.0,3.3151252269744873,0
2,4,3a77016737e2b0f4dfa9685598e7703e88fe37b911c923d52a9dd4187d20f892,Z+,2,4.4420576095581055,4.3522562980651855,5.104108810424805,0.7518522143363953,0.38393935561180115,0.13160906732082367,4.000791549682617,4.000791549682617,5.982216835021973,4.175499439239502,1,0.6979857087135315,1.8067141771316528,3.2642133235931396,0.38490059971809387,3.982234477996826,0
2,5,0cbdcd102101aa2847555821e9cb9856e3e26f89510271de286f5bf4667c4094,Z+,2,8.765604972839355,8.730230331420898,4.185779094696045,-4.544450759887695,0.07203151285648346,0.06174609437584877,2.607001781463623,2.607001781463623,3.4110968112945557,3.4110968112945557,0,1.0,7.46082804425896e-08,5.56639559749425e-15,0.5148224830627441,2.555664300918579,0
2,6,28380ae63c22bfe558c51b74c37ea0f21b0d2a56d51d9668b669a7da0368ae22,Z+,2,1.5673800706863403,1.4889315366744995,10.878568649291992,9.389636993408203,0.35503652691841125,0.11251749843358994,3.4731600284576416,3.4731600284576416,6.326022148132324,4.999220371246338,1,0.7902629375457764,1.3268017768859863,1.760404109954834,0.2964017391204834,3.46049165725708,0
