case_index,arm,microstep,request_denominator,clamp_hit_numerator,clamp_fraction,objective_total_mean,semantic_objective_mean,kl_mean,decay_mean,train_new_nll_mean,train_true_nll_mean,train_margin_mean,raw_field_norm_mean,raw_euler_displacement_mean,pre_clamp_displacement_mean,post_clamp_displacement_mean,clamp_removed_norm_mean,clamp_removed_energy_mean,boundary_outward_component_mean,boundary_tangential_component_mean,zero_field_count
2,Z+,1,10,7,0.7,11.27920355796814,11.279203414916992,0.0,0.0,11.279204034805298,4.819690179824829,-6.459513902664185,5.59553759098053,5.59553759098053,5.595537543296814,4.211399102210999,1.3841379761695862,4.05889401435852,0.0,5.59553691148758,0
2,Z+,2,10,9,0.9,6.424773228168488,6.302119255065918,1.0144558474421501,0.11850068829953671,6.302119469642639,6.9528402328491214,0.6507206916809082,3.3925546646118163,3.3925546646118163,5.584510636329651,4.399262690544129,1.1852473203195288,1.9845748849678793,0.1496703837066889,3.383052611351013,0
2,Z+,3,10,10,1.0,2.8272565618157386,2.701484203338623,1.0118212658911943,0.12506720647215844,2.7014841467142103,8.594755506515503,5.893271422386169,3.0249611139297485,3.0249611139297485,5.745886325836182,4.4567933797836305,1.2890927480533718,2.936820645433545,0.2454296477138996,3.012845078110695,0
2,Z+,4,10,7,0.7,1.3135282829403878,1.180550456047058,1.1108160771429538,0.12710360437631607,1.1805504788382677,11.503921747207642,10.323371267318725,5.2616176418960094,5.2616176418960094,7.8536591053009035,4.453142857551574,3.4005173423642305,38.92554206252099,0.0929524466395378,5.253566677123308,0
2,Z+,5,10,8,0.8,1.8720793634653092,1.7766765356063843,0.5105301516130567,0.12698935121297836,1.776676708413288,8.844308781623841,7.067632102966309,2.5044264655560253,2.5044264655560253,5.6627401351928714,4.451775431632996,1.2109653051602707,3.9349478503034354,0.12207020577043295,2.497257181815803,0
2,Z±,1,10,9,0.9,17.802178859710693,17.80217933654785,0.0,0.0,11.279204034805298,4.819690179824829,-6.459513902664185,11.806399750709534,11.806399750709534,11.806399750709534,4.4010615110397335,7.405336308479309,73.80924015045166,0.0,11.806400179862976,0
2,Z±,2,10,10,1.0,9.185226798057556,9.067015647888184,0.8903278306126594,0.12513087466359138,7.4814943194389345,7.8970266580581665,0.41553225815296174,5.379892361164093,5.379892361164093,7.280663728713989,4.456792569160461,2.823870645859279,12.651149541645372,0.1934772603213787,5.372249066829681,0
2,Z±,3,10,9,0.9,3.854235363006592,3.7355995178222656,0.8813487343490124,0.12710357159376146,3.6906551331281663,9.755897712707519,6.065242624282837,4.438464421033859,4.438464421033859,6.664213085174561,4.456569838523865,2.20764181275525,7.098249915987255,0.1832969704642892,4.432069107890129,0
2,Z±,4,10,9,0.9,2.5407778464257715,2.4113993644714355,1.053263822197914,0.12709856405854225,2.090683363378048,9.746446752548218,7.655763292312622,7.886640170216561,7.886640170216561,10.24189796447754,4.45579047203064,5.78610814417979,126.80108534246683,0.2938462980091572,7.867528331279755,0
2,Z±,5,10,9,0.9,2.9825830049812794,2.8755006790161133,0.6966696128249168,0.12708102017641068,2.222844298824202,10.8657737493515,8.642929410934448,3.9209025844931604,3.9209025844931604,6.9279961585998535,4.455169415473938,2.472826246244901,21.11984819986392,0.23593968097120524,3.907942584902048,0
3,Z+,1,10,2,0.2,9.37133321762085,9.371332168579102,0.0,0.0,9.37133355140686,5.100187307596206,-4.271146178245544,4.034498143196106,4.034498143196106,4.034498167037964,3.6913235187530518,0.3431748986244202,0.6003387689590454,0.0,4.034499526023865,0
3,Z+,2,10,6,0.6,4.85745655298233,4.763241767883301,0.6579410821199417,0.10618754290044308,4.763241690397263,6.702582859992981,1.9393409706652165,2.592926871776581,2.592926871776581,4.587476181983948,4.13728289604187,0.45019384492383274,0.7305623367428806,0.07585045024752617,2.5893876552581787,0
3,Z+,3,10,6,0.6,2.0459511026740076,1.947993278503418,0.6091603800654412,0.11977077089250088,1.9479932501912116,7.676049113273621,5.728055500984192,1.8967429533600808,1.8967429533600808,4.941107273101807,4.426504373550415,0.5146040499816472,1.0641320832073737,0.17312686126679183,1.8796722941100596,0
