case_index,arm,target_wall_seconds,evaluator_wall_seconds,arm_total_wall_seconds,logical_field_evaluations,autograd_grad_calls,native_compute_z_calls,peak_gpu_memory_bytes_case,slurm_job_id,slurm_elapsed_seconds,slurm_allocated_cpu_seconds
2,Z+,16.891292178072035,1.8612926192581654,28.080034072510898,5,5,0,33445445632,22854_2,126,1008
2,Z±,21.839469036087394,1.8642717627808452,32.976262205280364,5,5,0,33445445632,22854_2,126,1008
2,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.859304841607809,36.147859335877,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33445445632,22854_2,126,1008
3,Z+,16.24353631492704,1.7592112151905894,27.280468082986772,5,5,0,33333679104,22854_3,125,1000
3,Z±,21.14887546095997,1.7559718191623688,32.15702135115862,5,5,0,33333679104,22854_3,125,1000
3,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.7625984223559499,36.93108112644404,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33333679104,22854_3,125,1000
4,Z+,16.423927642405033,1.9337072726339102,27.78361749649048,5,5,0,33445445632,22854_4,126,1008
4,Z±,21.486559011042118,1.9276158083230257,32.42419811710715,5,5,0,33445445632,22854_4,126,1008
4,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.9296165304258466,35.1613291259855,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33445445632,22854_4,126,1008
5,Z+,16.20665445458144,1.8696513576433063,27.396999434567988,5,5,0,33333711872,22854_5,125,1000
5,Z±,21.341614280827343,1.8602834213525057,32.044491165317595,5,5,0,33333711872,22854_5,125,1000
5,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.8655677111819386,35.4245349355042,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33333711872,22854_5,125,1000
6,Z+,15.984366362914443,1.6550455130636692,27.134950009174645,5,5,0,33333810176,22854_6,125,1000
6,Z±,21.893685860559344,1.6358340550214052,32.77584381122142,5,5,0,33333810176,22854_6,125,1000
6,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.6426933407783508,35.80263601616025,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33333810176,22854_6,125,1000
7,Z+,17.224902405403554,1.890043412335217,28.53311339672655,5,5,0,33500143104,22854_7,128,1024
7,Z±,22.270391706377268,1.902238067239523,33.64299143478274,5,5,0,33500143104,22854_7,128,1024
7,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.888273110613227,36.79945836402476,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33500143104,22854_7,128,1024
8,Z+,16.192182205617428,1.900949682109058,27.20282402448356,5,5,0,33387287552,22854_8,126,1008
8,Z±,21.8567324122414,1.8937399350106716,33.09312863461673,5,5,0,33387287552,22854_8,126,1008
8,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.8996686190366745,35.414830423891544,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33387287552,22854_8,126,1008
9,Z+,16.163054816424847,1.8266632249578834,27.913066945038736,5,5,0,33277166080,22854_9,128,1024
9,Z±,20.82770417071879,1.8253845861181617,32.652249712496996,5,5,0,33277166080,22854_9,128,1024
9,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,1.823540753684938,35.725583251565695,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33277166080,22854_9,128,1024
10,Z+,16.410972313955426,2.189008915796876,27.72334554977715,5,5,0,33499880960,22854_10,127,1016
10,Z±,21.31857226602733,2.1894092792645097,33.35440508555621,5,5,0,33499880960,22854_10,127,1016
10,Native-Z,NOT_APPLICABLE_NATIVE_CANONICAL,2.1916263634338975,36.05619623325765,NATIVE_INTERNAL_NOT_MATCHED,NATIVE_INTERNAL_NOT_MATCHED,10,33499880960,22854_10,127,1016
