case_index,request_index,request_sha256,arm,clamp_hit_steps,clamp_denominator_steps,clamp_fraction,all_5_step_saturated,endpoint_train_new_nll,endpoint_train_true_nll,endpoint_train_margin_new_minus_true
3,1,c4c0883e808830f850159906afcefc21c16dcd760fd4acf68e0181ad9745b79a,Z±,5,5,1.0,1,0.82892245054245,4.824481010437012,3.995558500289917
3,2,2d7a05de733521918b9b3c10f95568ee42e8fa4bbeb9911964758f2e95f6e9e4,Z±,5,5,1.0,1,0.18363802134990692,7.885382652282715,7.701744079589844
3,3,7ad81b264c5bf8e0448ecd9bcdb6f342989288fde3543b7704f2c1ec659b7185,Z±,2,5,0.4,0,0.031167618930339813,9.599411010742188,9.568243980407715
3,4,b11185489a6e191b8145c5e43c46e1ac11afecedbb8858886ba16fb0915c52d5,Z±,5,5,1.0,1,6.4645490646362305,12.712627410888672,6.2480788230896
3,5,472026d0a81e0abea282876d5064eede5f410d0102c44d94d070ebf92420c771,Z±,5,5,1.0,1,0.07392091304063797,14.443504333496094,14.369585037231445
3,6,34da1f2e8dc9670ec41d7784fa8d025678bc1009ebfcc9577823787902857e92,Z±,2,5,0.4,0,0.9834725856781006,11.693609237670898,10.710136413574219
3,7,9a6dd76f564eabe6d772c906c071d9d837193dc7543a04dc4a666f2c4bfaf5fc,Z±,5,5,1.0,1,0.03703809529542923,10.104605674743652,10.067567825317383
3,8,c36d70eb53ba78389390e289afb5dd9f925d5772a413bd1a75bd67a4b4a12428,Z±,2,5,0.4,0,0.006883298512548208,11.319551467895508,11.312667846679688
3,9,63e9e046e3468bc2aaa15480bfe629a10c7ed43491d17ef3a0eceed9d49c6365,Z±,5,5,1.0,1,0.19262519478797913,9.97305679321289,9.780431747436523
4,0,94bd4b37a5d07ad36fd1f8d54bbc8b2908a74560edcbbcfa2e8cd869eebaf856,Z+,4,5,0.8,0,0.10019472241401672,6.326949119567871,6.226753234863281
4,1,53a3ee42de862f325a85838efdb208f2f0d6da19694bc8ccc8241fd530598eea,Z+,5,5,1.0,1,0.01832771673798561,9.454994201660156,9.436666488647461
4,2,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,Z+,0,5,0.0,0,0.019235048443078995,11.265228271484375,11.245992660522461
