arm,from_checkpoint,to_checkpoint,span,metric,metric_label,from_numerator,from_denominator,from_value,to_numerator,to_denominator,to_value,delta
LM,1000,1500,ADJACENT,eff,Eff,835,1000,0.835,611,1500,0.4073333333333333,-0.42766666666666664
LM,1000,1500,ADJACENT,gen_prompt,Gen prompt,1245,2000,0.6225,995,3000,0.33166666666666667,-0.2908333333333334
LM,1000,1500,ADJACENT,gen_strict,Gen strict,484,1000,0.484,353,1500,0.23533333333333334,-0.24866666666666665
LM,1000,1500,ADJACENT,loc,Loc,1912,10000,0.1912,2492,15000,0.16613333333333333,-0.02506666666666668
LM,1000,1500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,947,1000,0.947,1065,1500,0.71,-0.237
LM,1000,1500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,905,1000,0.905,1035,1500,0.69,-0.21500000000000008
LM,1500,2000,ADJACENT,eff,Eff,611,1500,0.4073333333333333,356,2000,0.178,-0.22933333333333333
LM,1500,2000,ADJACENT,gen_prompt,Gen prompt,995,3000,0.33166666666666667,529,4000,0.13225,-0.19941666666666666
LM,1500,2000,ADJACENT,gen_strict,Gen strict,353,1500,0.23533333333333334,159,2000,0.0795,-0.15583333333333332
LM,1500,2000,ADJACENT,loc,Loc,2492,15000,0.16613333333333333,628,20000,0.0314,-0.13473333333333332
LM,1500,2000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1065,1500,0.71,1261,2000,0.6305,-0.07950000000000002
LM,1500,2000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1035,1500,0.69,1217,2000,0.6085,-0.0814999999999999
LM,2000,3000,ADJACENT,eff,Eff,356,2000,0.178,627,3000,0.209,0.031
LM,2000,3000,ADJACENT,gen_prompt,Gen prompt,529,4000,0.13225,457,6000,0.07616666666666666,-0.056083333333333346
LM,2000,3000,ADJACENT,gen_strict,Gen strict,159,2000,0.0795,101,3000,0.033666666666666664,-0.04583333333333334
LM,2000,3000,ADJACENT,loc,Loc,628,20000,0.0314,851,30000,0.028366666666666665,-0.0030333333333333323
LM,2000,3000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1261,2000,0.6305,2016,3000,0.672,0.04150000000000009
LM,2000,3000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1217,2000,0.6085,1878,3000,0.626,0.01749999999999996
LM,3000,5000,ADJACENT,eff,Eff,627,3000,0.209,81,5000,0.0162,-0.1928
LM,3000,5000,ADJACENT,gen_prompt,Gen prompt,457,6000,0.07616666666666666,36,10000,0.0036,-0.07256666666666665
LM,3000,5000,ADJACENT,gen_strict,Gen strict,101,3000,0.033666666666666664,5,5000,0.001,-0.03266666666666666
LM,3000,5000,ADJACENT,loc,Loc,851,30000,0.028366666666666665,39,50000,0.00078,-0.027586666666666666
LM,3000,5000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,2016,3000,0.672,2921,5000,0.5842,-0.08779999999999999
LM,3000,5000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1878,3000,0.626,2715,5000,0.543,-0.08299999999999996
LM,5000,7500,ADJACENT,eff,Eff,81,5000,0.0162,700,7500,0.09333333333333334,0.07713333333333333
LM,5000,7500,ADJACENT,gen_prompt,Gen prompt,36,10000,0.0036,476,15000,0.031733333333333336,0.028133333333333337
LM,5000,7500,ADJACENT,gen_strict,Gen strict,5,5000,0.001,75,7500,0.01,0.009000000000000001
LM,5000,7500,ADJACENT,loc,Loc,39,50000,0.00078,1332,75000,0.01776,0.016980000000000002
LM,5000,7500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,2921,5000,0.5842,5024,7500,0.6698666666666667,0.08566666666666667
LM,5000,7500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,2715,5000,0.543,4523,7500,0.6030666666666666,0.0600666666666666
LM,7500,10000,ADJACENT,eff,Eff,700,7500,0.09333333333333334,357,10000,0.0357,-0.057633333333333335
LM,7500,10000,ADJACENT,gen_prompt,Gen prompt,476,15000,0.031733333333333336,335,20000,0.01675,-0.014983333333333335
LM,7500,10000,ADJACENT,gen_strict,Gen strict,75,7500,0.01,53,10000,0.0053,-0.0047
LM,7500,10000,ADJACENT,loc,Loc,1332,75000,0.01776,648,100000,0.00648,-0.011280000000000002
LM,7500,10000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,5024,7500,0.6698666666666667,6021,10000,0.6021,-0.06776666666666675
LM,7500,10000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,4523,7500,0.6030666666666666,5577,10000,0.5577,-0.045366666666666666
LM,1000,10000,TOTAL_1K_TO_10K,eff,Eff,835,1000,0.835,357,10000,0.0357,-0.7993
LM,1000,10000,TOTAL_1K_TO_10K,gen_prompt,Gen prompt,1245,2000,0.6225,335,20000,0.01675,-0.60575
LM,1000,10000,TOTAL_1K_TO_10K,gen_strict,Gen strict,484,1000,0.484,53,10000,0.0053,-0.47869999999999996
LM,1000,10000,TOTAL_1K_TO_10K,loc,Loc,1912,10000,0.1912,648,100000,0.00648,-0.18472
LM,1000,10000,TOTAL_1K_TO_10K,rewrite_new_preferred_rate,Rewrite new preference,947,1000,0.947,6021,10000,0.6021,-0.3449
LM,1000,10000,TOTAL_1K_TO_10K,rephrase_new_preferred_rate,Rephrase new preference,905,1000,0.905,5577,10000,0.5577,-0.34730000000000005
LA,1000,1500,ADJACENT,eff,Eff,994,1000,0.994,1488,1500,0.992,-0.0020000000000000018
LA,1000,1500,ADJACENT,gen_prompt,Gen prompt,1450,2000,0.725,2242,3000,0.7473333333333333,0.022333333333333316
LA,1000,1500,ADJACENT,gen_strict,Gen strict,585,1000,0.585,910,1500,0.6066666666666667,0.021666666666666723
LA,1000,1500,ADJACENT,loc,Loc,2130,10000,0.213,2940,15000,0.196,-0.016999999999999987
LA,1000,1500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,999,1000,0.999,1495,1500,0.9966666666666667,-0.0023333333333332984
LA,1000,1500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,972,1000,0.972,1455,1500,0.97,-0.0020000000000000018
LA,1500,2000,ADJACENT,eff,Eff,1488,1500,0.992,1973,2000,0.9865,-0.005499999999999949
LA,1500,2000,ADJACENT,gen_prompt,Gen prompt,2242,3000,0.7473333333333333,3019,4000,0.75475,0.007416666666666738
LA,1500,2000,ADJACENT,gen_strict,Gen strict,910,1500,0.6066666666666667,1220,2000,0.61,0.0033333333333332993
LA,1500,2000,ADJACENT,loc,Loc,2940,15000,0.196,3491,20000,0.17455,-0.021449999999999997
LA,1500,2000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1495,1500,0.9966666666666667,1994,2000,0.997,0.0003333333333332966
LA,1500,2000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1455,1500,0.97,1940,2000,0.97,0.0
LA,2000,3000,ADJACENT,eff,Eff,1973,2000,0.9865,2880,3000,0.96,-0.02650000000000008
LA,2000,3000,ADJACENT,gen_prompt,Gen prompt,3019,4000,0.75475,4383,6000,0.7305,-0.024249999999999994
LA,2000,3000,ADJACENT,gen_strict,Gen strict,1220,2000,0.61,1748,3000,0.5826666666666667,-0.02733333333333332
LA,2000,3000,ADJACENT,loc,Loc,3491,20000,0.17455,4529,30000,0.15096666666666667,-0.023583333333333345
LA,2000,3000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1994,2000,0.997,2977,3000,0.9923333333333333,-0.004666666666666708
LA,2000,3000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1940,2000,0.97,2895,3000,0.965,-0.0050000000000000044
LA,3000,5000,ADJACENT,eff,Eff,2880,3000,0.96,3293,5000,0.6586,-0.3014
LA,3000,5000,ADJACENT,gen_prompt,Gen prompt,4383,6000,0.7305,4476,10000,0.4476,-0.28290000000000004
LA,3000,5000,ADJACENT,gen_strict,Gen strict,1748,3000,0.5826666666666667,1379,5000,0.2758,-0.3068666666666667
LA,3000,5000,ADJACENT,loc,Loc,4529,30000,0.15096666666666667,3815,50000,0.0763,-0.07466666666666666
LA,3000,5000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,2977,3000,0.9923333333333333,4571,5000,0.9142,-0.07813333333333328
LA,3000,5000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,2895,3000,0.965,4380,5000,0.876,-0.08899999999999997
LA,5000,7500,ADJACENT,eff,Eff,3293,5000,0.6586,1468,7500,0.19573333333333334,-0.46286666666666665
LA,5000,7500,ADJACENT,gen_prompt,Gen prompt,4476,10000,0.4476,1399,15000,0.09326666666666666,-0.35433333333333333
LA,5000,7500,ADJACENT,gen_strict,Gen strict,1379,5000,0.2758,342,7500,0.0456,-0.2302
LA,5000,7500,ADJACENT,loc,Loc,3815,50000,0.0763,1256,75000,0.016746666666666667,-0.05955333333333334
LA,5000,7500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,4571,5000,0.9142,5031,7500,0.6708,-0.24340000000000006
LA,5000,7500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,4380,5000,0.876,4669,7500,0.6225333333333334,-0.2534666666666666
LA,7500,10000,ADJACENT,eff,Eff,1468,7500,0.19573333333333334,2013,10000,0.2013,0.005566666666666664
LA,7500,10000,ADJACENT,gen_prompt,Gen prompt,1399,15000,0.09326666666666666,1727,20000,0.08635,-0.006916666666666668
LA,7500,10000,ADJACENT,gen_strict,Gen strict,342,7500,0.0456,426,10000,0.0426,-0.0030000000000000027
LA,7500,10000,ADJACENT,loc,Loc,1256,75000,0.016746666666666667,1413,100000,0.01413,-0.0026166666666666664
LA,7500,10000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,5031,7500,0.6708,6785,10000,0.6785,0.00770000000000004
LA,7500,10000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,4669,7500,0.6225333333333334,6271,10000,0.6271,0.004566666666666608
LA,1000,10000,TOTAL_1K_TO_10K,eff,Eff,994,1000,0.994,2013,10000,0.2013,-0.7927
LA,1000,10000,TOTAL_1K_TO_10K,gen_prompt,Gen prompt,1450,2000,0.725,1727,20000,0.08635,-0.6386499999999999
LA,1000,10000,TOTAL_1K_TO_10K,gen_strict,Gen strict,585,1000,0.585,426,10000,0.0426,-0.5424
LA,1000,10000,TOTAL_1K_TO_10K,loc,Loc,2130,10000,0.213,1413,100000,0.01413,-0.19887
LA,1000,10000,TOTAL_1K_TO_10K,rewrite_new_preferred_rate,Rewrite new preference,999,1000,0.999,6785,10000,0.6785,-0.3205
LA,1000,10000,TOTAL_1K_TO_10K,rephrase_new_preferred_rate,Rephrase new preference,972,1000,0.972,6271,10000,0.6271,-0.3449
QM,1000,1500,ADJACENT,eff,Eff,930,1000,0.93,840,1500,0.56,-0.37
QM,1000,1500,ADJACENT,gen_prompt,Gen prompt,1400,2000,0.7,1115,3000,0.37166666666666665,-0.3283333333333333
QM,1000,1500,ADJACENT,gen_strict,Gen strict,541,1000,0.541,297,1500,0.198,-0.343
QM,1000,1500,ADJACENT,loc,Loc,1235,10000,0.1235,1192,15000,0.07946666666666667,-0.04403333333333333
QM,1000,1500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,985,1000,0.985,1294,1500,0.8626666666666667,-0.1223333333333333
QM,1000,1500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,979,1000,0.979,1291,1500,0.8606666666666667,-0.11833333333333329
QM,1500,2000,ADJACENT,eff,Eff,840,1500,0.56,534,2000,0.267,-0.29300000000000004
QM,1500,2000,ADJACENT,gen_prompt,Gen prompt,1115,3000,0.37166666666666665,786,4000,0.1965,-0.17516666666666664
QM,1500,2000,ADJACENT,gen_strict,Gen strict,297,1500,0.198,243,2000,0.1215,-0.07650000000000001
QM,1500,2000,ADJACENT,loc,Loc,1192,15000,0.07946666666666667,624,20000,0.0312,-0.04826666666666667
QM,1500,2000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1294,1500,0.8626666666666667,1413,2000,0.7065,-0.15616666666666668
QM,1500,2000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1291,1500,0.8606666666666667,1384,2000,0.692,-0.16866666666666674
QM,2000,3000,ADJACENT,eff,Eff,534,2000,0.267,46,3000,0.015333333333333332,-0.2516666666666667
QM,2000,3000,ADJACENT,gen_prompt,Gen prompt,786,4000,0.1965,38,6000,0.006333333333333333,-0.19016666666666668
QM,2000,3000,ADJACENT,gen_strict,Gen strict,243,2000,0.1215,3,3000,0.001,-0.1205
QM,2000,3000,ADJACENT,loc,Loc,624,20000,0.0312,19,30000,0.0006333333333333333,-0.030566666666666666
QM,2000,3000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1413,2000,0.7065,1695,3000,0.565,-0.14150000000000007
QM,2000,3000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1384,2000,0.692,1665,3000,0.555,-0.1369999999999999
QM,3000,5000,ADJACENT,eff,Eff,46,3000,0.015333333333333332,1,5000,0.0002,-0.015133333333333332
QM,3000,5000,ADJACENT,gen_prompt,Gen prompt,38,6000,0.006333333333333333,1,10000,0.0001,-0.006233333333333333
QM,3000,5000,ADJACENT,gen_strict,Gen strict,3,3000,0.001,0,5000,0.0,-0.001
QM,3000,5000,ADJACENT,loc,Loc,19,30000,0.0006333333333333333,0,50000,0.0,-0.0006333333333333333
QM,3000,5000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1695,3000,0.565,2696,5000,0.5392,-0.025799999999999934
QM,3000,5000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1665,3000,0.555,2678,5000,0.5356,-0.019400000000000084
QM,5000,7500,ADJACENT,eff,Eff,1,5000,0.0002,1,7500,0.00013333333333333334,-6.666666666666667e-05
QM,5000,7500,ADJACENT,gen_prompt,Gen prompt,1,10000,0.0001,1,15000,6.666666666666667e-05,-3.3333333333333335e-05
QM,5000,7500,ADJACENT,gen_strict,Gen strict,0,5000,0.0,0,7500,0.0,0.0
