arm,from_checkpoint,to_checkpoint,span,metric,metric_label,from_numerator,from_denominator,from_value,to_numerator,to_denominator,to_value,delta
QM,5000,7500,ADJACENT,loc,Loc,0,50000,0.0,0,75000,0.0,0.0
QM,5000,7500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,2696,5000,0.5392,3967,7500,0.5289333333333334,-0.010266666666666646
QM,5000,7500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,2678,5000,0.5356,3911,7500,0.5214666666666666,-0.014133333333333331
QM,7500,10000,ADJACENT,eff,Eff,1,7500,0.00013333333333333334,0,10000,0.0,-0.00013333333333333334
QM,7500,10000,ADJACENT,gen_prompt,Gen prompt,1,15000,6.666666666666667e-05,0,20000,0.0,-6.666666666666667e-05
QM,7500,10000,ADJACENT,gen_strict,Gen strict,0,7500,0.0,0,10000,0.0,0.0
QM,7500,10000,ADJACENT,loc,Loc,0,75000,0.0,0,100000,0.0,0.0
QM,7500,10000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,3967,7500,0.5289333333333334,5037,10000,0.5037,-0.02523333333333333
QM,7500,10000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,3911,7500,0.5214666666666666,5106,10000,0.5106,-0.01086666666666658
QM,1000,10000,TOTAL_1K_TO_10K,eff,Eff,930,1000,0.93,0,10000,0.0,-0.93
QM,1000,10000,TOTAL_1K_TO_10K,gen_prompt,Gen prompt,1400,2000,0.7,0,20000,0.0,-0.7
QM,1000,10000,TOTAL_1K_TO_10K,gen_strict,Gen strict,541,1000,0.541,0,10000,0.0,-0.541
QM,1000,10000,TOTAL_1K_TO_10K,loc,Loc,1235,10000,0.1235,0,100000,0.0,-0.1235
QM,1000,10000,TOTAL_1K_TO_10K,rewrite_new_preferred_rate,Rewrite new preference,985,1000,0.985,5037,10000,0.5037,-0.48129999999999995
QM,1000,10000,TOTAL_1K_TO_10K,rephrase_new_preferred_rate,Rephrase new preference,979,1000,0.979,5106,10000,0.5106,-0.4683999999999999
QA,1000,1500,ADJACENT,eff,Eff,988,1000,0.988,1473,1500,0.982,-0.006000000000000005
QA,1000,1500,ADJACENT,gen_prompt,Gen prompt,1402,2000,0.701,2143,3000,0.7143333333333334,0.01333333333333342
QA,1000,1500,ADJACENT,gen_strict,Gen strict,545,1000,0.545,850,1500,0.5666666666666667,0.021666666666666612
QA,1000,1500,ADJACENT,loc,Loc,948,10000,0.0948,1179,15000,0.0786,-0.016199999999999992
QA,1000,1500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,999,1000,0.999,1497,1500,0.998,-0.0010000000000000009
QA,1000,1500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,990,1000,0.99,1489,1500,0.9926666666666667,0.002666666666666706
QA,1500,2000,ADJACENT,eff,Eff,1473,1500,0.982,1936,2000,0.968,-0.014000000000000012
QA,1500,2000,ADJACENT,gen_prompt,Gen prompt,2143,3000,0.7143333333333334,2800,4000,0.7,-0.01433333333333342
QA,1500,2000,ADJACENT,gen_strict,Gen strict,850,1500,0.5666666666666667,1101,2000,0.5505,-0.016166666666666663
QA,1500,2000,ADJACENT,loc,Loc,1179,15000,0.0786,1401,20000,0.07005,-0.008550000000000002
QA,1500,2000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1497,1500,0.998,1990,2000,0.995,-0.0030000000000000027
QA,1500,2000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1489,1500,0.9926666666666667,1981,2000,0.9905,-0.00216666666666665
QA,2000,3000,ADJACENT,eff,Eff,1936,2000,0.968,2630,3000,0.8766666666666667,-0.09133333333333327
QA,2000,3000,ADJACENT,gen_prompt,Gen prompt,2800,4000,0.7,3337,6000,0.5561666666666667,-0.14383333333333326
QA,2000,3000,ADJACENT,gen_strict,Gen strict,1101,2000,0.5505,1105,3000,0.36833333333333335,-0.18216666666666664
QA,2000,3000,ADJACENT,loc,Loc,1401,20000,0.07005,1592,30000,0.053066666666666665,-0.016983333333333336
QA,2000,3000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,1990,2000,0.995,2905,3000,0.9683333333333334,-0.026666666666666616
QA,2000,3000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,1981,2000,0.9905,2842,3000,0.9473333333333334,-0.043166666666666687
QA,3000,5000,ADJACENT,eff,Eff,2630,3000,0.8766666666666667,2153,5000,0.4306,-0.4460666666666667
QA,3000,5000,ADJACENT,gen_prompt,Gen prompt,3337,6000,0.5561666666666667,2231,10000,0.2231,-0.33306666666666673
QA,3000,5000,ADJACENT,gen_strict,Gen strict,1105,3000,0.36833333333333335,604,5000,0.1208,-0.24753333333333333
QA,3000,5000,ADJACENT,loc,Loc,1592,30000,0.053066666666666665,675,50000,0.0135,-0.03956666666666667
QA,3000,5000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,2905,3000,0.9683333333333334,4271,5000,0.8542,-0.11413333333333342
QA,3000,5000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,2842,3000,0.9473333333333334,3855,5000,0.771,-0.17633333333333334
QA,5000,7500,ADJACENT,eff,Eff,2153,5000,0.4306,946,7500,0.12613333333333332,-0.30446666666666666
QA,5000,7500,ADJACENT,gen_prompt,Gen prompt,2231,10000,0.2231,690,15000,0.046,-0.17709999999999998
QA,5000,7500,ADJACENT,gen_strict,Gen strict,604,5000,0.1208,143,7500,0.019066666666666666,-0.10173333333333334
QA,5000,7500,ADJACENT,loc,Loc,675,50000,0.0135,265,75000,0.003533333333333333,-0.009966666666666667
QA,5000,7500,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,4271,5000,0.8542,4891,7500,0.6521333333333333,-0.20206666666666662
QA,5000,7500,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,3855,5000,0.771,4292,7500,0.5722666666666667,-0.19873333333333332
QA,7500,10000,ADJACENT,eff,Eff,946,7500,0.12613333333333332,1084,10000,0.1084,-0.017733333333333323
QA,7500,10000,ADJACENT,gen_prompt,Gen prompt,690,15000,0.046,686,20000,0.0343,-0.011700000000000002
QA,7500,10000,ADJACENT,gen_strict,Gen strict,143,7500,0.019066666666666666,105,10000,0.0105,-0.008566666666666665
QA,7500,10000,ADJACENT,loc,Loc,265,75000,0.003533333333333333,246,100000,0.00246,-0.0010733333333333333
QA,7500,10000,ADJACENT,rewrite_new_preferred_rate,Rewrite new preference,4891,7500,0.6521333333333333,6653,10000,0.6653,0.01316666666666666
QA,7500,10000,ADJACENT,rephrase_new_preferred_rate,Rephrase new preference,4292,7500,0.5722666666666667,5755,10000,0.5755,0.0032333333333333103
QA,1000,10000,TOTAL_1K_TO_10K,eff,Eff,988,1000,0.988,1084,10000,0.1084,-0.8795999999999999
QA,1000,10000,TOTAL_1K_TO_10K,gen_prompt,Gen prompt,1402,2000,0.701,686,20000,0.0343,-0.6667
QA,1000,10000,TOTAL_1K_TO_10K,gen_strict,Gen strict,545,1000,0.545,105,10000,0.0105,-0.5345000000000001
QA,1000,10000,TOTAL_1K_TO_10K,loc,Loc,948,10000,0.0948,246,100000,0.00246,-0.09233999999999999
QA,1000,10000,TOTAL_1K_TO_10K,rewrite_new_preferred_rate,Rewrite new preference,999,1000,0.999,6653,10000,0.6653,-0.3337
QA,1000,10000,TOTAL_1K_TO_10K,rephrase_new_preferred_rate,Rephrase new preference,990,1000,0.99,5755,10000,0.5755,-0.4145
