arm,accepted_edit_count,category,request_denominator,online_strict_numerator,online_strict_rate,cumulative_strict_numerator,cumulative_strict_rate,delta_cumulative_minus_online_strict_rate,online_gen,online_locality,online_nll_mean,cumulative_nll_mean,delta_cumulative_minus_online_nll_mean,online_nll_median,cumulative_nll_median,delta_cumulative_minus_online_nll_median,online_nll_p90,cumulative_nll_p90,delta_cumulative_minus_online_nll_p90,online_nll_max,cumulative_nll_max,delta_cumulative_minus_online_nll_max,online_margin_mean,cumulative_margin_mean,delta_cumulative_minus_online_margin_mean,online_margin_median,cumulative_margin_median,delta_cumulative_minus_online_margin_median,online_margin_p90,cumulative_margin_p90,delta_cumulative_minus_online_margin_p90,online_margin_max,cumulative_margin_max,delta_cumulative_minus_online_margin_max
LM,1000,rewrite_target_new,1000,983,0.983,835,0.835,-0.14800000000000002,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.11701088035179237,0.8104223411611019,0.6934114608093095,0.003273725393228233,0.035998137667775154,0.03272441227454692,0.024116016738116745,2.711942267417909,2.687826250679792,13.110359191894531,20.606212615966797,7.495853424072266,6.646976595878601,3.4687465505599975,-3.1782300453186036,6.9276275634765625,4.392324447631836,-2.5353031158447266,8.812512969970703,7.449296760559083,-1.36321620941162,11.231459617614746,11.231459617614746,0.0
LM,1000,rewrite_target_true,1000,2,0.002,15,0.015,0.013,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,12.782027699260972,9.805417153328657,-2.9766105459323153,12.694277286529541,9.662907123565674,-3.031370162963867,18.356027221679685,15.67341194152832,-2.6826152801513654,25.19936180114746,25.019447326660156,-0.1799144744873047,-12.823019033432006,-9.564687481880188,3.2583315515518176,-12.77094554901123,-9.554526805877686,3.216418743133545,-8.002177524566651,-3.495855808258055,4.506321716308596,5.979235649108887,2.9590511322021484,-3.0201845169067383
LM,1500,rewrite_target_new,1500,1477,0.9846666666666667,611,0.4073333333333333,-0.5773333333333334,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.09223490934607617,3.5830439918278953,3.490809082481819,0.00435422221198678,2.676129102706909,2.6717748804949224,0.038125320896506325,8.695361709594726,8.65723638869822,13.110359191894531,23.594017028808594,10.483657836914062,6.489695365905762,-1.2037656002044679,-7.69346096611023,6.627190589904785,-1.244215965270996,-7.871406555175781,8.707099914550781,5.195506572723389,-3.5115933418273926,14.846019744873047,14.846019744873047,0.0
LM,1500,rewrite_target_true,1500,2,0.0013333333333333333,105,0.07,0.06866666666666667,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,12.483913191496706,6.631085171118379,-5.852828020378327,12.083231925964355,5.997668266296387,-6.085563659667969,18.13874626159668,11.872179222106935,-6.266567039489745,28.037416458129883,27.29554557800293,-0.7418708801269531,-12.53086971728007,-5.616137479146322,6.914732238133747,-12.15707778930664,-4.959574222564697,7.197503566741943,-7.669309520721435,-0.5200624465942374,7.149247074127198,5.979235649108887,3.347209930419922,-2.632025718688965
LM,2000,rewrite_target_new,2000,1927,0.9635,356,0.178,-0.7855000000000001,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.26987857938503956,7.575389695443604,7.305511116058565,0.004902841290459037,8.295914649963379,8.29101180867292,0.08556009680032747,13.005160331726074,12.919600234925747,14.756589889526367,21.354902267456055,6.5983123779296875,6.218257316350937,-4.510416744232177,-10.728674060583113,6.510533809661865,-5.39510703086853,-11.905640840530396,8.942386627197267,3.439254188537604,-5.503132438659664,18.81075096130371,14.848405838012695,-3.9623451232910156
LM,2000,rewrite_target_true,2000,2,0.001,54,0.027,0.026,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,12.578061512067448,9.725814677764662,-2.852246834302786,12.186767578125,9.820865631103516,-2.3659019470214844,18.415545845031737,13.973549079895019,-4.441996765136718,34.01415252685547,25.464021682739258,-8.550130844116211,-12.515172925710678,-7.39152802991867,5.123644895792007,-12.109745025634766,-7.057997465133667,5.051747560501099,-7.2788777351379395,-2.6500959396362296,4.62878179550171,5.979235649108887,4.750299453735352,-1.2289361953735352
LM,3000,rewrite_target_new,3000,2860,0.9533333333333334,627,0.209,-0.7443333333333334,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.3622547179437853,7.134749631019879,6.772494913076094,0.009597943164408207,7.359511613845825,7.349913670681417,0.7875649869441981,12.652173709869384,11.864608722925187,14.756589889526367,19.1762638092041,4.419673919677734,5.639692410151164,-4.316013041337331,-9.955705451488495,5.986313343048096,-4.797649145126343,-10.783962488174438,8.665049362182616,2.790267372131346,-5.87478199005127,18.81075096130371,12.606315612792969,-6.204435348510742
LM,3000,rewrite_target_true,3000,3,0.001,70,0.023333333333333334,0.022333333333333334,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,12.240024518121965,9.699533455673604,-2.5404910624483605,11.871013641357422,9.877001285552979,-1.9940123558044434,17.805224609375,13.655440711975098,-4.149783897399901,34.01415252685547,29.691450119018555,-4.322702407836914,-12.045417503356934,-7.443244425614675,4.6021730777422585,-11.740552425384521,-7.42364239692688,4.316910028457642,-6.695562076568604,-2.8029911994934094,3.8925708770751943,5.979235649108887,5.164027214050293,-0.8152084350585938
LM,5000,rewrite_target_new,5000,4353,0.8706,81,0.0162,-0.8544,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,1.2533384955807,12.492336864541937,11.238998368961237,0.05033104494214058,12.933507442474365,12.883176397532225,4.396115684509281,15.783143329620362,11.38702764511108,17.097488403320312,20.441429138183594,3.3439407348632812,4.09566378030777,-8.528056557178497,-12.623720337486265,4.827677249908447,-8.875128269195557,-13.702805519104004,8.094477653503423,-4.789244508743283,-12.883722162246706,18.81075096130371,6.489032745361328,-12.321718215942383
LM,5000,rewrite_target_true,5000,10,0.002,2,0.0004,-0.0016,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,11.657951471584848,13.222412754440308,1.5644612828554596,11.416018009185791,13.397514343261719,1.9814963340759277,16.717872047424322,16.186971092224123,-0.5309009552001989,34.01415252685547,20.525949478149414,-13.488203048706055,-10.88239684753418,-9.268258476638794,1.614138370895386,-10.50144100189209,-9.35689640045166,1.1445446014404297,-5.590245676040647,-6.076555585861204,-0.486309909820557,5.979235649108887,1.6145830154418945,-4.364652633666992
