role,documents,domains,top10_share,wiki_domain_tagged,wiki_mirror_tagged
Dev128,128,127,0.0859375,0,0
Report256,256,252,0.0546875,1,0
Reserve320,320,316,0.04375,0,0
S64,64,64,0.15625,0,0
