case_id,candidate_id,predicted_suffix_value,actual_suffix_action,total_realized_cost,terminal_closure_relative,transition_closure_relative,rollout_failure
14148,equality-only,8.805972902337089e-05,7.604180822878902e-05,0.00012357167740954268,3.663177210455615e-07,4.566901168345794e-07,
14148,seed-00,8.806284313322976e-05,7.603904175475809e-05,0.00012407519532359602,3.705239919327141e-07,4.25788044822184e-07,
14148,seed-01,8.80862062331289e-05,7.605683932744762e-05,0.00012410847976680327,4.139373857015016e-07,3.816209073193022e-07,
14148,seed-02,8.80220250110142e-05,7.599890879012342e-05,0.00012401122522926502,3.528261345309147e-07,4.2168878167103685e-07,
14148,seed-03,8.802960655884817e-05,7.601254927907386e-05,0.0001240354741582445,3.8313729078254255e-07,4.3258162918391463e-07,
16872,equality-only,0.0001047824916895479,9.242432311942982e-05,0.0001480395387606992,4.6320155888679437e-07,4.577952665840712e-07,
16872,seed-00,0.0001047774130711332,9.242855247044071e-05,0.00014862636778897485,3.737948475190933e-07,6.064913691261609e-07,
16872,seed-01,0.0001047622281475924,9.241877955580604e-05,0.00014860191796144348,4.153374959514622e-07,4.424189796736755e-07,
16872,seed-02,0.0001047629484673962,9.242628870266504e-05,0.00014861067023189903,3.8036867522350803e-07,4.935770334668632e-07,
16872,seed-03,0.00010480200580786914,9.243062182801042e-05,0.00014864177236819656,4.1595825450713164e-07,4.639039730136574e-07,
4164,equality-only,7.710001955274493e-05,6.960734282100566e-05,0.00011035648580436696,5.135840410730452e-07,5.47666843431216e-07,
4164,seed-00,7.712166552664712e-05,6.962421382216021e-05,0.00011080879539802446,5.113041652293759e-07,5.114001737638318e-07,
4164,seed-01,7.71122140577063e-05,6.961122461217586e-05,0.00011079825813157306,4.964567210663517e-07,5.39538802968309e-07,
4164,seed-02,7.70844635553658e-05,6.959496528280022e-05,0.00011076429523449873,4.6812607479296275e-07,6.02605553012836e-07,
4164,seed-03,7.710934733040631e-05,6.961708530203956e-05,0.00011080185061605746,4.86536634980439e-07,5.485611040967342e-07,
3002,equality-only,7.207760791061446e-05,6.4443180114561e-05,0.0001036263739040231,4.547069352156541e-07,6.068524385227647e-07,
3002,seed-00,7.209285831777379e-05,+Infinity,+Infinity,+Infinity,5.076753382127208e-07,typed range failure: residual=0.000489372702
3002,seed-01,7.208361057564616e-05,6.445427044972496e-05,0.00010406418448525594,4.257332477664022e-07,5.272804628475569e-07,
3002,seed-02,7.203189306892455e-05,6.442314457623677e-05,0.00010400918259368572,4.1297587927147106e-07,5.389750867834664e-07,
3002,seed-03,7.204010034911335e-05,6.441410128948827e-05,0.00010399597193885561,3.854658245927567e-07,5.077580453871633e-07,
