cell,arm,metric,field,delta,n,mean,median,p90,max,negative,equal,positive,favorable_direction,favorable,unfavorable
0,ORBFH_HIST,RS,target_new_nll,method-minus-O_NATIVE,10,-0.182651508282288,-0.0009795110672712326,0.0002481705421814689,0.0016721002757549286,8,0,2,lower,8,2
0,ORBFH_HIST,RS,target_true_nll,method-minus-O_NATIVE,10,0.196598619222641,0.12618422508239746,0.5160641133785248,0.5796175003051758,3,0,7,higher,7,3
0,ORBFH_HIST,RS,nll_advantage,method-minus-O_NATIVE,10,0.379250127504929,0.12749668210744858,0.761551702022552,2.251443922519684,3,0,7,higher,7,3
0,ORBFH_HIST,RS,success,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
0,ORBFH_HIST,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
0,ORBFH_HIST,PS,target_new_nll,method-minus-O_NATIVE,20,-0.14390400126576425,-0.018519163131713867,0.11536226272583013,0.14339923858642578,12,0,8,lower,12,8
0,ORBFH_HIST,PS,target_true_nll,method-minus-O_NATIVE,20,0.09992333650588989,0.0257568359375,0.5418435573577882,0.897590160369873,8,0,12,higher,12,8
0,ORBFH_HIST,PS,nll_advantage,method-minus-O_NATIVE,20,0.24382733777165413,0.030490398406982422,0.7253720641136179,2.3406572341918945,8,0,12,higher,12,8
0,ORBFH_HIST,PS,success,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
0,ORBFH_HIST,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
0,ORBFH_HIST,NS,target_new_nll,method-minus-O_NATIVE,100,-0.01371042251586914,-0.004805803298950195,0.013260221481323258,0.035610198974609375,68,0,32,higher,32,68
0,ORBFH_HIST,NS,target_true_nll,method-minus-O_NATIVE,100,-0.0006951651838608086,-0.00028670206665992737,0.018755245208740254,0.041213035583496094,52,0,48,lower,52,48
0,ORBFH_HIST,NS,nll_advantage,method-minus-O_NATIVE,100,0.013015257332008333,0.00395326130092144,0.04011249542236337,0.17747795581817627,36,0,64,lower,36,64
0,ORBFH_HIST,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
0,ORBFH_HIST,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
0,JV_NATIVE,RS,target_new_nll,method-minus-O_NATIVE,10,-0.2757310508546652,-0.018484273925423622,-0.0007342731143580752,-0.00019161563250236213,10,0,0,lower,10,0
0,JV_NATIVE,RS,target_true_nll,method-minus-O_NATIVE,10,3.245025020837784,2.936739444732666,5.461767107248305,8.625858306884766,0,0,10,higher,10,0
0,JV_NATIVE,RS,nll_advantage,method-minus-O_NATIVE,10,3.520756071692449,2.9910829119908158,7.490371950517874,8.694885247503407,0,0,10,higher,10,0
0,JV_NATIVE,RS,success,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
0,JV_NATIVE,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
