cell,recorded,nonzero_angle_rows,Rturn_positive,Rturn_n,Rturn_mean,Rturn_median,Rturn_p90,Rturn_max
0,8,8,8,8,0.5283784076839181,0.6058723659610953,0.6289533763346673,0.6367029321756249
1,8,8,8,8,0.36912289565104417,0.4605416458004704,0.46975113728530715,0.46975113728530715
2,8,8,8,8,0.5314592937258023,0.531614538492633,0.5533451418061833,0.5533451418061833
3,8,8,8,8,0.476314322748041,0.4942766420329331,0.5261065812845956,0.5359679303876207
