cell,N,Rturn,V,beta,c,comparator,dissipation_residual,fixture,gain,lambda_value,native_cosine,node,qF,qN,response_sq,speed_bound,speed_excess,state_owner,status,velocity_mismatch
0,4,0.0,0.4999999843051143,1.0,"[0.0, 0.0, 0.0, 0.004883046789529636, 0.8536157693255673]",JV_NATIVE,-2.402592014227878e-16,D10B,0.9700811995570944,0.01,1.0,0,0.5365383276241352,0.7286837257872287,0.9627943622992223,24.999999215255713,-24.271315489468485,JV_NATIVE,FINITE,0.1504391298674063
0,4,0.661462335056752,0.4999999843051143,1.5778552949746218,"[0.049478443657779536, 0.09022860652332845, 0.15009202815148717, 0.1811131573928373, 0.18211797884731715]",ORB_RAY_N,-6.657001339060997e-17,D10B,0.6032629305551579,0.01,0.5818398963144827,0,0.08387056609806788,0.09908586873679903,0.60227207186779,24.999999215255713,-24.900913346518912,JV_NATIVE,FINITE,0.6290836028444093
0,4,0.6614623350567521,0.4999999843051143,0.6354599806123837,"[0.12285561120197715, 0.22403878907341704, 0.37268043398119366, 0.44970629638465603, 0.4522012809640583]",ORB_SNAPSHOT,-2.221419187951251,D10B,1.4979096060794703,0.01,0.5818398963144827,0,0.5170916289736769,0.6108993375992445,3.713219800654729,24.999999215255713,-24.389099877656466,JV_NATIVE,FINITE,1.3104963018284386
0,4,0.40039228038417546,0.4999999843051143,1.7055302500606215,"[0.04274445227220971, 0.07786802355525946, 0.1293810754063264, 0.19015822467602822, 0.2990249521443326]",DIAG_RAY_N,-3.881443777498106e-17,D10B,0.7129906513721442,0.01,0.7743434119406096,0,0.11970495717758228,0.15020605238261042,0.7114885908483182,24.999999215255713,-24.8497931628731,JV_NATIVE,FINITE,0.534328790834126
0,4,7.274929972319651e-06,0.4999999843051143,0.9957818624518897,"[0.0, 0.0, 0.0, 0.0025915721281676027, 0.857238680540735]",JV_FROB,-0.0019377674582933702,D10B,0.9720107882477733,0.01,0.9999963625283983,0,0.541088125832027,0.7348648716613159,0.9665999069894535,24.999999215255713,-24.265134343594397,JV_NATIVE,FINITE,0.15026077034321103
0,4,0.0,0.4999999843051143,1.0,"[0.0, 0.0, 0.006120786142145618, 0.061934673417942905, 0.7501470014613776]",JV_NATIVE,-3.2612801348363973e-16,D10B,0.9123874051047026,0.1,1.0,0,0.4175153169251255,0.5665938915958811,0.8557280159451148,2.4999999215255713,-1.93340602992969,JV_NATIVE,FINITE,0.17593514244157774
0,4,0.6058723659610953,0.4999999843051143,1.5234264489838534,"[0.048757683690405, 0.08891423277414973, 0.14790561489116155, 0.17847485465404375, 0.1794650387225186]",ORB_RAY_N,-1.3877787807814457e-16,D10B,0.5944751082632407,0.1,0.6277958537923811,0,0.08144485316434041,0.096220097292459,0.5848530985339949,2.4999999215255713,-2.403779824233112,JV_NATIVE,FINITE,0.6292081139160095
0,4,0.6058723659610953,0.4999999843051143,0.6046019729862877,"[0.12285561120197715, 0.22403878907341704, 0.37268043398119366, 0.44970629638465603, 0.4522012809640583]",ORB_SNAPSHOT,-2.276400128335183,D10B,1.4979096060794703,0.1,0.6277958537923811,0,0.5170916289736769,0.6108993375992445,3.713219800654729,2.4999999215255713,-1.8891005839263268,JV_NATIVE,FINITE,1.3104963018284386
0,4,0.3515491911044383,0.4999999843051143,1.6138658685119485,"[0.043047141091990225, 0.07771161792752483, 0.12783267623748903, 0.18543497274252443, 0.2871303354699137]",DIAG_RAY_N,-9.194034422677078e-17,D10B,0.6937813976254622,0.1,0.8052644341429478,0,0.11277313146052118,0.14106330369423195,0.6796750672560391,2.4999999215255713,-2.3589366178313393,JV_NATIVE,FINITE,0.5404740887548116
0,4,0.0004121620211646939,0.4999999843051143,0.9661098056674919,"[0.0, 0.0, 0.002758658912854428, 0.048730273939749255, 0.777437962258472]",JV_FROB,-0.01598055467876589,D10B,0.9278201623895657,0.1,0.999793897750349,0,0.4469864881701889,0.6067920349578457,0.883121513572547,2.4999999215255713,-1.8932078865677255,JV_NATIVE,FINITE,0.16577441721702524
0,4,0.0,0.4999999843051143,1.0,"[0.0017749536315093961, 0.01939744769318197, 0.0667251566908936, 0.14701520068135246, 0.38273122627083683]",JV_NATIVE,-1.6653345369377348e-16,D10B,0.6454125810166721,1.0,1.0,0,0.12996892287280998,0.1729283187669849,0.47248426224968737,0.24999999215255714,-0.07707167338557225,JV_NATIVE,FINITE,0.4262148153532113
0,4,0.3169874539686087,0.4999999843051143,1.2693302157040536,"[0.04255817064617556, 0.07760883628728853, 0.12909949615396285, 0.15578187365600596, 0.15664615635706397]",ORB_RAY_N,-8.326672684688674e-17,D10B,0.5188879205791603,1.0,0.8264457308446763,0,0.06205023301355736,0.07330701972704076,0.44558090085211965,0.24999999215255714,-0.17669297242551638,JV_NATIVE,FINITE,0.6385961386541793
0,4,0.3169874539686087,0.4999999843051143,0.4397061835252225,"[0.12285561120197715, 0.22403878907341704, 0.37268043398119366, 0.44970629638465603, 0.4522012809640583]",ORB_SNAPSHOT,-2.826209532174503,D10B,1.4979096060794703,1.0,0.8264457308446763,0,0.5170916289736769,0.6108993375992445,3.713219800654729,0.24999999215255714,0.3608993454466874,JV_NATIVE,FINITE,1.3104963018284386
0,4,0.1688921458668323,0.4999999843051143,1.2798862660806167,"[0.044067615442951534, 0.07400575594304987, 0.11309522136404518, 0.1502711585380734, 0.21200432206780787]",DIAG_RAY_N,-2.0816681711721685e-16,D10B,0.5605806814113806,1.0,0.9116511691064558,0,0.07183613152423135,0.0877365894027181,0.47284409200866273,0.24999999215255714,-0.16226340274983903,JV_NATIVE,FINITE,0.5930284123009039
0,4,0.005511722779760303,0.4999999843051143,0.8850475955229385,"[0.0011198937168017953, 0.01419824919329643, 0.056466203371878604, 0.14004116681010267, 0.44333591828213226]",JV_FROB,-0.05568030580940592,D10B,0.6942393557878258,1.0,0.9972403307228602,0,0.16386923559651678,0.2195495414059227,0.530370120191309,0.24999999215255714,-0.03045045074663444,JV_NATIVE,FINITE,0.37668471859883856
0,4,0.0,0.15054458292418946,1.0,"[0.0, 0.0, 0.0, 0.004472501298888882, 0.4788585770901842]",JV_NATIVE,7.28583859910259e-17,D10B,0.29136525689446413,0.01,1.0,1,0.16840057066825004,0.22932554012070444,0.289072001493257,7.527229146209473,-7.297903606088768,JV_NATIVE,FINITE,0.0862012386959
