cell,arm,kind,target,n,mean,median,p90,max
Llama-MEMIT,PRE_EDIT_WARM,rewrite,new,10,10.487653577327729,10.473434448242188,15.93746395111084,18.268747329711914
Llama-MEMIT,PRE_EDIT_WARM,rewrite,true,10,3.7672600939869882,2.6233330965042114,7.98519821166992,12.576455116271973
Llama-MEMIT,PRE_EDIT_WARM,rephrase,new,20,10.903824067115783,10.937126159667969,14.200730895996095,16.33244514465332
Llama-MEMIT,PRE_EDIT_WARM,rephrase,true,20,5.830285365134477,4.807765483856201,12.722092056274416,14.794351577758789
Llama-MEMIT,O_NATIVE,rewrite,new,10,0.2828978858393384,0.022170167416334152,0.5057377189397805,2.2496743202209473
Llama-MEMIT,O_NATIVE,rewrite,true,10,8.38160805106163,8.911693572998047,11.958709144592284,13.900571823120117
Llama-MEMIT,O_NATIVE,rephrase,new,20,4.662789693474769,3.1092811822891235,11.147288322448732,14.150289535522461
Llama-MEMIT,O_NATIVE,rephrase,true,20,7.138239073753357,5.96640944480896,12.859624958038331,15.878514289855957
Llama-MEMIT,ORBFH_HIST,rewrite,new,10,0.10024637755705043,0.022955799475312233,0.28148200511932364,0.5072330236434937
Llama-MEMIT,ORBFH_HIST,rewrite,true,10,8.57820667028427,9.035438060760498,11.950099945068358,14.342613220214844
Llama-MEMIT,ORBFH_HIST,rephrase,new,20,4.518885692209006,2.257608413696289,11.053616428375246,14.232908248901367
Llama-MEMIT,ORBFH_HIST,rephrase,true,20,7.238162410259247,5.939977169036865,12.855417728424074,15.921192169189453
Llama-MEMIT,JV_NATIVE,rewrite,new,10,0.007166834984673187,0.001989668991882354,0.0226367050781846,0.0342121385037899
Llama-MEMIT,JV_NATIVE,rewrite,true,10,11.626633071899414,11.14310073852539,18.188159370422362,18.598630905151367
Llama-MEMIT,JV_NATIVE,rephrase,new,20,4.185014405474067,2.2557289600372314,10.820630264282228,13.977691650390625
Llama-MEMIT,JV_NATIVE,rephrase,true,20,8.614836764335632,8.109369277954102,13.162505626678469,15.674517631530762
Llama-MEMIT,ORB_RAY_N,rewrite,new,10,0.010499974258709698,0.0030471974750980735,0.034688260406255715,0.04816719889640808
Llama-MEMIT,ORB_RAY_N,rewrite,true,10,11.218339109420777,10.831472873687744,16.920194625854492,17.722814559936523
Llama-MEMIT,ORB_RAY_N,rephrase,new,20,4.066931946203113,1.844930112361908,10.781090831756593,14.47419548034668
Llama-MEMIT,ORB_RAY_N,rephrase,true,20,8.83728199005127,8.639747142791748,13.386882972717286,16.058738708496094
Llama-AlphaEdit,PRE_EDIT_WARM,rewrite,new,10,10.433673936128617,9.883934020996094,16.128209686279295,18.259124755859375
Llama-AlphaEdit,PRE_EDIT_WARM,rewrite,true,10,3.665742865204811,2.5773656368255615,7.334599018096922,12.72107982635498
Llama-AlphaEdit,PRE_EDIT_WARM,rephrase,new,20,10.872598814964295,10.880557537078857,14.06918525695801,16.429279327392578
Llama-AlphaEdit,PRE_EDIT_WARM,rephrase,true,20,5.761847653239966,4.670449733734131,12.452589130401613,14.865983009338379
Llama-AlphaEdit,O_NATIVE,rewrite,new,10,0.0008299750235892134,0.0004883405927103013,0.002157094026915729,0.0027315232437103987
Llama-AlphaEdit,O_NATIVE,rewrite,true,10,13.450815582275391,13.78626537322998,16.576036834716795,16.79387855529785
Llama-AlphaEdit,O_NATIVE,rephrase,new,20,3.4907079760712802,1.6313911080360413,8.654107856750489,14.304123878479004
Llama-AlphaEdit,O_NATIVE,rephrase,true,20,9.744598460197448,10.159447193145752,13.8880729675293,15.841861724853516
Llama-AlphaEdit,ORBFH_HIST,rewrite,new,10,0.00717485586865223,0.0013114495086483657,0.019126143306493752,0.041642047464847565
Llama-AlphaEdit,ORBFH_HIST,rewrite,true,10,10.847871017456054,11.24983024597168,12.916317367553711,13.990835189819336
Llama-AlphaEdit,ORBFH_HIST,rephrase,new,20,3.906646784581244,2.558674693107605,8.867727756500244,14.128313064575195
Llama-AlphaEdit,ORBFH_HIST,rephrase,true,20,8.390787017345428,8.093183994293213,12.585331153869634,15.758607864379883
Llama-AlphaEdit,JV_NATIVE,rewrite,new,10,0.0017379082077241038,0.0008087434689514339,0.0037516211858019213,0.008466540835797787
Llama-AlphaEdit,JV_NATIVE,rewrite,true,10,12.145489692687988,12.196006298065186,14.546349143981933,15.130844116210938
Llama-AlphaEdit,JV_NATIVE,rephrase,new,20,3.6655573994881707,2.0586937069892883,8.42460069656372,13.778962135314941
Llama-AlphaEdit,JV_NATIVE,rephrase,true,20,8.812066078186035,8.983735084533691,13.422956371307377,15.852181434631348
Llama-AlphaEdit,ORB_RAY_N,rewrite,new,10,0.0019747731814277357,0.0008133321534842253,0.004012065776623783,0.010535219684243202
Llama-AlphaEdit,ORB_RAY_N,rewrite,true,10,12.240053081512452,12.410650730133057,14.665355491638183,15.165214538574219
Llama-AlphaEdit,ORB_RAY_N,rephrase,new,20,3.6081478256266566,2.180185317993164,8.505961418151855,14.168261528015137
Llama-AlphaEdit,ORB_RAY_N,rephrase,true,20,9.060776424407958,9.190951824188232,13.145081138610845,15.771109580993652
Qwen-MEMIT,PRE_EDIT_WARM,rewrite,new,10,10.281250154972076,11.14622163772583,15.599754047393798,16.298507690429688
Qwen-MEMIT,PRE_EDIT_WARM,rewrite,true,10,4.442137086391449,3.4870256185531616,8.121063709259031,10.830296516418457
Qwen-MEMIT,PRE_EDIT_WARM,rephrase,new,20,11.139257335662842,11.252816200256348,15.51852493286133,17.673789978027344
Qwen-MEMIT,PRE_EDIT_WARM,rephrase,true,20,6.10471478253603,5.400911092758179,12.584426307678225,17.024417877197266
Qwen-MEMIT,O_NATIVE,rewrite,new,10,0.02273912318632938,0.008312877966091037,0.07104732990264892,0.08537805080413818
Qwen-MEMIT,O_NATIVE,rewrite,true,10,12.17908353805542,11.120818614959717,18.43181457519531,19.909873962402344
Qwen-MEMIT,O_NATIVE,rephrase,new,20,3.8421625872142613,2.537485957145691,7.6628279685974166,14.3486328125
Qwen-MEMIT,O_NATIVE,rephrase,true,20,10.3727285861969,10.415910720825195,15.644338512420655,16.370222091674805
Qwen-MEMIT,ORBFH_HIST,rewrite,new,10,0.02207605162402615,0.0087292673997581,0.06589551791548728,0.08886975795030594
Qwen-MEMIT,ORBFH_HIST,rewrite,true,10,12.403430223464966,11.172930717468262,18.280702972412108,20.055753707885742
Qwen-MEMIT,ORBFH_HIST,rephrase,new,20,3.4846631885739043,2.062923789024353,7.761762142181399,12.669469833374023
Qwen-MEMIT,ORBFH_HIST,rephrase,true,20,10.562798428535462,10.744746685028076,16.009951782226562,16.225021362304688
Qwen-MEMIT,JV_NATIVE,rewrite,new,10,0.019593577925115825,0.011243402026593685,0.04880053848028182,0.06892229616641998
Qwen-MEMIT,JV_NATIVE,rewrite,true,10,11.651789808273316,10.327197551727295,18.204209518432616,18.42952537536621
Qwen-MEMIT,JV_NATIVE,rephrase,new,20,3.4189405342563988,2.2073928117752075,8.083009958267214,9.22010326385498
Qwen-MEMIT,JV_NATIVE,rephrase,true,20,10.35631034374237,10.530705451965332,15.107198429107667,16.324308395385742
Qwen-MEMIT,ORB_RAY_N,rewrite,new,10,0.02230460859136656,0.005345453973859549,0.07343218550086021,0.09105068445205688
Qwen-MEMIT,ORB_RAY_N,rewrite,true,10,12.338445138931274,10.851202487945557,18.718949127197266,19.62421226501465
Qwen-MEMIT,ORB_RAY_N,rephrase,new,20,3.3340684955241158,2.187924385070801,7.5132306098937995,11.18818473815918
Qwen-MEMIT,ORB_RAY_N,rephrase,true,20,10.531993770599366,10.78128719329834,15.976736450195313,16.13017463684082
Qwen-AlphaEdit,PRE_EDIT_WARM,rewrite,new,10,10.27273126244545,11.065819263458252,15.766256618499755,16.34977912902832
Qwen-AlphaEdit,PRE_EDIT_WARM,rewrite,true,10,4.408887434005737,3.4681296348571777,8.017069911956787,10.87627124786377
Qwen-AlphaEdit,PRE_EDIT_WARM,rephrase,new,20,11.153654885292053,11.223045349121094,15.432604026794436,17.601951599121094
Qwen-AlphaEdit,PRE_EDIT_WARM,rephrase,true,20,6.10173893943429,5.422556638717651,12.46306257247925,17.012889862060547
Qwen-AlphaEdit,O_NATIVE,rewrite,new,10,0.024586987151997163,0.015345499385148287,0.05493420660495756,0.10342944413423538
Qwen-AlphaEdit,O_NATIVE,rewrite,true,10,11.894517612457275,11.124853134155273,17.320849800109862,18.085905075073242
Qwen-AlphaEdit,O_NATIVE,rephrase,new,20,3.732687901845202,1.8243155479431152,8.304220199584964,13.969404220581055
Qwen-AlphaEdit,O_NATIVE,rephrase,true,20,10.912854075431824,10.45271348953247,14.806382465362551,16.43844985961914
Qwen-AlphaEdit,ORBFH_HIST,rewrite,new,10,0.02518622565548867,0.0174638070166111,0.0544111482799053,0.10967838019132614
Qwen-AlphaEdit,ORBFH_HIST,rewrite,true,10,11.988763904571533,11.944864749908447,17.120030403137207,18.934499740600586
Qwen-AlphaEdit,ORBFH_HIST,rephrase,new,20,3.7714913566596806,2.0845569372177124,8.093170070648197,14.256863594055176
Qwen-AlphaEdit,ORBFH_HIST,rephrase,true,20,10.964833664894105,10.562414646148682,14.796477127075198,16.65963363647461
Qwen-AlphaEdit,JV_NATIVE,rewrite,new,10,0.027896269515622407,0.01593772368505597,0.05474599227309225,0.10170555114746094
Qwen-AlphaEdit,JV_NATIVE,rewrite,true,10,11.526485919952393,11.755055904388428,17.115016746520997,17.264497756958008
Qwen-AlphaEdit,JV_NATIVE,rephrase,new,20,3.8334230839740484,2.5753633975982666,7.973394250869752,14.758538246154785
Qwen-AlphaEdit,JV_NATIVE,rephrase,true,20,10.902023100852967,10.810670375823975,14.254963111877444,16.454374313354492
Qwen-AlphaEdit,ORB_RAY_N,rewrite,new,10,0.026387392182368786,0.017640945967286825,0.055317191407084444,0.11033514887094498
Qwen-AlphaEdit,ORB_RAY_N,rewrite,true,10,11.893744969367981,11.77948808670044,16.85926761627197,18.373624801635742
Qwen-AlphaEdit,ORB_RAY_N,rephrase,new,20,3.7435637368820607,2.0498303174972534,8.079122352600098,14.427062034606934
Qwen-AlphaEdit,ORB_RAY_N,rephrase,true,20,10.804666018486023,10.556317329406738,14.832003974914553,16.592845916748047
