cell,arm,write_wall_seconds,eval_wall_seconds,model_forward_calls,main_JVP_calls,diagnostic_JVP_calls,peak_gpu_bytes,peak_gpu_scope,main_layer_build_receipts,main_controller_nodes,NNLS_face_solve_count
0,O_NATIVE,41.92959468066692,43.852470023557544,53,0,0,42359669248,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
0,ORBFH_HIST,172.11152659915388,44.295591281726956,145,20,0,42359669248,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
0,JV_NATIVE,197.12174249999225,39.31276427023113,93,20,0,42359669248,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
0,ORB_RAY_N,208.10002791509032,49.47781445644796,93,20,0,42359669248,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
1,O_NATIVE,33.36494185589254,43.14062718115747,58,0,0,40242872832,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
1,ORBFH_HIST,228.3239911980927,78.26092990487814,191,20,0,40242872832,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
1,JV_NATIVE,144.77473674714565,42.07142850756645,98,20,0,40242872832,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
1,ORB_RAY_N,154.80512097850442,40.11251107417047,98,20,0,40242872832,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
2,O_NATIVE,71.51967075653374,62.18168779462576,53,0,0,45709838848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
2,ORBFH_HIST,253.10079197771847,166.83791914768517,188,20,0,45709838848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
2,JV_NATIVE,353.82796165905893,65.57990050315857,93,20,0,45709838848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
2,ORB_RAY_N,392.8418708052486,71.20127020962536,93,20,0,45709838848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
3,O_NATIVE,38.40893394686282,52.62232484854758,58,0,0,42296334848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
3,ORBFH_HIST,270.8146279975772,104.29782945290208,193,20,0,42296334848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,NOT_RECORDED_IN_V31_SCHEMA,NOT_APPLICABLE_NATIVE_OR_ORDERED,NOT_RECORDED_SCHEMA_GAP
3,JV_NATIVE,199.20371014997363,51.91825980320573,98,20,0,42296334848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
3,ORB_RAY_N,208.0587241537869,52.36280737258494,98,20,0,42296334848,PROCESS_HIGH_WATER_NOT_RESET_PER_ARM,20,4,NOT_RECORDED_SCHEMA_GAP
