arm,state,reuse,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,delta_CAP1_count,delta_CAP1_pp
CAP1,W10_FULL_FIRST1000,True,RS,998,1000,99.8,1000,0,996,1000,996,1,1011,1015,996,0.027483012671682447,0.0011282156920060515,0.004549854015931488,0.007408021530136455,0.07741318531334394,2.2172682292875834e-05,9.114649772644043,14.584891033530235,14.492328643798828,19.978231620788574,21.68204660415649,24.359062461853025,1.3936842679977417,32.713836669921875,14.557408020858553,14.491419397847494,19.977861229188782,21.68145657050481,24.35835217436368,-6.185954213142395,32.71316455543274,0,0.0
CAP1,W10_FULL_FIRST1000,True,PS,1942,2000,97.1,1000,0,1341,2000,1341,12,1370,2030,503,1.5436726190294667,0.3024852126836777,5.125006961822513,6.7589451551437305,10.000018997192381,5.6265202147187665e-05,16.6906795501709,10.15203812836483,10.046596050262451,14.9906156539917,16.763717651367188,20.105521335601807,0.07335568219423294,24.70581817626953,8.608365509335364,8.657276693731546,14.38937987163663,16.368882584152743,19.987845773458247,-8.932344913482666,24.685913426801562,0,0.0
CAP1,W10_FULL_FIRST1000,True,NS,8056,10000,80.56,1000,0,1820,10000,247,1820,1930,10110,10,9.283679338489794,9.259900569915771,14.148305225372315,15.506478548049923,18.13694366455078,6.48477507638745e-05,24.48125648498535,5.302484329194942,4.854599952697754,10.575318908691408,12.288322019577018,15.086058883666993,0.0007825411157682538,22.646289825439453,3.9811950092948516,4.0229045152664185,10.105278730392456,11.648483600467443,14.9617902154848,-17.753726961331267,19.10924182087183,0,0.0
CAP10,W10_FULL_FIRST1000,False,RS,999,1000,99.9,1000,0,995,1000,995,1,1010,1015,995,0.030928435025150976,0.001228114531841129,0.004956114850938321,0.007574392645619788,0.10800680354237553,1.847726889536716e-05,9.001810073852539,14.49628280198574,14.309282779693604,19.93949375152588,21.730937004089352,24.776620483398435,1.0058215856552124,28.881729125976562,14.46535436696059,14.307159334246535,19.938913698247053,21.730873674538085,24.770474402235994,-6.014540791511536,28.881504084158223,1,0.10000000000000853
CAP10,W10_FULL_FIRST1000,False,PS,1947,2000,97.35,1000,0,1336,2000,1336,11,1365,2030,504,1.5471979916304464,0.30079464614391327,4.997241020202638,6.856200790405273,10.043343963623046,5.519237674889155e-05,17.050918579101562,10.1144073690027,9.970558166503906,15.166236400604248,16.889126682281493,20.143294830322265,0.09258483350276947,25.73089027404785,8.567209377372254,8.514115393161774,14.43144858547021,16.576641224735063,19.901649283878506,-9.415582180023193,25.728000885341316,5,0.25
CAP10,W10_FULL_FIRST1000,False,NS,8075,10000,80.75,1000,0,1803,10000,247,1803,1913,10110,11,9.285756853692405,9.270647048950195,14.129546070098879,15.537164306640625,18.1805743598938,7.343022298300639e-05,24.294200897216797,5.317979336439242,4.859249591827393,10.593784427642822,12.203889656066893,14.921477928161623,0.0008986725588329136,22.26567840576172,3.967777517253164,4.007030487060547,10.03908486366272,11.654429924488067,14.986492365971209,-19.888468745069986,19.244799464941025,19,0.18999999999999773
CAP100,W10_FULL_FIRST1000,False,RS,998,1000,99.8,1000,0,995,1000,995,2,1010,1015,995,0.03749852053166614,0.0011872155591845512,0.004902615956962109,0.008127638790756462,0.152358073592184,3.7788631743751466e-05,12.929878234863281,14.521866155207157,14.503669261932373,19.806575775146484,21.792661952972413,24.3081789779663,0.24896663427352905,26.56229019165039,14.484367634675491,14.492142080940539,19.805243324319598,21.792418950593856,24.307920640121438,-4.44251811504364,26.56182788568549,0,0.0
CAP100,W10_FULL_FIRST1000,False,PS,1945,2000,97.25,1000,0,1355,2000,1355,12,1384,2030,515,1.535993281684716,0.3100553900003433,5.063209676742557,7.023903656005858,9.910532112121581,4.756337511935271e-05,16.08720588684082,10.130219858519734,9.955922603607178,15.254960250854493,16.766248321533205,20.0502174949646,0.07689021527767181,25.077251434326172,8.594226576835018,8.586909232661128,14.419895241828641,16.348354031261984,20.049284622992563,-9.07746696472168,25.076258318149485,3,0.15000000000000568
CAP100,W10_FULL_FIRST1000,False,NS,8052,10000,80.52,1000,0,1803,10000,246,1803,1913,10110,10,9.274741454709778,9.259356021881104,14.176903343200683,15.518829631805414,18.089873809814453,7.450303382938728e-05,24.597673416137695,5.311169901732623,4.862670660018921,10.595210075378418,12.237288045883162,15.02922010421753,0.000839238753542304,22.84797477722168,3.963571552977156,3.9892207384109497,10.003453063964844,11.61665172576904,15.001088913530113,-22.430738224182278,19.177985407412052,-4,-0.04000000000000625
NORM_ONLY,W10_FULL_FIRST1000,False,RS,999,1000,99.9,1000,0,995,1000,995,1,1010,1015,995,0.027173619655124638,0.0011426236596889794,0.004834604822099211,0.007874043565243481,0.2374393714964389,3.516612196108326e-05,6.379707336425781,14.532833154916764,14.466029644012451,19.790038871765137,21.602832794189453,24.646196975708005,1.4309569597244263,26.458187103271484,14.505659535261639,14.46424240124179,19.78982503876905,21.602001735710655,24.645492497943778,-4.948750376701355,26.458021535276202,1,0.10000000000000853
NORM_ONLY,W10_FULL_FIRST1000,False,PS,1938,2000,96.9,1000,0,1333,2000,1333,13,1362,2030,502,1.5607624247615368,0.2968094199895859,5.110483741760254,6.994409227371214,10.066462783813476,5.1377883210079744e-05,16.327985763549805,10.109776081565768,9.97685194015503,15.290744018554689,16.788891410827638,20.217024440765382,0.07232225686311722,24.79403305053711,8.549013656804231,8.486395478248596,14.431758857937531,16.372121703694575,20.049367606649174,-9.518194437026978,24.792759633623064,-4,-0.19999999999998863
NORM_ONLY,W10_FULL_FIRST1000,False,NS,8042,10000,80.42,1000,0,1812,10000,246,1812,1922,10110,9,9.274903475074694,9.270522117614746,14.181492710113526,15.517381381988525,18.127377185821544,6.48477507638745e-05,24.560728073120117,5.298298381897795,4.857595920562744,10.525167751312257,12.25320873260498,14.847171611785893,0.0005797850899398327,23.05821990966797,3.976605093176898,4.0002546310424805,10.061183819174767,11.623805356025695,14.937746917605404,-21.25591278286447,19.198036015033722,-14,-0.14000000000000057
