arm,cap_bound,norm_bound,halfspace_active,ball_hit_requests,retractions,post_ball_geC_positive,CPU_selected_reconstruction_maxabs,unequal_selected_elements
CAP10,10,0,9,112,0,7,0.0,0
CAP100,10,0,9,156,0,7,0.0,0
NORM_ONLY,0,10,9,980,0,9,0.0,0
