label,status,job,model_revision,model_revision_equal,sample_root,sample_root_equal,case_prompt_target_hash_pairing,contexts_parsed_equal,seed,EP_seed,dtype,attention,torch,transformers,GPU,tf32_matmul,tf32_cudnn,layers,blue,L2,native_scalar_policy,tokenizer,evaluator_tokenizer,source_head,source_archive_sha256,runtime_sha256,config_sha256,hparam_differences,same_state_causal_comparison,C4_D64,baseline_raw_sha256
AlphaEdit_BLUE_L4_ONLY,AVAILABLE_W10_FIRST1000_NOT_FINAL10K,39283_3,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,True,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,True,True,True,20260907,20260915,torch.float32,eager,2.9.1+cu128,4.44.2,NVIDIA RTX PRO 6000 Blackwell Server Edition,False,True,[4],True,1,,"{""add_bos_token"": false, ""bos"": 128000, ""eos"": 128009, ""pad"": 128009, ""padding"": ""right""}","{""add_bos_token"": ""NOT_EXPOSED"", ""pad"": 128009, ""padding"": ""right""}",1075540b45c29269e690ac63aae44758d8d63174,6cb448801ae2136f627a7c5390e2d042b2dd8456eb01e183d064f1bd5eeed2af,807ec8afd3aef1ad5ec20ad535f265527010711b4435629964c505fdc28e16d4,2392ab8392476ed019985e4292a8c0aa2a3957f36a06a704eb7590e8e8c99c5d,{},False,NOT_AVAILABLE_NO_NEW_EVALUATION,dc8545bb8c984e6afc67ca3bbae4e6e36a1bc6a460cbfe27e2a7c57390c062b2
AlphaEdit_BLUE (L4+L8),AVAILABLE_W10_FIRST1000_NOT_FINAL10K,39283_1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,True,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,True,True,True,20260907,20260915,torch.float32,eager,2.9.1+cu128,4.44.2,NVIDIA RTX PRO 6000 Blackwell Server Edition,False,True,"[4, 8]",True,1,,"{""add_bos_token"": false, ""bos"": 128000, ""eos"": 128009, ""pad"": 128009, ""padding"": ""right""}","{""add_bos_token"": ""NOT_EXPOSED"", ""pad"": 128009, ""padding"": ""right""}",1075540b45c29269e690ac63aae44758d8d63174,6cb448801ae2136f627a7c5390e2d042b2dd8456eb01e183d064f1bd5eeed2af,850ed7ce290c8d6d26c82912b6a8b5d91a0ee3d86394a279aa2aca83db6a2d08,588603990aa1234e62dd9c47f8449be60ba396358d9c0930c2ea3453606b24c4,"{""layers"": {""EP"": [4], ""reference"": [4, 8]}}",False,NOT_AVAILABLE_NO_NEW_EVALUATION,9c8f22a3c255769d21ee4c349fba6b8ceb83cdea22d0661ca8055521fbed1fd7
MEMIT_BLUE (L4+L8),AVAILABLE_W10_FIRST1000_NOT_FINAL10K,39307,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,True,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,True,True,True,20260907,20260915,torch.float32,eager,2.9.1+cu128,4.44.2,NVIDIA RTX PRO 6000 Blackwell Server Edition,False,True,"[4, 8]",True,NA,,"{""add_bos_token"": false, ""bos"": 128000, ""eos"": 128009, ""pad"": 128009, ""padding"": ""right""}","{""add_bos_token"": ""NOT_EXPOSED"", ""pad"": 128009, ""padding"": ""right""}",1075540b45c29269e690ac63aae44758d8d63174,cc834a23144f6ac23d2e3f23841405194485e4f4536c0911315676ff06ff4f48,6a1a193c7fc1a171de2a85a51a0261e9209d1bcae40aa004a8dad929fd721a5e,d6fe2d318b5ce5d5ac7040d2dbc9196dfeae3a596ad4c3886e10990e56eddf7b,"{""L2"": {""EP"": 1, ""reference"": null}, ""edit_layer"": {""EP"": null, ""reference"": -1}, ""layers"": {""EP"": [4], ""reference"": [4, 8]}, ""model_name"": {""EP"": ""Llama3-8B"", ""reference"": ""Llama3-8B-Instruct""}, ""nullspace_threshold"": {""EP"": 0.02, ""reference"": null}}",False,NOT_AVAILABLE_NO_NEW_EVALUATION,25ad8c52b7fb139a081220a666b01992d7552912cf1da65a6f471976f7ad8bcf
BASE_ALPHAEDIT (blue=False L4-L8),AVAILABLE_W10_FIRST1000_NOT_FINAL10K,42657,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,True,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,True,True,True,20260907,20260915,torch.float32,eager,2.9.1+cu128,4.44.2,NVIDIA RTX PRO 6000 Blackwell Server Edition,False,True,"[4, 5, 6, 7, 8]",False,10,MEMIT solve FP64; AlphaEdit native FP32; unchanged,"{""add_bos_token"": false, ""bos"": 128000, ""eos"": 128009, ""pad"": 128009, ""padding"": ""right""}","{""add_bos_token"": ""NOT_EXPOSED"", ""pad"": 128009, ""padding"": ""right""}",1075540b45c29269e690ac63aae44758d8d63174,582a378906fbcc3304de92011d67d54f28840d76cfb59ee1f6fa00166bda0560,ca21536f4c5e6acbb473991e121e5dc89fa9408e90fe7322ea9f5cc2c71c7b45,2bd0ac166625497ed7851870c802ce5cae7b06fbd5370c252baa8957e361d2d5,"{""L2"": {""EP"": 1, ""reference"": 10}, ""blue"": {""EP"": true, ""reference"": false}, ""layers"": {""EP"": [4], ""reference"": [4, 5, 6, 7, 8]}}",False,NOT_AVAILABLE_NO_NEW_EVALUATION,2bb0c625101296a53dc588a0a616bc61c2cf318fa13f9071ac16e11c3b760aec
BASE_MEMIT (blue=False L4-L8),AVAILABLE_W10_FIRST1000_NOT_FINAL10K,42658,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,True,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,True,True,True,20260907,20260915,torch.float32,eager,2.9.1+cu128,4.44.2,NVIDIA RTX PRO 6000 Blackwell Server Edition,False,True,"[4, 5, 6, 7, 8]",False,NA,MEMIT solve FP64; AlphaEdit native FP32; unchanged,"{""add_bos_token"": false, ""bos"": 128000, ""eos"": 128009, ""pad"": 128009, ""padding"": ""right""}","{""add_bos_token"": ""NOT_EXPOSED"", ""pad"": 128009, ""padding"": ""right""}",1075540b45c29269e690ac63aae44758d8d63174,582a378906fbcc3304de92011d67d54f28840d76cfb59ee1f6fa00166bda0560,cef9e07b785225f1d1fc1f0b116e7b9c2f0bb7e23deeecd5e5e81417874a5064,1d701acd9d2f3ca7bbd91f0b646cda376e57996148a2baebbe853a9631c99b15,"{""L2"": {""EP"": 1, ""reference"": null}, ""blue"": {""EP"": true, ""reference"": false}, ""edit_layer"": {""EP"": null, ""reference"": -1}, ""layers"": {""EP"": [4], ""reference"": [4, 5, 6, 7, 8]}, ""model_name"": {""EP"": ""Llama3-8B"", ""reference"": ""Llama3-8B-Instruct""}, ""nullspace_threshold"": {""EP"": 0.02, ""reference"": null}}",False,NOT_AVAILABLE_NO_NEW_EVALUATION,36c132348ef10845aa137c599ee717cc04846a2f0120bf88db9c70948c45b158
PRE_EDIT W0,SEALED_FIRST1000_PUBLICATION_AVAILABLE,42673 SH2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,,,,AGGREGATE_ONLY_NO_NEW_W0_PAIRING,,,,,,,,,,,,,,,,,,,,,,False,FIXED_TEACHER_NOT_BASELINE_COUNTERFACT_EVAL,
