arm,provenance,batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,100,100,100,0.0029083975397225003,0.001112199854105711,0.004027090640738607,0.004950010310858488,0.007638824516907984,8.49926145747304e-05,0.13339300453662872,14.716107697486878,14.446224689483643,20.20916748046875,22.103934574127198,23.668939990997316,6.794973373413086,24.06419563293457,14.713199299947155,14.445123520708876,20.207178262315576,22.10303807522869,23.668203084581037,6.790954807307571,24.064002413346316
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,CURRENT,PS,192,200,96.0,100,0,140,200,140,1,140,200,53,1.4454352552785712,0.1635494902729988,4.932417154312134,6.670099735260007,8.925545673370344,0.00019202772818971425,10.855306625366211,10.692559932768345,10.300424098968506,15.940160751342773,18.586090755462646,20.44658569335937,0.8228021860122681,21.318862915039062,9.247124677489774,9.118075847625732,15.716762355889658,18.58542299433102,20.446324617931527,-4.023608982563019,21.315201556077227
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,CURRENT,NS,800,1000,80.0,100,0,207,1000,44,207,217,1010,3,8.929730767229513,9.102322578430176,13.805587482452394,14.863691520690915,17.81502492904663,0.0005199749139137566,20.66197967529297,5.079285713763442,4.657498359680176,10.200750350952148,11.938597440719603,14.949591312408447,0.005413278471678495,17.101900100708008,3.8504450534660717,4.219567060470581,9.775974438339473,11.652944944798945,15.471236778348683,-16.74569683521986,18.517300128936768
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,ACCEPTED_OLD,RS,799,800,99.875,800,0,797,800,797,0,811,814,797,0.024790802680317938,0.001131787954363972,0.005098543362692,0.0076487351441755875,0.11008928924798947,2.9801878554280847e-05,5.513659954071045,14.571347821652889,14.494972229003906,19.782755851745605,21.56796464920044,25.223276138305664,2.2919158935546875,26.443553924560547,14.546557018972571,14.493421546299942,19.78256454760558,21.567220149774222,25.222710725213982,-2.35714054107666,26.442933990038
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,ACCEPTED_OLD,PS,1555,1600,97.1875,800,0,1060,1600,1060,9,1087,1628,395,1.589667367645045,0.33208730816841125,5.158331155776981,7.144244647026062,9.987866916656492,5.006664650863968e-05,15.864933967590332,10.093901768592186,9.96107530593872,15.28460969924927,16.66004753112793,20.109298725128173,0.06561065465211868,24.68133544921875,8.50423440094714,8.456390351057053,14.260435374453666,16.12667041795794,20.052854569572954,-9.417567729949951,24.680278859683312
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,SELECTED,ACCEPTED_OLD,NS,6522,8000,81.525,800,0,1445,8000,166,1445,1545,8100,7,9.433652942202677,9.376588344573975,14.313659572601319,15.66030316352844,18.23283287048341,6.544376083184034e-05,24.501564025878906,5.298091041823944,4.88962197303772,10.564536094665527,12.238779640197754,14.805766162872315,0.0004196478403173387,22.311763763427734,4.135561900378734,4.103871822357178,10.246607074141503,11.773544558882708,14.925596225559733,-21.13609254574112,19.672107458114624
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,ENTRY,CURRENT,RS,12,100,12.0,100,0,2,100,2,22,3,101,2,9.560339709371329,8.843812465667725,15.795960903167726,16.78503189086914,18.263125286102316,0.20683826506137848,22.233871459960938,4.449710807190277,3.425706624984741,10.560259151458741,11.031297731399535,13.157956876754781,0.007051935885101557,17.24973487854004,-5.110628902181052,-5.041711330413818,0.13304691314697414,1.4598694324493398,8.104817416965965,-16.437606343533844,8.551963597536087
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,ENTRY,CURRENT,PS,32,200,16.0,100,0,2,200,2,41,4,202,1,8.959525600373745,8.98221492767334,12.95185661315918,14.862612438201898,16.818798179626455,0.44950729608535767,17.804636001586914,4.626199124259874,4.004466414451599,9.1754075050354,10.476398372650143,12.23680846214293,0.0021873614750802517,15.877756118774414,-4.333326476113871,-4.451220989227295,0.9575166702270501,2.470917844772337,4.879693934917449,-17.798484213184565,7.493608236312866
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,ENTRY,CURRENT,NS,828,1000,82.8,100,0,197,1000,17,197,197,1000,0,9.643608102068304,9.646726608276367,14.618167972564697,15.99355206489563,18.457373294830322,0.04515945911407471,22.2158203125,5.15300119256042,4.736858606338501,10.572634029388432,12.238498830795287,14.693323631286619,0.00447071110829711,16.742952346801758,4.4906069095078855,4.614861249923706,10.294583487510682,12.101271692663426,15.13037690810859,-14.59839666634798,18.214530013501644
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,ENTRY,ACCEPTED_OLD,RS,899,900,99.88888888888889,900,0,897,900,897,0,911,914,897,0.02235942433136289,0.001130716293118894,0.004940717993304134,0.007420891337096689,0.11008928924798947,2.9801878554280847e-05,5.513659954071045,14.58743225230111,14.494972229003906,19.89451313018799,21.574755573272704,24.74318881988525,2.2919158935546875,26.443553924560547,14.565072827969747,14.493421546299942,19.893985616066495,21.574510085710788,24.7429393750726,-2.35714054107666,26.442933990038
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,ENTRY,ACCEPTED_OLD,PS,1747,1800,97.05555555555556,900,0,1200,1800,1200,10,1227,1828,448,1.5736415773821035,0.31825627386569977,5.132960748672489,7.04009025096893,9.987866916656492,5.006664650863968e-05,15.864933967590332,10.160419342389536,10.033724784851074,15.403746604919434,16.788365459442137,20.16842082977295,0.06561065465211868,24.68133544921875,8.586777765007433,8.509723065420985,14.537283731624486,16.339477428793902,20.152387734997607,-9.417567729949951,24.680278859683312
