arm,batch,candidate,role,documents,D64_or_D128,natural_NLL,input_tokens,scored_positions,forwards,backwards,row_identity_sha
CAP10,1,RAW,S64,64,0.0015781786939896847,2.5538838578941068,16448,8192,64,64,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,1,C1,S64,64,0.0015387201035537146,2.553864470879489,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,1,C05,S64,64,0.0015581702535882869,2.553874167257163,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,1,C025,S64,64,0.0015680976688372539,2.5538786407123553,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,2,RAW,S64,64,0.0035920093322943103,2.553883155109361,16448,8192,64,64,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,2,C1,S64,64,0.003499847706393666,2.553857465463807,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,2,C05,S64,64,0.003545390221319167,2.5538697155425325,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,2,C025,S64,64,0.003568561817189675,2.553876553363807,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,3,RAW,S64,64,0.00580363768335701,2.5547396261026734,16448,8192,64,64,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,3,C1,S64,64,0.005676265796637381,2.554679566870618,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,3,C05,S64,64,0.005739249313592154,2.5547089485553443,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,3,C025,S64,64,0.005771251901535379,2.5547240803934983,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,4,RAW,S64,64,0.007918550892043186,2.555695621347695,16448,8192,64,64,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,4,C1,S64,64,0.007724082326149073,2.555580163410923,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,4,C05,S64,64,0.007819581822957389,2.5556364213261986,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,4,C025,S64,64,0.007868590288865107,2.555665591149591,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,5,RAW,S64,64,0.009942942852717351,2.5552669689059258,16448,8192,64,64,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,5,C1,S64,64,0.009680976509571337,2.5550960887921974,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,5,C05,S64,64,0.009809359635255532,2.555179418937769,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,5,C025,S64,64,0.009875490357103445,2.5552226879808586,16448,8192,64,0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61
CAP10,5,SELECTED,Dev128,128,0.012053306430971134,2.522633691318333,32896,16384,128,0,1f686f894c68ca22572cfb777724648948c9a431c9d0cdacf8aafb755c146306
