arm,cost_origin,allocated_GPU_seconds,program_seconds,native_targets,native_solves,native_key_calls,actual_Adam,loss_evaluations,inner_history,final_history,native_seconds,z_seconds,native_keys_seconds,readout_seconds,solve_seconds,map_seconds,screen_seconds,history_seconds,selected_evaluation_seconds,current_gradient_total,S64_gradient_total,S64_gradient_FB,S64_teacher_read,current_gradient_forwards,current_gradient_backwards,current_gradient_input_tokens,current_gradient_scored_tokens,S64_gradient_forwards,S64_gradient_backwards,S64_gradient_scored_tokens,corrected_candidate_forward_current,corrected_candidate_forward_S64,peak_GPU_allocated
CAP1,REUSED_NOT_NEW_EXPENSE,7694,7688.080406983383,1000,10,10,24000,25000,0,10,2956.769621820189,2798.643825504929,37.57556988764554,4.5423282803967595,1.2294135363772511,3.3118603164330125,743.841052884236,141.89781727362424,1262.0592530993745,10.165236654691398,169.43805163446814,123.459907123819,45.434528776444495,70,70,8892,1015,640,640,81920,210,1920,38208243200
CAP10,NEW_ALLOCATION,7559,7553.915241503157,1000,10,10,24000,25000,0,10,2958.0764957163483,2811.015830640681,37.50543980393559,4.532556867226958,1.2390327081084251,3.6559766326099634,716.1712374687195,132.55013794638216,1259.6605447055772,9.916003688238561,149.01158356294036,124.18466624058783,24.266033483669162,70,70,8892,1015,640,640,81920,210,1920,38208243200
CAP100,NEW_ALLOCATION,7735,7730.4690474476665,1000,10,10,24000,25000,0,10,2980.0048969639465,2817.258972018957,37.52997220866382,4.534954518079758,1.2344716638326645,3.764722260646522,775.2247534357011,145.72784292977303,1269.1163160055876,9.987753806635737,177.65972241945565,124.28103060461581,52.778948239050806,70,70,8892,1015,640,640,81920,210,1920,38208243200
NORM_ONLY,NEW_ALLOCATION,7639,7634.344660376199,1000,10,10,24000,25000,0,10,2968.5558159109205,2815.9838139787316,37.51658151764423,4.5327505031600595,1.2433359492570162,3.463346109725535,744.691541899927,137.4301213650033,1264.5202937312424,9.983854067511857,150.13128941785544,124.19675375986844,25.35978518985212,70,70,8892,1015,640,640,81920,210,1920,38208243200
