cell,batch,arm,diagnostic,status,source,evidence_path,endpoint_available,endpoint_sha,source_lock,context_capsule,comparison,evidence_missing,compute_unit,new_native_fit,new_gradient,new_forward,capsule_id,technical_validation,prior_cost,forbidden
M-O0-b001-N4,1,N4,shared_native,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Exact cold7 B1 retained WN/z/K/P/M0/context/seed; no fit repeat,b001-shared-native-once,False,False,False,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-N4,1,N4,endpoint_optimization_or_geometry,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Native endpoint actual tensor retained,endpoint_optimization_or_geometry,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-N4,1,N4,observer,EVAL_ONLY,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Canonical B1 R/P/N reusable; per-sequence lock/Dev128/greedy32 diagnostics incomplete,observer,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-SCALE,1,SCALE,shared_native,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Exact cold7 B1 retained WN/z/K/P/M0/context/seed; no fit repeat,b001-shared-native-once,False,False,False,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-SCALE,1,SCALE,endpoint_optimization_or_geometry,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-SCALE,1,SCALE,observer,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-CA,1,CA,shared_native,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Exact cold7 B1 retained WN/z/K/P/M0/context/seed; no fit repeat,b001-shared-native-once,False,False,False,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-CA,1,CA,endpoint_optimization_or_geometry,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,endpoint_optimization_or_geometry,False,True,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-CA,1,CA,observer,RUN_MISSING,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",No existing ENFC-v1 same-space/optimizer/per-sequence guard result,observer,False,False,True,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
M-O0-b001-KL-P,1,KL-P,shared_native,REUSE,32a92ad6f3fff2f258d8778f3936d152e975ac1b,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/arms/N4/attempt-v1/output/B001/proposals/own-N4.pt,True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/execution.lock.json,/data/janghj/ODE-edit/local/local-z-adaptive-allocation/20260916-v1/technical/attempt-v1/cold-capsule.json,"W0/zeroM4,seed20260916,FP32/eager/TF32off,sameO0B100/nativehparams",Exact cold7 B1 retained WN/z/K/P/M0/context/seed; no fit repeat,b001-shared-native-once,False,False,False,M-O0-b001,T_ACTUAL_NOT_RUN_NEW_IMPLEMENTATION,cold7 prior allocation; B1fit283.165502s nested; not rebilled,REUSE refit;warm/sequential-as-cold;S/R/L;P/N online;Report256
