alias,allocation_l2_distance,cap_semantic_residual,case_index,outer_step,same_pre_route_state,structp_minus_cap_actual_capacity,structp_minus_cap_predicted_p,structp_semantic_residual
llama3-8b-inst,1.4407765608811428e-10,3.552713678800501e-15,3,0,True,0.0,5.741206121623321e-13,3.552713678800501e-15
llama3-8b-inst,0.17567188059452207,3.941291737419306e-14,3,1,True,0.06903217945242446,-7.434550796228331e-05,4.440892098500626e-16
llama3-8b-inst,1.8285174592001099,1.2878587085651816e-14,3,2,False,-0.1104130731254962,0.0022997655180690482,8.881784197001252e-16
llama3-8b-inst,2.8494713247729178,7.613389627937617e-15,3,3,False,-1.2317742554321072,0.0018167210576113257,1.7763568394002505e-15
llama3-8b-inst,2.0477558121551027,7.501603505044585e-13,3,4,False,-2.427705736363393,5.665612254880659e-06,2.7755575615628914e-17
llama3-8b-inst,3.3949676163737723,5.086694954137272e-13,3,5,False,-1.1039569220654144,8.896479514027e-05,4.440892098500626e-16
llama3-8b-inst,2.917703513797057,1.8455318179168463e-14,3,6,False,-0.5666681884665863,0.0005443808081454157,4.440892098500626e-16
llama3-8b-inst,2.1206847208766115,3.33270195294888e-14,3,7,False,1.141505995698381,0.002758994700498181,6.776263578034403e-21
llama3-8b-inst,1.4467194674578238e-09,8.881784197001252e-16,5,0,True,0.0,6.488053150288664e-12,8.881784197001252e-16
llama3-8b-inst,7.433313627486173e-10,8.881784197001252e-16,5,1,True,7.916396072005227e-08,1.1302070390684094e-12,1.3233858453531866e-13
llama3-8b-inst,0.0023664012691566364,4.440892098500626e-16,5,2,False,0.004041752218576278,6.079564911609658e-06,3.055777852978281e-12
llama3-8b-inst,1.4025856586428764,1.734723475976807e-18,5,3,False,0.34130804201760157,-0.00022224174805299257,5.865947105224839e-15
llama3-8b-inst,2.451113017872035,1.1102230246251565e-16,5,4,False,1.6875120309824325,0.000160545877466986,7.482903185973555e-13
llama3-8b-inst,4.105338374362923,2.251275611092041e-19,5,5,False,4.770603160743832,0.0025728676506397014,1.917743741586264e-12
llama3-8b-inst,2.1500739796126678,1.1102230246251565e-16,5,6,False,8.250216085290617,0.008122544557857339,7.983512462228504e-11
llama3-8b-inst,2.478297866079008,1.1570217947957691e-19,5,7,False,8.341490810453521,0.008340527329741318,1.498620072303133e-14
qwen2.5-7b-inst,6.352085605951185e-11,1.4210854715202004e-14,1,0,True,0.0,9.201528428093297e-12,7.105427357601002e-15
qwen2.5-7b-inst,1.322399483306575e-10,8.881784197001252e-16,1,1,True,0.0,-1.8144596936053858e-11,2.220446049250313e-16
qwen2.5-7b-inst,9.78734285902865e-12,4.440892098500626e-16,1,2,True,0.0,-1.8813395286088053e-11,2.220446049250313e-16
qwen2.5-7b-inst,3.9703471346646546e-09,4.440892098500626e-16,1,3,True,-1.317084752372466e-08,1.0551559626037488e-11,1.1102230246251565e-16
qwen2.5-7b-inst,2.6584068833136377e-05,8.673617379884035e-19,1,4,True,-0.0001834685081121279,-1.2007003493685886e-06,8.673617379884035e-19
qwen2.5-7b-inst,3.318033349091057,5.551115123125783e-17,1,5,False,15.936802736245795,0.12824534874660243,5.551115123125783e-17
qwen2.5-7b-inst,3.613407032263312,5.421010862427522e-20,1,6,False,45.72799230613168,0.4358985918374447,5.421010862427522e-20
qwen2.5-7b-inst,3.110687267399136,1.3552527156068805e-20,1,7,False,45.67318092108292,0.43651990347687875,2.168404344971009e-19
qwen2.5-7b-inst,1.7964250760342932e-11,1.7763568394002505e-15,4,0,True,0.0,1.404432126150823e-12,5.3290705182007514e-14
qwen2.5-7b-inst,7.21688344686424e-10,8.881784197001252e-16,4,1,True,-5.684341886080802e-14,-1.3655299113679575e-11,4.0966579087364785e-16
qwen2.5-7b-inst,3.353500766841797e-10,1.8118839761882555e-13,4,2,True,8.526512829121202e-14,-7.902967169570729e-11,5.115907697472721e-13
qwen2.5-7b-inst,1.418199279029997e-09,5.844214001626824e-13,4,3,True,-3.4788797620421974e-08,-7.898126597183364e-11,2.4424906541753444e-14
qwen2.5-7b-inst,5.656119054937027e-09,8.661474315552198e-15,4,4,True,1.3310454960446805e-08,-1.0949796624970531e-09,5.963667060182587e-13
qwen2.5-7b-inst,2.9005080266592624e-09,9.954363722197712e-14,4,5,True,9.444079296372365e-09,-1.0028236019365977e-09,7.805388280157644e-14
qwen2.5-7b-inst,0.05935051367411043,2.7655286914674004e-14,4,6,True,-4.31267744716024e-06,-1.72132552349602e-05,8.352617642676252e-14
qwen2.5-7b-inst,3.710289356150025,7.934408338683419e-14,4,7,False,4.24372868663977,0.07042910169383321,1.1701880783809848e-13
