action_cross,action_ratio,candidate_id,case_id,equality_relative,functional_cvar,method,model,realized_z_max_relative,snapshot_restore_exact,stage,valid
1.4556520328931844e-10,1.0500000000373229,axis-00-minus,21100,4.078983550925841e-08,0.0008795906323939562,alphaedit,llama3-8b-inst,3.315062997444329e-07,True,PHASE_A_CORRECTED_F1B,True
-1.4556520328931844e-10,1.049999999962677,axis-00-plus,21100,4.078983550925841e-08,0.0008757157484069467,alphaedit,llama3-8b-inst,3.1342719353233406e-07,True,PHASE_A_CORRECTED_F1B,True
-3.737246148001614e-11,1.0499999999904177,axis-01-minus,21100,3.026828920837943e-08,0.0008772305445745587,alphaedit,llama3-8b-inst,3.213346246866422e-07,True,PHASE_A_CORRECTED_F1B,True
3.737246148001614e-11,1.0500000000095824,axis-01-plus,21100,3.026828920837943e-08,0.000878497026860714,alphaedit,llama3-8b-inst,3.1583823556502466e-07,True,PHASE_A_CORRECTED_F1B,True
-1.5930904199573453e-10,1.049999999959153,axis-02-minus,21100,3.4219294064996575e-08,0.0008756984025239944,alphaedit,llama3-8b-inst,3.0943090223445324e-07,True,PHASE_A_CORRECTED_F1B,True
1.5930904199573453e-10,1.050000000040847,axis-02-plus,21100,3.4219294064996575e-08,0.0008795993053354323,alphaedit,llama3-8b-inst,3.217037942704337e-07,True,PHASE_A_CORRECTED_F1B,True
3.273872724032886e-12,1.0500000000008394,axis-03-minus,21100,3.752435873138893e-08,0.0008694154676049948,alphaedit,llama3-8b-inst,3.175207439198857e-07,True,PHASE_A_CORRECTED_F1B,True
-3.273872724032886e-12,1.0499999999991605,axis-03-plus,21100,3.752435873138893e-08,0.0008862527320161462,alphaedit,llama3-8b-inst,3.240264732085052e-07,True,PHASE_A_CORRECTED_F1B,True
3.5782156192127683e-10,1.050000000061515,axis-00-minus,1477,4.260022024027421e-08,0.002559385960921645,alphaedit,llama3-8b-inst,3.2205147704189585e-07,True,PHASE_A_CORRECTED_F1B,True
-3.5782156192127683e-10,1.0499999999384848,axis-00-plus,1477,4.260022024027421e-08,0.0024338646326214075,alphaedit,llama3-8b-inst,3.119369011983508e-07,True,PHASE_A_CORRECTED_F1B,True
1.0954714007499671e-10,1.0500000000188328,axis-01-minus,1477,3.258310599107972e-08,0.002473370172083378,alphaedit,llama3-8b-inst,3.087329218942614e-07,True,PHASE_A_CORRECTED_F1B,True
-1.0954714007499671e-10,1.049999999981167,axis-01-plus,1477,3.258310599107972e-08,0.0025175539776682854,alphaedit,llama3-8b-inst,3.383386513178266e-07,True,PHASE_A_CORRECTED_F1B,True
-1.254300317282967e-10,1.0499999999784366,axis-02-minus,1477,3.083875554921178e-08,0.0025256644003093243,alphaedit,llama3-8b-inst,3.099139860296418e-07,True,PHASE_A_CORRECTED_F1B,True
1.254300317282967e-10,1.0500000000215635,axis-02-plus,1477,3.083875554921178e-08,0.002467156620696187,alphaedit,llama3-8b-inst,3.164275597100641e-07,True,PHASE_A_CORRECTED_F1B,True
-3.648162680171269e-10,1.0499999999372822,axis-03-minus,1477,2.9558705705312605e-08,0.002487163757905364,alphaedit,llama3-8b-inst,3.233140830616321e-07,True,PHASE_A_CORRECTED_F1B,True
3.648162680171269e-10,1.0500000000627177,axis-03-plus,1477,2.9558705705312605e-08,0.0025041052140295506,alphaedit,llama3-8b-inst,3.102842356383917e-07,True,PHASE_A_CORRECTED_F1B,True
8.160352495142379e-11,1.050000000009324,axis-00-minus,20838,3.075135168728593e-08,0.007583541329950094,alphaedit,llama3-8b-inst,3.786961997320759e-07,True,PHASE_A_CORRECTED_F1B,True
-8.160352495142379e-11,1.0499999999906764,axis-00-plus,20838,3.075135168728593e-08,0.007492609787732363,alphaedit,llama3-8b-inst,3.8015451764294994e-07,True,PHASE_A_CORRECTED_F1B,True
