server,hostname,indexed_paths,present_paths,unique_inodes,unique_logical_GiB,tensor_candidates_scan,scan_errors,started_at,finished_at,final_stat_at
server1,devbox,804,804,756,498.668,3215,0,2026-09-18T04:01:29.926953+00:00,2026-09-18T04:01:40.221117+00:00,2026-09-18T04:09:03.953712+00:00
server2,server2,326,326,326,435.413,798,0,2026-09-18T04:01:30.685193+00:00,2026-09-18T04:01:44.196568+00:00,2026-09-18T04:09:04.725391+00:00
server3,ubuntu,0,0,0,0.0,66,0,2026-09-18T04:01:30.289766+00:00,2026-09-18T04:01:30.345081+00:00,2026-09-18T04:09:04.313772+00:00
server4,server4,196,196,196,153.457,2896,0,2026-09-18T04:01:30.569720+00:00,2026-09-18T04:01:40.344083+00:00,2026-09-18T04:09:04.260797+00:00
