server,hostname,path,realpath,is_symlink,link_target,observed_at,availability,bytes,allocated_bytes,mtime_ns,ctime_ns,device,inode,nlink,schema_status,schema_keys,zip_tensor_members,header_bytes_read,category,classification_basis,stable_during_inspection,role,experiment_family,lifelong_or_sequential_path_hint,last_stat_at,last_stat_status,last_stat_bytes,last_stat_device,last_stat_inode,changed_since_scan,payload_sha256_status,restore_validation,storage_location_kind,recorded_arm,recorded_batch,recorded_payload_sha256,recorded_hash_provenance,batch_step_path_hint
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-3-qwen2.5-7b-inst-JV_NATIVE/checkpoints/W10-M10.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-3-qwen2.5-7b-inst-JV_NATIVE/checkpoints/W10-M10.pt,False,,2026-09-18T04:01:43.127348+00:00,PRESENT,8535431497,8535437312,1788708633375443427,1788708633375443427,2304,120930251,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20713,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,8535431497,2304,120930251,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W10-M10.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-3-qwen2.5-7b-inst-JV_NATIVE/checkpoints/W5-M5.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-3-qwen2.5-7b-inst-JV_NATIVE/checkpoints/W5-M5.pt,False,,2026-09-18T04:01:43.125318+00:00,PRESENT,8535431497,8535437312,1788702013826358658,1788702013826358658,2304,120930025,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20715,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,8535431497,2304,120930025,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W5-M5.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-4-llama3-8b-inst-L8_ONLY_NATIVE/checkpoints/W1-M1.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-4-llama3-8b-inst-L8_ONLY_NATIVE/checkpoints/W1-M1.pt,False,,2026-09-18T04:01:43.106307+00:00,PRESENT,5284845813,5284851712,1788710642345224096,1788710642345224096,2304,120930405,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20718,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,5284845813,2304,120930405,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W1-M1.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-5-qwen2.5-7b-inst-L8_ONLY_NATIVE/checkpoints/W1-M1.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-5-qwen2.5-7b-inst-L8_ONLY_NATIVE/checkpoints/W1-M1.pt,False,,2026-09-18T04:01:43.141829+00:00,PRESENT,8535431497,8535437312,1788710371257607907,1788710371257607907,2304,120930393,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20719,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,8535431497,2304,120930393,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W1-M1.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-llama3-8b-inst/checkpoints/W1-M1.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-llama3-8b-inst/checkpoints/W1-M1.pt,False,,2026-09-18T04:01:43.099082+00:00,PRESENT,5284845237,5284851712,1788685709761475440,1788685709761475440,2304,120922060,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20105,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,5284845237,2304,120922060,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W1-M1.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-llama3-8b-inst/checkpoints/W2-M2.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-llama3-8b-inst/checkpoints/W2-M2.pt,False,,2026-09-18T04:01:43.100984+00:00,PRESENT,5284845237,5284851712,1788685987049099481,1788685987049099481,2304,120925697,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20105,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,5284845237,2304,120925697,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W2-M2.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-qwen2.5-7b-inst/checkpoints/W1-M1.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-qwen2.5-7b-inst/checkpoints/W1-M1.pt,False,,2026-09-18T04:01:43.093742+00:00,PRESENT,8535430921,8535437312,1788685817709320393,1788685817709320393,2304,120922072,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20106,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,8535430921,2304,120922072,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W1-M1.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-qwen2.5-7b-inst/checkpoints/W2-M2.pt,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-v1/smoke-qwen2.5-7b-inst/checkpoints/W2-M2.pt,False,,2026-09-18T04:01:43.095733+00:00,PRESENT,8535430921,8535437312,1788686241716803832,1788686241716803832,2304,120925722,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|batch_index|weights,6,20106,CHECKPOINT_CANDIDATE,checkpoint_endpoint_name,True,WEIGHT_STATE_INDICATORS,alpha-native-response-v31-sequential-routing,True,2026-09-18T04:09:04.725391+00:00,PRESENT,8535430921,2304,120925722,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,W2-M2.pt
server2,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l4-oneshot-sequential/attempt-v1/main-llama/B01/W-M.pt,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l4-oneshot-sequential/attempt-v1/main-llama/B01/W-M.pt,False,,2026-09-18T04:01:41.108009+00:00,PRESENT,1056967333,1056972800,1788787641961652487,1789114328405416561,2304,121114951,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|contexts|weights,2,1183,CHECKPOINT_CANDIDATE,bounded_schema_weight_key,True,WEIGHT_STATE_INDICATORS,blue-alphaedit-l4-oneshot-sequential,True,2026-09-18T04:09:04.725391+00:00,PRESENT,1056967333,2304,121114951,False,NOT_RECOMPUTED,NOT_PERFORMED,ARCHIVE_OR_IMPORTED_COPY,BLUE_L4_1K,1,5220d6a0a284d3c337707fcd7302b6c96bdc666b4b6ed0f1dff5040516cdddc3,migration-manifest-2026-09-11,B01
server2,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l4-oneshot-sequential/attempt-v1/main-llama/B05/W-M.pt,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l4-oneshot-sequential/attempt-v1/main-llama/B05/W-M.pt,False,,2026-09-18T04:01:41.110324+00:00,PRESENT,1056968549,1056972800,1788788997904829604,1789114348133455469,2304,121114962,1,ZIP_PICKLE_OPCODES_ONLY_NOT_DESERIALIZED,batch|contexts|weights,2,2380,CHECKPOINT_CANDIDATE,bounded_schema_weight_key,True,WEIGHT_STATE_INDICATORS,blue-alphaedit-l4-oneshot-sequential,True,2026-09-18T04:09:04.725391+00:00,PRESENT,1056968549,2304,121114962,False,NOT_RECOMPUTED,NOT_PERFORMED,ARCHIVE_OR_IMPORTED_COPY,BLUE_L4_1K,5,d12f7085ac02330b056bd8f29063ca6ebb09f2cfb0bfb2c9ddb81f34c7e49776,migration-manifest-2026-09-11,B05
