server,hostname,path,realpath,is_symlink,link_target,observed_at,availability,bytes,allocated_bytes,mtime_ns,ctime_ns,device,inode,nlink,category,classification_basis,stable_during_inspection,role,experiment_family,lifelong_or_sequential_path_hint,last_stat_at,last_stat_status,last_stat_bytes,last_stat_device,last_stat_inode,changed_since_scan,payload_sha256_status,restore_validation,storage_location_kind,recorded_arm,recorded_batch,recorded_payload_sha256,recorded_hash_provenance,batch_step_path_hint,schema_status,schema_keys,zip_tensor_members,header_bytes_read
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/git-checkouts/openai-community--gpt2-xl/model.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/git-checkouts/openai-community--gpt2-xl/model.safetensors,False,,2026-09-18T04:01:29.929919+00:00,PRESENT,6431829964,6431834112,1788841967160949583,1788841967160949583,2304,243338225,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,6431829964,2304,243338225,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/git-checkouts/openai-community--gpt2-xl/pytorch_model.bin,/mnt/raid5/janghj/.cache/huggingface/hub/git-checkouts/openai-community--gpt2-xl/pytorch_model.bin,False,,2026-09-18T04:01:29.930028+00:00,PRESENT,6431878936,6431883264,1788841980521026853,1788841980521026853,2304,243338226,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,6431878936,2304,243338226,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920/model-00002-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/blobs/d9eee5f23d94405d90b7e9ff88b9443fee42f8528a658f54214c2aba7530d80c,True,../../blobs/d9eee5f23d94405d90b7e9ff88b9443fee42f8528a658f54214c2aba7530d80c,2026-09-18T04:01:29.932584+00:00,PRESENT,4999802720,4999806976,1773302570554500112,1773302570566500113,2304,243997354,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,4999802720,2304,243997354,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920/model-00001-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/blobs/f2c144103072514542e327fa8080bd375cb300f2d453fba9ca3aea81d0d4cf33,True,../../blobs/f2c144103072514542e327fa8080bd375cb300f2d453fba9ca3aea81d0d4cf33,2026-09-18T04:01:29.932768+00:00,PRESENT,4976698672,4976705536,1773302566082499844,1773302566122499847,2304,243997353,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,4976698672,2304,243997353,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920/model-00004-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/blobs/5dc34e6bdf2da9e35f0d93b5c333c870f3677dc43dc3a91ea3a8ad28a1fe1acb,True,../../blobs/5dc34e6bdf2da9e35f0d93b5c333c870f3677dc43dc3a91ea3a8ad28a1fe1acb,2026-09-18T04:01:29.932887+00:00,PRESENT,1168138808,1168146432,1773302424882491288,1773302424922491290,2304,243997355,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,1168138808,2304,243997355,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920/model.safetensors.index.json,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/blobs/0fd8120f1c6acddc268ebc2583058efaf699a771,True,../../blobs/0fd8120f1c6acddc268ebc2583058efaf699a771,2026-09-18T04:01:29.933007+00:00,PRESENT,23950,24576,1773302368938487837,1773302368942487837,2304,243997352,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,SIDECAR_METADATA,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,23950,2304,243997352,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920/model-00003-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Meta-Llama-3-8B/blobs/4b8fbc5e113f69768dd8de84661ea20af8a32b734a9976144b4236c447b40ccc,True,../../blobs/4b8fbc5e113f69768dd8de84661ea20af8a32b734a9976144b4236c447b40ccc,2026-09-18T04:01:29.933178+00:00,PRESENT,4915916176,4915920896,1773302569374500042,1773302569418500044,2304,243997356,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,4915916176,2304,243997356,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659/model-00002-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/blobs/09d433f650646834a83c580877bd60c6d1f88f7755305c12576b5c7058f9af15,True,../../blobs/09d433f650646834a83c580877bd60c6d1f88f7755305c12576b5c7058f9af15,2026-09-18T04:01:29.933650+00:00,PRESENT,4999802720,4999806976,1774946522606812946,1774946523110812719,2304,243144253,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,4999802720,2304,243144253,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659/model-00001-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/blobs/2b1879f356aed350030bb40eb45ad362c89d9891096f79a3ab323d3ba5607668,True,../../blobs/2b1879f356aed350030bb40eb45ad362c89d9891096f79a3ab323d3ba5607668,2026-09-18T04:01:29.933823+00:00,PRESENT,4976698672,4976705536,1774946522610812944,1774946523382812596,2304,243144250,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,4976698672,2304,243144250,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
server1,devbox,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659/model-00004-of-00004.safetensors,/mnt/raid5/janghj/.cache/huggingface/hub/models--meta-llama--Llama-3.1-8B-Instruct/blobs/92ecfe1a2414458b4821ac8c13cf8cb70aed66b5eea8dc5ad9eeb4ff309d6d7b,True,../../blobs/92ecfe1a2414458b4821ac8c13cf8cb70aed66b5eea8dc5ad9eeb4ff309d6d7b,2026-09-18T04:01:29.933943+00:00,PRESENT,1168138808,1168146432,1774946421182861399,1774946421386861296,2304,243144257,1,PRETRAINED_OR_FULL_MODEL,path_or_shard_name,True,PRETRAINED_MODEL,.cache,False,2026-09-18T04:09:03.953712+00:00,PRESENT,1168138808,2304,243144257,False,NOT_RECOMPUTED,NOT_PERFORMED,RESEARCH_DIRECTORY,,,,,,,,,
