migration,arm,batch,source,destination,incoming,expected_bytes,recorded_sha256,source_status,source_bytes_now,source_size_matches_record,destination_status,destination_bytes_now,destination_size_matches_record,verification_scope,incoming_status,incoming_bytes_now,incoming_size_matches_record
2026-09-11,MEMIT_ORIGINAL,100,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/output/main-cell-0/B100/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-cell0-checkpoint-r3/output/main-cell-0/B100/W-method-state.pt,,469814113,7a4387529f01c80f17ab32892cf0efb1260834d47233c500a3c6dd441c625eda,ABSENT,,False,PRESENT,469814113,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,1,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B001/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B001/W-method-state.pt,,2113951137,06e2676714a5082c57ed420280089bf15d31b5ab8723940f3331be683353349b,ABSENT,,False,PRESENT,2113951137,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,5,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B005/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B005/W-method-state.pt,,2113952289,8a81c7d34bbe11c512bbb79f924114ba3e834837d79d3d0bc9cfdb11517be524,ABSENT,,False,PRESENT,2113952289,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,10,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B010/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B010/W-method-state.pt,,2113953825,f8474e4302c9b56d97f74d3380459a0cad2e240cea68c2484d918a38a8b742c7,ABSENT,,False,PRESENT,2113953825,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,20,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B020/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B020/W-method-state.pt,,2113956769,268cf596e963b3455a694ccb2b7599b97ee483ad091cadcc051c185358fcc675,ABSENT,,False,PRESENT,2113956769,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,30,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B030/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B030/W-method-state.pt,,2113959777,a0b76df3e505f89eae343a2c4fecb052109a4dcee47ffbbe80369f88523ed6a2,ABSENT,,False,PRESENT,2113959777,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,40,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B040/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B040/W-method-state.pt,,2113962785,ecda8c4e2d14f0860043e391c1aa4fb7d9ce5e7f8645cf1510705e9c9e8fc012,ABSENT,,False,PRESENT,2113962785,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,50,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B050/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B050/W-method-state.pt,,2113965729,902262ff399969798725358f106c23e47243c1e42cd0ae7f7a56b80857569f6d,ABSENT,,False,PRESENT,2113965729,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,60,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B060/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B060/W-method-state.pt,,2113968737,7329b19e012d73216a3aa9495f185191348c9ddc2d6c571e8f4e54bdc531ca93,ABSENT,,False,PRESENT,2113968737,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
2026-09-11,AlphaEdit_ORIGINAL,70,/data/janghj/ODE-edit/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B070/W-method-state.pt,/mnt/raid5/janghj/ODE-edit/local/blue-checkpoint-downstream/20260909-v1/imports/initial6-v1/payload/local/blue-lifelong-b100x100/attempt-checkpoint-r2/output/main-cell-1/B070/W-method-state.pt,,2113971745,0552768211ac732c628b22b9976cd543e78442bed82ddb1644b69c5d034498e5,ABSENT,,False,PRESENT,2113971745,True,CURRENT_STAT_SIZE_ONLY; SHA_IS_HISTORICAL_MANIFEST_NOT_CURRENT_REHASH,,,
