A0,E,arm,best_feasible_action,best_observed_action,cache_rollback_exact,campaign,candidate_action,candidate_closure,coefficient_dimension,denominator,effective_dimension,exception,exception_type,g_eq,g_free_norm_squared,h_cc,kkt_residual,model,null_dimension,output_dimension,partial_s_suffix,predicted_suffix,proposed_step,psi0,psi_min,range_residual,root,s,stage,status,w0_rollback_exact
0.00017695863789413124,4.423965947353281e-05,TRUE_FROZEN_C_SPLIT,NOT_RECORDED,NOT_RECORDED,True,,NOT_RECORDED,NOT_RECORDED,20480,0,NOT_RECORDED,TRUE_FROZEN_C_SPLIT actual closure=0.15773199498653412 tau_z=0.001953125,ScientificBoundary,FROZEN_IDENTITY_NOT_REQUIRED,0.0,0.0,2.1075503966203888e-07,llama3-8b-inst,16384,4096,-0.00017695863789413124,0.00013271897842059843,0.25,0.0,0.0,4.541141152003547e-06,,0.25,frozen-full-model-activation-validation,SCIENTIFIC_CONTROLLER_HOLD,True
0.00017695863789413124,0.0,FZCB,NOT_RECORDED,NOT_RECORDED,True,,NOT_RECORDED,NOT_RECORDED,20480,0,NOT_RECORDED,FD sweep unstable spread=5.90055879e-07 limit=4.05962528e-07,NumericalSensitivityFailure,-0.00033777538067843247,NOT_RECORDED,0.0,2.308148818615667e-07,llama3-8b-inst,16384,4096,0.00017695863789413124,0.00017695863789413124,0.25,1.6141880557914785e-05,NOT_RECORDED,4.82644190924475e-06,,0.0,barrier-current-state,NUMERICAL_CONTROLLER_FAILURE,True
0.00017695863789413124,0.0,STRONG_STATIC_SAME_OBJECTIVE,NOT_AVAILABLE_NO_FEASIBLE_CANDIDATE,0.0005186725757084787,True,,0.0005186725757084787,0.018466506153345108,20480,0,NOT_RECORDED,nonlinear corrector closure=0.0184665062 tau_z=0.001953125,CandidateFailure,NOT_APPLICABLE_STATIC_COMPARATOR,NOT_APPLICABLE_STATIC_COMPARATOR,0.0,2.1075503966203888e-07,llama3-8b-inst,16384,4096,NOT_APPLICABLE_STATIC_COMPARATOR,0.00017695863789413124,1.0,NOT_APPLICABLE_STATIC_COMPARATOR,NOT_APPLICABLE_STATIC_COMPARATOR,4.541141152003547e-06,,0.0,nonlinear_corrector_closure,SCIENTIFIC_CONTROLLER_HOLD,True
0.16463251411914825,0.041158128529787064,TRUE_FROZEN_C_SPLIT,NOT_RECORDED,NOT_RECORDED,True,,NOT_RECORDED,NOT_RECORDED,17920,0,NOT_RECORDED,TRUE_FROZEN_C_SPLIT actual closure=19.683279037475586 tau_z=0.001953125,ScientificBoundary,FROZEN_IDENTITY_NOT_REQUIRED,0.0,0.0,2.363267752499754e-07,qwen2.5-7b-inst,14336,3584,-0.16463251411914825,0.12347438558936119,0.25,0.0,0.0,2.9466027626767755e-06,,0.25,frozen-full-model-activation-validation,SCIENTIFIC_CONTROLLER_HOLD,True
0.16463251411914825,0.0,FZCB,NOT_RECORDED,NOT_RECORDED,True,,NOT_RECORDED,NOT_RECORDED,17920,0,NOT_RECORDED,FD sweep unstable spread=0.000431583729 limit=1.23824867e-05,NumericalSensitivityFailure,NOT_RECORDED,NOT_RECORDED,0.0,1.9783502517263713e-07,qwen2.5-7b-inst,14336,3584,0.16463251411914825,0.16463251411914825,0.25,NOT_RECORDED,NOT_RECORDED,3.5588452647061786e-06,,0.0,barrier-current-state,NUMERICAL_CONTROLLER_FAILURE,True
0.16463251411914825,0.0,STRONG_STATIC_SAME_OBJECTIVE,NOT_AVAILABLE_NO_FEASIBLE_CANDIDATE,1.6744403839111328,True,,1.6744403839111328,62.01116180419922,17920,0,NOT_RECORDED,nonlinear corrector closure=62.0111618 tau_z=0.001953125,CandidateFailure,NOT_APPLICABLE_STATIC_COMPARATOR,NOT_APPLICABLE_STATIC_COMPARATOR,0.0,2.363267752499754e-07,qwen2.5-7b-inst,14336,3584,NOT_APPLICABLE_STATIC_COMPARATOR,0.16463251411914825,1.0,NOT_APPLICABLE_STATIC_COMPARATOR,NOT_APPLICABLE_STATIC_COMPARATOR,2.9466027626767755e-06,,0.0,nonlinear_corrector_closure,SCIENTIFIC_CONTROLLER_HOLD,True
NOT_USED,NOT_USED,CAMPAIGN_TECH_R1,,,,campaign-d193ced-r1,,,,0,,INCOMPLETE_FROZEN_FAILURE_RECEIPT,TECHNICAL_INSTRUMENTATION_REPAIR,,,NOT_USED,,BOTH,,,,NOT_USED,NA,,,,/data/janghj/ODE-edit/local/results/fzcb-tech-r1-joint-b1-controller-validity-audit-v1/campaign-d193ced-r1,NA,INCOMPLETE_FROZEN_FAILURE_RECEIPT,PURE_TECHNICAL_EXCLUDED_DENOMINATOR0,
NOT_USED,NOT_USED,CAMPAIGN_TECH_R1,,,,campaign-c9be848-tech-r2,,,,0,,ROLLOUT_OBSERVATION_WRONGLY_DECISION_COUPLED,TECHNICAL_INSTRUMENTATION_REPAIR,,,NOT_USED,,BOTH,,,,NOT_USED,NA,,,,/data/janghj/ODE-edit/local/results/fzcb-tech-r1-joint-b1-controller-validity-audit-v1/campaign-c9be848-tech-r2,NA,ROLLOUT_OBSERVATION_WRONGLY_DECISION_COUPLED,PURE_TECHNICAL_EXCLUDED_DENOMINATOR0,
NOT_USED,NOT_USED,CAMPAIGN_TECH_R1,,,,campaign-679f1e8-tech-r3,,,,0,,INCOMPLETE_FD_CORRECTOR_FAILURE_RECEIPT,TECHNICAL_INSTRUMENTATION_REPAIR,,,NOT_USED,,BOTH,,,,NOT_USED,NA,,,,/data/janghj/ODE-edit/local/results/fzcb-tech-r1-joint-b1-controller-validity-audit-v1/campaign-679f1e8-tech-r3,NA,INCOMPLETE_FD_CORRECTOR_FAILURE_RECEIPT,PURE_TECHNICAL_EXCLUDED_DENOMINATOR0,
NOT_USED,NOT_USED,CAMPAIGN_TECH_R1,,,,campaign-39d2f67-tech-r4,,,,0,,INCOMPLETE_STRONG_STATIC_FAILURE_RECEIPT,TECHNICAL_INSTRUMENTATION_REPAIR,,,NOT_USED,,BOTH,,,,NOT_USED,NA,,,,/data/janghj/ODE-edit/local/results/fzcb-tech-r1-joint-b1-controller-validity-audit-v1/campaign-39d2f67-tech-r4,NA,INCOMPLETE_STRONG_STATIC_FAILURE_RECEIPT,PURE_TECHNICAL_EXCLUDED_DENOMINATOR0,
