arm,metric,scope,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,W0_success_den,W0_success_to_failure_num,W0_failure_den,W0_failure_to_success_num,new_NLL_paired_delta_mean,new_NLL_paired_delta_median,new_NLL_decreased,new_NLL_increased,new_NLL_equal,true_NLL_paired_delta_mean,true_NLL_paired_delta_median,true_NLL_decreased,true_NLL_increased,true_NLL_equal
MEMIT_ORIGINAL,RS,FINAL_W100_FULL10000,10000,791,7183,63.92,651,140,6532,2677,791,140,9209,6532,-5.88567335583701,-6.080250757280737,8519,1481,0,4.482626974173065,4.31823642924428,2003,7997,0
MEMIT_ORIGINAL,PS,FINAL_W100_FULL10000,20000,1997,13530,57.665,1600,397,11930,6073,1997,397,18003,11930,-3.824645467013561,-3.8563565015792847,15379,4621,0,4.355293796963175,4.283310353755951,3468,16532,0
MEMIT_ORIGINAL,NS,FINAL_W100_FULL10000,100000,89212,53287,-35.925,49906,39306,3381,7407,89212,39306,10788,3381,-2.402664391429321,-2.308856725692749,68395,31605,0,3.1455338387347105,3.049038887023926,26698,73302,0
AlphaEdit_ORIGINAL,RS,FINAL_W100_FULL10000,10000,791,9888,90.97,779,12,9109,100,791,12,9209,9109,-10.551137887927892,-10.598726509313565,9898,102,0,8.22317623111225,8.38615071773529,583,9417,0
AlphaEdit_ORIGINAL,PS,FINAL_W100_FULL10000,20000,1997,19155,85.79,1945,52,17210,793,1997,52,18003,17210,-8.345240868300976,-8.391469769179821,19643,357,0,5.18178617917537,5.027434825897217,2699,17301,0
AlphaEdit_ORIGINAL,NS,FINAL_W100_FULL10000,100000,89212,63726,-25.486,60906,28306,2820,7968,89212,28306,10788,2820,-2.537773869296635,-2.2229671478271484,74253,25747,0,1.8994564606023685,1.399050235748291,34288,65712,0
MEMIT_L4_ONLY,RS,FINAL_W100_FULL10000,10000,791,7722,69.31,721,70,7001,2208,791,70,9209,7001,-7.632318454110493,-7.580071866512299,9620,380,0,2.920547436472902,2.849955976009369,2768,7232,0
MEMIT_L4_ONLY,PS,FINAL_W100_FULL10000,20000,1997,14966,64.845,1786,211,13180,4823,1997,211,18003,13180,-6.224847991437644,-6.198362571187317,18803,1197,0,2.5876863171853124,2.433534622192383,5649,14351,0
MEMIT_L4_ONLY,NS,FINAL_W100_FULL10000,100000,89212,57848,-31.364,54685,34527,3163,7625,89212,34527,10788,3163,-4.099653243126335,-3.8686113357543945,84302,15698,0,1.022441438638489,0.9037084579467773,41503,58497,0
AlphaEdit_L4_ONLY,RS,FINAL_W100_FULL10000,10000,791,9939,91.48,787,4,9152,57,791,4,9209,9152,-10.70594884141743,-10.64247368524957,9989,11,0,7.65776245242377,7.907725691795349,719,9281,0
AlphaEdit_L4_ONLY,PS,FINAL_W100_FULL10000,20000,1997,19136,85.695,1942,55,17194,809,1997,55,18003,17194,-8.44523615215621,-8.45196538977325,19817,183,0,4.82362568322618,4.636652171611786,2933,17067,0
AlphaEdit_L4_ONLY,NS,FINAL_W100_FULL10000,100000,89212,65348,-23.864,62629,26583,2719,8069,89212,26583,10788,2719,-2.903065852037575,-2.4988083839416504,78275,21725,0,1.455814293931075,1.0321085453033447,36571,63428,1
MEMIT_L8_ONLY,RS,FINAL_W100_FULL10000,10000,791,8177,73.86,716,75,7461,1748,791,75,9209,7461,-7.699398990178808,-7.675433278083801,9542,458,0,3.0096390021493775,3.047027587890625,2401,7599,0
MEMIT_L8_ONLY,PS,FINAL_W100_FULL10000,20000,1997,14460,62.315,1547,450,12913,5090,1997,450,18003,12913,-4.607632596530684,-4.820956349372864,16442,3558,0,3.4331977828701143,3.5002348721027374,4276,15724,0
MEMIT_L8_ONLY,NS,FINAL_W100_FULL10000,100000,89212,48425,-40.787,45283,43929,3142,7646,89212,43929,10788,3142,-4.139323109313609,-4.021272659301758,82863,17137,0,1.9943567268978108,2.0710513591766357,30679,69321,0
AlphaEdit_L8_ONLY,RS,FINAL_W100_FULL10000,10000,791,9396,86.05,768,23,8628,581,791,23,9209,8628,-9.519691680781186,-9.692005276679993,9750,250,0,6.176964928295731,6.263197541236877,1250,8750,0
AlphaEdit_L8_ONLY,PS,FINAL_W100_FULL10000,20000,1997,15556,67.795,1696,301,13860,4143,1997,301,18003,13860,-5.293090502432602,-5.540437459945679,16982,3018,0,4.4825923938482735,4.373538136482239,3451,16549,0
AlphaEdit_L8_ONLY,NS,FINAL_W100_FULL10000,100000,89212,54703,-34.509,51440,37772,3263,7525,89212,37772,10788,3263,-2.560795519231776,-2.364665985107422,70584,29416,0,2.919896040142027,2.816786766052246,26287,73713,0
