cohort,arm,metric,scope,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,W0_success_den,W0_success_to_failure_num,W0_failure_den,W0_failure_to_success_num,new_NLL_paired_delta_mean,new_NLL_paired_delta_median,new_NLL_decreased,new_NLL_increased,new_NLL_equal,true_NLL_paired_delta_mean,true_NLL_paired_delta_median,true_NLL_decreased,true_NLL_increased,true_NLL_equal
1,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,51,46.0,5,0,46,49,5,0,95,46,-3.3697009403887206,-3.3587965965270996,79,21,0,3.9872219786583445,3.9569976329803467,19,81,0
2,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,59,51.0,6,2,53,39,8,2,92,53,-3.5964327431842684,-4.205305099487305,72,28,0,3.8116608496010302,3.967339277267456,26,74,0
3,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,53,47.0,5,1,48,46,6,1,94,48,-3.7702409032545985,-4.299009084701538,73,27,0,3.234308043618512,2.906731367111206,24,76,0
4,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,63,53.0,8,2,55,35,10,2,90,55,-3.7198765190690755,-4.133792161941528,79,21,0,3.5566293362315626,3.512903571128845,25,75,0
5,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,55,49.0,3,3,52,42,6,3,94,52,-3.2099734587967395,-3.052229404449463,72,28,0,3.8427752733789386,3.3598790168762207,14,86,0
6,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,54,45.0,6,3,48,43,9,3,91,48,-3.430058490652591,-2.808990478515625,79,21,0,3.213861495833844,2.9847452640533447,29,71,0
7,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,57,52.0,4,1,53,42,5,1,95,53,-4.0677646949904736,-4.270277500152588,82,18,0,4.174693501256407,4.236794888973236,22,78,0
8,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,51,43.0,7,1,44,48,8,1,92,44,-3.179631274016574,-2.6660836935043335,76,24,0,2.469106742599979,2.103962078690529,25,75,0
9,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,60,50.0,8,2,52,38,10,2,90,52,-4.530852085528895,-4.682981491088867,85,15,0,4.166429753655102,3.318984031677246,25,75,0
10,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,52,48.0,4,0,48,48,4,0,96,48,-3.5900447278656067,-2.3589558601379395,73,27,0,3.162536489646882,3.551929473876953,26,74,0
11,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,59,49.0,7,3,52,38,10,3,90,52,-3.139242546632886,-3.0788862705230713,75,25,0,3.9778906389139594,3.0845041275024414,23,77,0
12,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,51,41.0,9,1,42,48,10,1,90,42,-2.926978788226843,-3.1263272762298584,72,28,0,3.299237978402525,2.8731741905212402,24,76,0
13,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,53,43.0,8,2,45,45,10,2,90,45,-3.757924019433558,-3.656480073928833,81,19,0,4.0167837166320535,3.956383228302002,22,78,0
14,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,52,40.0,11,1,41,47,12,1,88,41,-2.433971040258184,-3.0105752237141132,70,30,0,3.7839599134214223,4.105778634548187,28,72,0
15,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,57,52.0,5,0,52,43,5,0,95,52,-4.01400837527588,-4.088657379150391,83,17,0,2.653652459224686,2.0814714431762695,31,69,0
16,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,59,51.0,3,5,56,36,8,5,92,56,-3.042519770665676,-4.359924674034119,73,27,0,3.9384642595984043,3.6339335441589355,19,81,0
17,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,55,43.0,8,4,47,41,12,4,88,47,-2.49687377743423,-2.621156692504883,70,30,0,3.779775572028011,3.4986512511968613,18,82,0
18,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,56,46.0,9,1,47,43,10,1,90,47,-3.569617471867241,-3.8012242317199707,80,20,0,3.1144678410259075,2.044885903596878,31,69,0
19,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,53,42.0,8,3,45,44,11,3,89,45,-3.658231302164495,-3.5279746055603027,78,22,0,2.9251006109034643,2.6529668420553207,30,70,0
20,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,50,45.0,4,1,46,49,5,1,95,46,-3.7281645865924657,-3.235382556915283,77,23,0,3.7263824057381134,3.8043732047080994,19,81,0
21,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,49,39.0,7,3,42,48,10,3,90,42,-3.108525628298521,-3.098224639892578,74,26,0,2.5937128323270007,2.7558432817459106,27,73,0
22,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,54,48.0,6,0,48,46,6,0,94,48,-3.099228311777115,-2.6703243255615234,74,26,0,3.253611373245949,2.818995475769043,26,74,0
23,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,49,41.0,5,3,44,48,8,3,92,44,-3.571706354608759,-3.7363429069519043,77,23,0,3.326378426104784,3.2411060333251953,20,80,0
24,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,61,51.0,7,3,54,36,10,3,90,54,-3.8463604816794397,-4.0296618938446045,80,20,0,3.427566774240695,3.8642160892486572,23,77,0
25,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,55,44.0,9,2,46,43,11,2,89,46,-3.06399720528163,-3.3881568908691406,74,26,0,3.6743631596979687,2.990694761276245,24,76,0
26,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,57,47.0,9,1,48,42,10,1,90,48,-2.437815733780153,-2.7584259510040283,69,31,0,3.7918654967285694,3.151526629924774,23,77,0
27,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,47,41.0,4,2,43,51,6,2,94,43,-3.7019034787267446,-3.9278721809387207,79,21,0,3.432936809551902,3.443585515022278,23,77,0
28,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,58,49.0,7,2,51,40,9,2,91,51,-3.4990396454930304,-3.8089725971221924,76,24,0,3.298725516431732,3.3533480167388916,23,77,0
29,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,56,45.0,6,5,50,39,11,5,89,50,-3.532849571974948,-3.4491968154907227,76,24,0,3.2227993208239787,3.256793439388275,24,76,0
30,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,62,52.0,5,5,57,33,10,5,90,57,-3.5817485899454913,-3.7184839248657227,78,22,0,3.61496046314016,3.3034493923187256,21,79,0
31,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,59,55.0,3,1,56,40,4,1,96,56,-3.595250749066472,-3.520880699157715,76,24,0,2.7354741389001718,2.0191939513897523,33,67,0
32,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,60,55.0,3,2,57,38,5,2,95,57,-3.047847299873829,-3.318629741668701,72,28,0,3.842615533627686,3.5360732674598694,20,80,0
33,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,65,58.0,6,1,59,34,7,1,93,59,-4.097258836105466,-4.103961944580078,81,19,0,3.8678781661391257,2.905869960784912,20,80,0
34,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,55,44.0,7,4,48,41,11,4,89,48,-3.3163931978680194,-3.236255645751953,75,25,0,3.417129534033593,2.4783769845962524,26,74,0
35,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,13,59,46.0,10,3,49,38,13,3,87,49,-2.722059585734969,-2.6506400108337402,73,27,0,3.5069411271996795,3.71826171875,21,79,0
36,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,58,47.0,8,3,50,39,11,3,89,50,-3.1915680042468013,-3.239615559577942,79,21,0,3.949375944584608,4.247487545013428,25,75,0
37,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,54,48.0,4,2,50,44,6,2,94,50,-3.427989395982586,-3.285274624824524,75,25,0,3.268236692082137,3.456857204437256,21,79,0
38,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,48,37.0,7,4,41,48,11,4,89,41,-3.1078268568217755,-3.097105026245117,73,27,0,2.813998626843095,2.3166325092315674,23,77,0
39,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,43,32.0,9,2,34,55,11,2,89,34,-2.612600752413273,-2.6631345748901367,72,28,0,3.685346827059984,3.179056167602539,21,79,0
40,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,62,51.0,8,3,54,35,11,3,89,54,-2.9776392383873462,-2.9881606101989746,73,27,0,4.009250209708116,4.122642755508423,15,85,0
41,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,56,48.0,5,3,51,41,8,3,92,51,-3.1803929115831853,-3.5514607429504395,76,24,0,3.764203687552363,3.3954163789749146,25,75,0
42,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,57,49.0,6,2,51,41,8,2,92,51,-3.5258322835341094,-3.2882000207901,73,27,0,3.9979456832818685,3.9337090849876404,20,80,0
43,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,60,51.0,6,3,54,37,9,3,91,54,-2.848341115638614,-3.012540102005005,76,24,0,4.081807875484228,4.214986801147461,26,74,0
44,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,55,48.0,4,3,51,42,7,3,93,51,-3.4271547860465943,-3.500015452504158,77,23,0,3.9674388385564088,3.9071168899536133,21,79,0
45,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,58,51.0,4,3,54,39,7,3,93,54,-4.285502149872482,-4.392550945281982,80,20,0,3.6172334402473645,3.2479901015758514,23,77,0
46,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,51,43.0,4,4,47,45,8,4,92,47,-3.7905862106196584,-4.342777252197266,77,23,0,3.047540369220078,3.506914973258972,33,67,0
47,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,47,42.0,3,2,44,51,5,2,95,44,-3.3383959529176352,-2.7690272331237793,77,23,0,3.539696558564901,3.237157702445984,23,77,0
48,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,13,42,29.0,7,6,35,52,13,6,87,35,-3.5368317115306853,-3.795405387878418,73,27,0,3.1418721178022677,3.0685213804244995,27,73,0
