actual,error,expected,path,requirement,sha256,status
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/terminal.json,Middle/native-terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/prepared-receipt.json,Middle/prepared,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/prepared.pt,Middle/prepared-bytes,600927c1ec6c11d8af7b042d00f9787389b30f415b64171b6c27725e05508cb0,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/W0-full.json,Middle/W0-full3900,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/ENTRY-full.json,Middle/ENTRY-full3900,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/N-full.json,Middle/N-full3900,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/W0-train.json,Middle/W0/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/ENTRY-train.json,Middle/ENTRY/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/N-train.json,Middle/N/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.25-train.json,Middle/native-scale-0.25/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.5-train.json,Middle/native-scale-0.5/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-0.75-train.json,Middle/native-scale-0.75/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/Middle-native-train-observation/native-scale-1.25-train.json,Middle/native-scale-1.25/observed-train-terms,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/N-generation.json,Middle/N-generation60,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.25-curve.json,Middle/native-scale-0.25,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.5-curve.json,Middle/native-scale-0.5,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.75-curve.json,Middle/native-scale-0.75,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-1.25-curve.json,Middle/native-scale-1.25,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/terminal.json,Middle/B/0.06/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1/B-alpha-0.06/endpoint.pt,Middle/B/0.06/endpoint-bytes,20ac0ed7f2afa26f708d4abf3fa7c9372eaef6d43b3aa06024ccd67f68dc5128,PASS
