model,official_baseline,metric,pre_edit,official_endpoint,official_minus_pre_edit,unit
llama3-8b-inst,Official MEMIT,rewrite_success_rate,0.13,0.97999999999999998,0.84999999999999998,RATE
llama3-8b-inst,Official MEMIT,rephrase_success_rate,0.14000000000000001,0.81999999999999995,0.67999999999999994,RATE
llama3-8b-inst,Official MEMIT,strict_rephrase_success_rate,0.080000000000000002,0.77000000000000002,0.69000000000000006,RATE
llama3-8b-inst,Official MEMIT,rewrite_target_new_nll_mean,11.102701358795166,0.39510132519280883,-10.707600033602358,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_new_nll_median,10.909377098083496,0.0031029060482978001,-10.906274192035198,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_new_nll_p90,16.596692276000976,0.19495392888784421,-16.401738347113131,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_new_nll_max,20.853899002075195,13.531509399414062,-7.3223896026611328,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_true_nll_mean,4.9429566620942209,12.001848150901496,7.0588914888072756,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_true_nll_median,4.157355785369873,12.07872438430786,7.9213685989379865,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_true_nll_p90,10.377396965026859,17.369939613342289,6.99254264831543,NLL
llama3-8b-inst,Official MEMIT,rewrite_target_true_nll_max,15.270686149597168,22.587701797485352,7.3170156478881836,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_new_nll_mean,9.821012414097785,3.0946751968582977,-6.7263372172394877,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_new_nll_median,9.6705026626586914,1.4864641427993774,-8.184038519859314,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_new_nll_p90,14.684741878509522,8.948571014404294,-5.7361708641052278,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_new_nll_max,20.91832160949707,17.218297958374023,-3.7000236511230469,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_true_nll_mean,5.0023488967213776,7.9767845804989328,2.9744356837775552,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_true_nll_median,4.2286777496337891,7.9385135173797599,3.7098357677459708,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_true_nll_p90,9.8320774078369126,13.370411777496336,3.5383343696594238,NLL
llama3-8b-inst,Official MEMIT,rephrase_target_true_nll_max,18.113283157348636,18.092267990112305,-0.021015167236331678,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_success_rate,0.13,1,0.87,RATE
llama3-8b-inst,Official AlphaEdit,rephrase_success_rate,0.14000000000000001,0.92000000000000004,0.78000000000000003,RATE
llama3-8b-inst,Official AlphaEdit,strict_rephrase_success_rate,0.080000000000000002,0.89000000000000001,0.81000000000000005,RATE
llama3-8b-inst,Official AlphaEdit,rewrite_target_new_nll_mean,11.102701358795166,0.0012731164585055999,-11.101428242336659,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_new_nll_median,10.909377098083496,0.00059229470207349997,-10.908784803381423,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_new_nll_p90,16.596692276000976,0.0015815971535629999,-16.595110678847412,NLL
