model,method_group,method_label,writer_family,arm,stage_status,rewrite_success_numerator,rewrite_success_denominator,rewrite_success_rate,rephrase_success_numerator,rephrase_success_denominator,rephrase_success_rate,strict_rephrase_success_numerator,strict_rephrase_success_denominator,strict_rephrase_success_rate,canonical_ns_status,canonical_ns_numerator,canonical_ns_denominator,canonical_ns_rate,pp_prompt_status,pp_prompt_numerator,pp_prompt_denominator,pp_prompt_rate,pp_token_status,pp_token_numerator,pp_token_denominator,pp_token_rate,rewrite_target_new_accuracy_rate,rewrite_target_true_accuracy_rate,rephrase_target_new_accuracy_rate,rephrase_target_true_accuracy_rate,locality_target_true_accuracy_rate
llama3-8b-inst,W0_BASELINE,PRE_EDIT (W0 common),NOT_APPLICABLE,PRE_EDIT,ENTRY_REFERENCE,13,100,0.13,28,200,0.14000000000000001,8,100,0.080000000000000002,RECORDED_STRICT_COUNTERFACT_NLL_PAIR,893,1000,0.89300000000000002,NOT_APPLICABLE_ENTRY_REFERENCE,,,,NOT_APPLICABLE_ENTRY_REFERENCE,,,,0,0.19,0.0050000000000000001,0.17999999999999991,0.20799999999999991
llama3-8b-inst,OFFICIAL_BASELINE,Official MEMIT,MEMIT,O,TERMINAL_VALID,98,100,0.97999999999999998,164,200,0.81999999999999995,77,100,0.77000000000000002,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,941,1000,0.94099999999999995,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,951,1010,0.94158415841584153,0.94999999999999996,0.01,0.48499999999999988,0.035000000000000003,0.2049999999999999
llama3-8b-inst,OURS,MEMIT+QCL,MEMIT,QCL,HORIZON_SEMANTIC_MISS,96,100,0.95999999999999996,156,200,0.78000000000000003,69,100,0.68999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,942,1000,0.94199999999999995,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,952,1010,0.94257425742574252,0.89000000000000001,0.01,0.44,0.040000000000000001,0.20599999999999991
llama3-8b-inst,OURS,MEMIT+NQFIX,MEMIT,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,183,200,0.91500000000000004,87,100,0.87,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,931,1000,0.93100000000000005,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,941,1010,0.93168316831683173,1,0,0.56999999999999995,0.029999999999999898,0.20200000000000001
llama3-8b-inst,OURS,MEMIT+ORBFH,MEMIT,ORBFH,HORIZON_SEMANTIC_MISS,98,100,0.97999999999999998,162,200,0.81000000000000005,75,100,0.75,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,930,1000,0.93000000000000005,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,940,1010,0.93069306930693074,0.95999999999999996,0.01,0.48499999999999988,0.040000000000000001,0.2049999999999999
llama3-8b-inst,OURS,MEMIT+JAC,MEMIT,JAC,HORIZON_SEMANTIC_MISS,98,100,0.97999999999999998,163,200,0.81499999999999995,76,100,0.76000000000000001,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,926,1000,0.92600000000000005,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,936,1010,0.92673267326732678,0.95999999999999996,0.01,0.47999999999999993,0.040000000000000001,0.2039999999999999
llama3-8b-inst,OFFICIAL_BASELINE,Official AlphaEdit,AlphaEdit,O,TERMINAL_VALID,100,100,1,184,200,0.92000000000000004,89,100,0.89000000000000001,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,867,1000,0.86699999999999999,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,877,1010,0.86831683168316831,1,0,0.59999999999999987,0.035000000000000003,0.20999999999999991
llama3-8b-inst,OURS,AlphaEdit+QCL,AlphaEdit,QCL,HORIZON_SEMANTIC_MISS,100,100,1,169,200,0.84499999999999986,79,100,0.79000000000000004,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,881,1000,0.88100000000000001,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,891,1010,0.88217821782178218,0.98999999999999999,0,0.54000000000000004,0.035000000000000003,0.20599999999999991
llama3-8b-inst,OURS,AlphaEdit+NQFIX,AlphaEdit,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,93,100,0.93000000000000005,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,858,1000,0.85799999999999998,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,868,1010,0.85940594059405939,1,0,0.63,0.029999999999999898,0.20899999999999991
llama3-8b-inst,OURS,AlphaEdit+ORBFH,AlphaEdit,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,168,200,0.83999999999999986,79,100,0.79000000000000004,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,880,1000,0.88,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,890,1010,0.88118811881188119,0.98999999999999999,0,0.53500000000000003,0.035000000000000003,0.20599999999999991
