arm,label,endpoint,prompt,provenance,success_numerator,success_denominator,success_strict_numerator,success_strict_denominator,accuracy_numerator,accuracy_denominator,accuracy_strict_numerator,accuracy_strict_denominator,target_new_count,target_new_mean,target_new_median,target_new_p90,target_new_max,target_new_min,target_true_count,target_true_mean,target_true_median,target_true_p90,target_true_max,target_true_min
pre_edit,Pre-edit (공통 W0),W0 pre-edit,rewrite,COMMON_W0_OBSERVATION_ONLY,88,1000,88,1000,1,1000,1,1000,1000,11.040823616683483,10.93730354309082,16.200504302978516,22.937421798706055,0.7286462187767029,1000,4.591916079607326,4.241697788238525,9.64651870727539,16.17287254333496,0.0011940023396164179
alphaedit,Official AlphaEdit,accepted/native-z,rewrite,NATIVE_ALPHAEDIT_Z,1000,1000,1000,1000,1000,1000,1000,1000,,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,0.025194421410560608,,,15.196513225078583,14.896466255187988,20.951120376586914,31.449064254760742,
alphaedit,Official AlphaEdit,immediate W,rewrite,IMMEDIATE_POST_W,1000,1000,1000,1000,1000,1000,1000,1000,,0.0014925836953384533,0.0008041276014409959,0.003581777447834611,0.02607957273721695,,,15.100299176216126,14.8002347946167,20.819164276123047,31.112592697143555,
memit,Native MEMIT,accepted/native-z,rewrite,NATIVE_MEMIT_LATENT_Z_OBSERVATION_NOT_P1R52_ACCEPTED_Z,1000,1000,1000,1000,1000,1000,1000,1000,,0.002096798793733342,0.000902960222447291,0.004588788375258446,0.043855756521224976,,,14.776315965175629,14.372349262237549,20.241044998168945,27.45424461364746,
memit,Native MEMIT,immediate W,rewrite,IMMEDIATE_POST_W,996,1000,996,1000,989,1000,989,1000,,0.07658723756304425,0.003204451175406575,0.022911004722118378,12.664019584655762,,,12.895130016531795,12.687969207763672,18.405181884765625,24.849830627441406,
c0,C0,accepted/native-z,rewrite,P1R52_ACCEPTED_Z,999,1000,999,1000,996,1000,996,1000,,0.05814047066638887,0.02011747006326914,0.0872124508023262,6.398036956787109,,,10.795876319766045,10.268672466278076,16.056259155273438,24.00774383544922,
c0,C0,immediate W,rewrite,IMMEDIATE_POST_W,999,1000,999,1000,996,1000,996,1000,,0.05269701395489756,0.01832595095038414,0.08207442611455917,6.204568386077881,,,10.798761595964432,10.335990905761719,16.10816192626953,24.129405975341797,
c1,C1,accepted/native-z,rewrite,P1R52_ACCEPTED_Z,1000,1000,1000,1000,997,1000,997,1000,,0.039679913120970016,0.014132830314338207,0.060341957956552505,6.349158763885498,,,11.218118319749832,10.740217685699463,16.260995864868164,23.28721809387207,
c1,C1,immediate W,rewrite,IMMEDIATE_POST_W,1000,1000,1000,1000,997,1000,997,1000,,0.035539499359714684,0.012934417929500341,0.05274299532175064,6.171868801116943,,,11.23210163116455,10.763324737548828,16.391319274902344,23.26633071899414,
c3,C3,accepted/native-z,rewrite,P1R52_ACCEPTED_Z,998,1000,998,1000,994,1000,994,1000,,0.05983794409353868,0.020172731950879097,0.08415316790342331,6.350800514221191,,,10.862917377710342,10.352555751800537,16.015209197998047,23.499221801757812,
c3,C3,immediate W,rewrite,IMMEDIATE_POST_W,998,1000,998,1000,992,1000,992,1000,,0.0538836395269027,0.018876899033784866,0.0752323791384697,6.184371471405029,,,10.874818429231643,10.489680290222168,15.93079948425293,23.57373046875,
