arm,label,endpoint,eff_numerator,eff_denominator,rewrite_accuracy_numerator,rewrite_accuracy_denominator,gen_numerator,gen_denominator,gen_strict_numerator,gen_strict_denominator,rephrase_accuracy_numerator,rephrase_accuracy_denominator,locality_numerator,locality_denominator
pre_edit,Pre-edit (공통 W0),COMMON_W0_REFERENCE,88,1000,1,1000,208,2000,60,1000,8,2000,8839,10000
alphaedit,Official AlphaEdit,FINAL_W10_REEVALUATION,994,1000,992,1000,1934,2000,943,1000,1494,2000,7810,10000
memit,Native MEMIT,FINAL_W10_REEVALUATION,954,1000,840,1000,1807,2000,861,1000,1294,2000,7239,10000
c0,C0,FINAL_W10_REEVALUATION,998,1000,994,1000,1663,2000,722,1000,1012,2000,8371,10000
c1,C1,FINAL_W10_REEVALUATION,999,1000,996,1000,1690,2000,742,1000,1057,2000,8379,10000
c3,C3,FINAL_W10_REEVALUATION,998,1000,994,1000,1668,2000,731,1000,1026,2000,8508,10000
