arm,label,endpoint,prompt,provenance,success_numerator,success_denominator,success_strict_numerator,success_strict_denominator,accuracy_numerator,accuracy_denominator,accuracy_strict_numerator,accuracy_strict_denominator,target_new_count,target_new_mean,target_new_median,target_new_p90,target_new_max,target_new_min,target_true_count,target_true_mean,target_true_median,target_true_p90,target_true_max,target_true_min
pre_edit,Pre-edit (공통 W0),W0 pre-edit,rephrase,COMMON_W0_OBSERVATION_ONLY,208,2000,60,1000,8,2000,0,1000,2000,10.081088499486446,10.005894660949707,14.581029891967773,20.91835594177246,0.9623037576675415,2000,4.70003036399465,4.326975345611572,9.530658721923828,20.848831176757812,0.0035147815942764282
alphaedit,Official AlphaEdit,accepted/native-z,rephrase,NATIVE_ALPHAEDIT_Z,1987,2000,988,1000,1631,2000,694,1000,,0.7976907307744578,0.06925876706372947,2.721581995487213,12.862534523010254,,,12.183187448585405,11.778221607208252,17.39711284637451,24.27603054046631,
alphaedit,Official AlphaEdit,immediate W,rephrase,IMMEDIATE_POST_W,1948,2000,955,1000,1511,2000,613,1000,,1.1592758414183608,0.2907789424061775,3.3864146806299686,13.746431350708008,,,10.758104332764255,10.754892110824585,15.675660133361816,23.082350730895996,
memit,Native MEMIT,accepted/native-z,rephrase,NATIVE_MEMIT_LATENT_Z_OBSERVATION_NOT_P1R52_ACCEPTED_Z,1980,2000,981,1000,1626,2000,689,1000,,0.7717991034221341,0.0817473437928129,2.6468722596764565,12.733782768249512,,,11.586471787825227,11.335656642913818,16.863792419433594,24.677602767944336,
memit,Native MEMIT,immediate W,rephrase,IMMEDIATE_POST_W,1841,2000,879,1000,1344,2000,528,1000,,1.6781503709262944,0.6032406305894256,4.716974973678589,18.988174438476562,,,9.28681953659316,9.209508299827576,14.49013900756836,21.984386444091797,
c0,C0,accepted/native-z,rephrase,P1R52_ACCEPTED_Z,1940,2000,947,1000,1394,2000,551,1000,,1.3882157269235067,0.6036551985889673,3.972266674041748,13.43373966217041,,,8.992932274370455,8.784339666366577,13.507415294647217,21.037388801574707,
c0,C0,immediate W,rephrase,IMMEDIATE_POST_W,1661,2000,719,1000,965,2000,294,1000,,2.651555843718554,1.9545610025525093,6.214140892028809,13.705602645874023,,,7.129028300994541,6.777652263641357,11.718503475189209,19.61207103729248,
c1,C1,accepted/native-z,rephrase,P1R52_ACCEPTED_Z,1937,2000,941,1000,1420,2000,564,1000,,1.3346861919580841,0.48690294101834297,3.972266674041748,13.100144386291504,,,9.222916593147675,9.08788776397705,13.712798595428467,20.709797859191895,
c1,C1,immediate W,rephrase,IMMEDIATE_POST_W,1686,2000,739,1000,1021,2000,320,1000,,2.5406898249477674,1.8456931337714195,6.067924857139587,13.710614681243896,,,7.296925968457596,7.000891327857971,11.9208984375,19.58043384552002,
c3,C3,accepted/native-z,rephrase,P1R52_ACCEPTED_Z,1930,2000,941,1000,1400,2000,550,1000,,1.3822324931570766,0.5972008127719164,3.972266674041748,13.83218240737915,,,9.085106074501295,8.901216745376587,13.746832847595215,23.287880897521973,
c3,C3,immediate W,rephrase,IMMEDIATE_POST_W,1682,2000,742,1000,1023,2000,332,1000,,2.526564078271971,1.8211628198623657,5.940354585647583,13.703525066375732,,,7.309436389041482,7.039367079734802,11.763668537139893,21.44043254852295,
