arm,prompt,target,count,mean,median,p90,max,min
alphaedit,rewrite,new,1000,0.00010103987316506391,3.687900607474148e-05,0.00020309281535446644,0.016237895470112562,-0.0006074663251638412
alphaedit,rephrase,new,1000,0.36158511064390303,0.04093568597454578,1.0713706016540527,13.481135162641294,-3.8339743949472904
memit,rewrite,new,1000,0.07449043876931091,0.001810257090255618,0.015034058364108205,12.663803243194707,-0.0076076313853263855
memit,rephrase,new,1000,0.9063512675041602,0.16554341255687177,2.9175424575805664,17.543275356292725,-3.376094988096156
c0,rewrite,new,1000,-0.005443456711491308,-0.0004972778260707855,0.004903629422187805,0.10943746566772461,-0.9113297462463379
c0,rephrase,new,1000,1.2633401167950469,0.6559356497600675,3.587640531361103,13.644159754738212,-3.410433530807495
c1,rewrite,new,1000,-0.004140413761255331,-0.00042315293103456497,0.003218029160052538,0.04253558814525604,-0.9839115142822266
c1,rephrase,new,1000,1.206003632989683,0.5978482365608215,3.532439181348309,13.649171790108085,-3.457014989107847
c3,rewrite,new,1000,-0.0059543045666359835,-0.00042439461685717106,0.005592783913016319,0.3580970764160156,-0.9995551109313965
c3,rephrase,new,1000,1.1443315851148945,0.5542582981288433,3.3500313758850098,13.64208217523992,-3.023499548435211
