source_table,model,method,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,accepted_edit_count,fork
production_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,10000,16797.29385532004,1.6797293855320041,1.4974885994370597,1.0561950648626404,2.1251470372970145,1.0689519724343741,2.6519010772196716,4171.732187133494,-6125.42408267263,,
production_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,10000,390535.3004442869,39.05353004442869,2.9844728842709047,2.1408592187406117,4.199736309357414,2.0588770906168024,5.831623765670118,35451.68681633174,0.6132764641899473,,
production_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,10000,14960.087760460105,1.4960087760460106,1.1705567356002817,0.7260610642006011,1.9748869297122722,1.248825865511671,2.9817988245025004,7.823520394691849,-0.5175804904607789,,
production_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,10000,15463.570309010984,1.5463570309010983,1.4058097271715684,1.1567523413740743,1.8033730417414628,0.6466207003673885,2.2696042671796675,8.221149752992366,0.42610441905935775,,
production_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,10000,9106.188143227151,0.9106188143227151,0.7815761142684441,0.6836679498335323,0.9789394840718234,0.2952715342382911,1.3339239785190042,4.6464757349821335,-0.00397448703396673,,
production_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,10000,8204.888063629762,0.8204888063629762,0.7921794540921872,0.6486066372924573,0.9448869372561521,0.29628029996369487,1.1634384718757362,3.9055393653304478,0.13726877807073934,,
production_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,10000,6514.253832894575,0.6514253832894574,0.7330878335611078,0.46539852223638356,0.7940009361674423,0.3286024139310587,0.8309621118869633,2.014187386214276,0.09408131697703374,,
production_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,10000,4009.991976033641,0.4009991976033641,0.4074403819405283,0.284403757905096,0.496596494517511,0.212192736612415,0.5843557863995238,1.5947631874640256,0.08345947853784338,,
production_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,10000,7531.747791391976,0.7531747791391976,0.8283369256850757,0.6288563327434539,0.8830632479590401,0.25420691521558625,0.9118709076553025,1.091640880868233,0.0771450059730844,,
production_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,10000,437.51944399087347,0.04375194439908735,0.035578374258092973,0.023972950556764478,0.057843898276058056,0.03387094771929358,0.0761809534184358,1.098290427303749,0.005445046924767655,,
production_layer,llama3-8b-inst,memit,4,rho,RECORDED,10000,22120.18766766085,2.2120187667660853,2.365012201555089,1.5333652264569761,2.9372747501228926,1.4039095236659165,3.431571968346716,6080.229255355137,-6155.2737553864,,
