comparison,metric,paired_n,n,sum,mean,median,p25,p75,iqr,p90,max,min,paired_mean_bootstrap95_low,paired_mean_bootstrap95_high,uncertainty_unit,uncertainty_cluster_n,bootstrap_seed,bootstrap_resamples
llama3-8b-inst:alphaedit-minus-memit:production,q_pre_L8,10000,10000,11540.383322174815,1.1540383322174816,-0.1098600158162521,-0.15982613179294963,-0.05198762458961588,0.10783850720333375,-0.0010047074157588606,9438.708914251814,-35953.181300542354,-10.521472322710475,9.16751066442802,PAIRED_BATCH_INDEX_CLUSTER,100,18395776143962359334,2000
llama3-8b-inst:alphaedit-minus-memit:production,q_post_L8,10000,10000,-6144.658505391746,-0.6144658505391746,-0.22330908644122432,-0.2713761808955835,-0.1727132673765968,0.0986629135189867,-0.10535092570386126,8008.66688694645,-38851.913419783414,-11.28040948975028,7.143365349867575,PAIRED_BATCH_INDEX_CLUSTER,100,1257509829766848087,2000
llama3-8b-inst:alphaedit-minus-memit:production,d_parallel,10000,10000,-1741.715861028737,-0.1741715861028737,-0.10872979774836719,-0.16688368550714502,-0.04543879506317959,0.12144489044396543,0.00975646985094594,1495.2615607637154,-2413.857354431929,-0.7802092636515456,0.2748689617825725,PAIRED_BATCH_INDEX_CLUSTER,100,15849347419608468702,2000
llama3-8b-inst:alphaedit-minus-memit:production,d_perp,10000,10000,12239.949127089616,1.2239949127089615,-0.035980556821950754,-0.08434919142087868,0.004431628595794927,0.08878082001667362,0.0441390811475351,9438.105886873,-35872.14240389612,-8.759051533844447,9.307574582597214,PAIRED_BATCH_INDEX_CLUSTER,100,16096399677848631299,2000
llama3-8b-inst:alphaedit-minus-memit:production,mean_rho,10000,10000,632.8040836838506,0.06328040836838507,0.09973655830938755,-0.21484727607960943,0.30024003095110835,0.5150873070307178,0.5833717979121374,1230.2234425646793,-1225.2676156259345,-0.5911548951832059,0.6536037857837376,PAIRED_BATCH_INDEX_CLUSTER,100,9123937650648190970,2000
llama3-8b-inst:alphaedit-minus-memit:production,mean_tau,10000,10000,53082.88859690982,5.308288859690982,-0.026735934484414248,-0.4214631110052106,0.26548412244092134,0.686947233446132,0.6259649092514185,7090.578635741755,-8846.859580123682,1.1729098087701315,9.7968691460059,PAIRED_BATCH_INDEX_CLUSTER,100,10936506196190895132,2000
llama3-8b-inst:alphaedit-minus-memit:production,target_new_nll,10000,10000,-30843.453849560115,-3.0843453849560114,-0.8232287126593292,-5.478058653650805,-0.018177776015363634,5.459880877635442,-0.0005195058736717306,9.753908395767212,-22.440335036175384,-3.5974848689983787,-2.590726585712158,PAIRED_BATCH_INDEX_CLUSTER,100,3634123765721309975,2000
llama3-8b-inst:alphaedit-minus-memit:production,target_true_nll,10000,10000,22500.090665490367,2.250009066549037,2.147480010986328,-0.5637392997741699,5.009653806686401,5.573393106460571,7.866817617416383,21.324692010879517,-15.722312927246094,2.102200596089363,2.393478565260877,PAIRED_BATCH_INDEX_CLUSTER,100,10799341763909457429,2000
qwen2.5-7b-inst:alphaedit-minus-memit:production,q_pre_L8,10000,10000,4970.428979248943,0.49704289792489426,-0.07064438295656186,-0.14147398521935362,-0.0036171631095665846,0.13785682210978703,0.052390012796782084,5706.04458319416,-2.170767504252166,-0.08237614119175117,1.646875100000083,PAIRED_BATCH_INDEX_CLUSTER,100,5724926981678267299,2000
qwen2.5-7b-inst:alphaedit-minus-memit:production,q_post_L8,10000,10000,2503.3789577272355,0.25033789577272353,-0.13230527478607104,-0.19483184185479097,-0.08475621788641456,0.1100756239683764,-0.05360145610453575,3972.3709802087496,-1.0567542415230335,-0.15601123333602598,1.0526282070437083,PAIRED_BATCH_INDEX_CLUSTER,100,10518621518950347990,2000
