source_table,model,method,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,accepted_edit_count,fork,under_count,overshoot_count,opposite_count,exact_count,under_rate,overshoot_rate,opposite_rate,exact_rate
production_layer,llama3-8b-inst,alphaedit,4,allocation_norm_over_R1,RECORDED,10000,2000.0000000000014,0.20000000000000015,0.2000000000000001,0.20000000000000004,0.20000000000000018,1.3877787807814457e-16,0.20000000000000023,0.2000000000000006,0.19999999999999982,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,realized_reduction_norm_over_R1,RECORDED,10000,79401.7122080272,7.9401712208027195,0.6907093422640079,0.4824521815443664,0.947599811699807,0.4651476301554406,1.2622356773380354,7146.839943096117,0.13121569386132342,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,gap_norm_over_R1,RECORDED,10000,78818.86212710486,7.881886212710486,0.6201711036789098,0.431743533279112,0.8764613806757144,0.4447178473966024,1.2042021443478808,7146.8650451745025,0.16835197421250636,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,10000,16797.29385532004,1.6797293855320041,1.4974885994370597,1.0561950648626404,2.1251470372970145,1.0689519724343741,2.6519010772196716,4171.732187133494,-6125.42408267263,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,10000,390535.3004442869,39.05353004442869,2.9844728842709047,2.1408592187406117,4.199736309357414,2.0588770906168024,5.831623765670118,35451.68681633174,0.6132764641899473,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,Y_parallel_over_R1,RECORDED,10000,3359.4587710640103,0.335945877106401,0.29949771988741225,0.21123901297252817,0.4250294074594032,0.21379039448687503,0.5303802154439351,834.3464374266989,-1225.084816534526,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,Y_perp_over_R1,RECORDED,10000,78107.06008885737,7.810706008885737,0.5968945768541816,0.4281718437481223,0.839947261871483,0.41177541812336077,1.166324753134024,7090.337363266349,0.12265529283798952,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,E_parallel_over_R1,RECORDED,10000,-1359.458771064009,-0.13594587710640088,-0.09949771988741204,-0.22502940745940309,-0.011239012972528056,0.21379039448687503,0.04573863148561315,1225.284816534526,-834.1464374266989,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,4,E_perp_magnitude_over_R1,RECORDED,10000,78107.06008885737,7.810706008885737,0.5968945768541816,0.4281718437481223,0.839947261871483,0.41177541812336077,1.166324753134024,7090.337363266349,0.12265529283798952,,,,,,,,,,
production_layer,llama3-8b-inst,alphaedit,5,allocation_norm_over_R1,RECORDED,10000,20462.685312950245,2.0462685312950244,0.23185376160073928,0.22111919287432238,0.25856592341494494,0.03744673054062256,0.3231949079102213,1786.7413771435506,0.1459729054578676,,,,,,,,,,
