stage,model,method,n,sum,mean,median,p25,p75,iqr,p90,max,min,worst_request_sha256,worst_case_identity_sha256,threshold,threshold_violation_count,accepted_edit_count,fork
production,llama3-8b-inst,memit,10000,1.7992123592615957e-12,1.7992123592615958e-16,8.369229536053834e-18,6.5759869168075106e-18,1.0831955338465909e-17,4.255968421658399e-18,1.5352140094384892e-17,1.3841384439020737e-12,1.0506097301514926e-18,75c7c672dc21924e28f91ca9e93b2d0bf9a26349eef4b5b725ad931bf18d0733,01e8610926fc5cde82f958e27fbe9532f27cd726f80e5a48e86f8fb0f68c6612,0.0001,0,,
production,llama3-8b-inst,alphaedit,10000,1.0479144995981751e-12,1.047914499598175e-16,9.126619131587675e-18,7.676860406148649e-18,1.2381092547652088e-17,4.704232141503439e-18,1.9139233981376987e-17,8.569780008972214e-14,2.5594774261657966e-18,5fb006694da2de5bb5e11037809a94cd5df192d98fda266f6c4ac09d5cf0f436,829ed56630fee9609cd41e9c654fbce19f79c2d09cb012db79f314ba2494a9ec,0.0001,0,,
production,qwen2.5-7b-inst,memit,10000,1.5891266949925615e-13,1.5891266949925615e-17,1.2635073374534414e-17,9.388426086174556e-18,1.803695064619158e-17,8.648524560017024e-18,2.6845703627669405e-17,3.248774972551997e-16,0.0,929b722dba2f84b3259ebfd26320297bdc9a7be285fea83435df37953ef0e049,4649eccfcb490e0214f8b6c78de1343346abeea08ea07fe7da49fee00296aa95,0.0001,0,,
production,qwen2.5-7b-inst,alphaedit,10000,2.090270529888611e-13,2.090270529888611e-17,9.838623132777409e-18,8.508603462232851e-18,1.2126793407083834e-17,3.618189944850982e-18,1.6192577668518074e-17,9.292588711172162e-14,0.0,2f186fa443857e7d28756222ce2a209ccfce3d16a8cc6afab642f83c483128eb,18541b429f157979902a19f9f420a7443ed4f61d148b6a4f3622177c39273537,0.0001,0,,
checkpoint,llama3-8b-inst,memit,100,4.189987313281789e-16,4.189987313281789e-18,4.175177178600309e-18,3.50938126793166e-18,4.8145105871782385e-18,1.3051293192465786e-18,5.392893083375748e-18,6.7482202621755024e-18,1.226093447782366e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,0,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,7.206798899558112e-14,7.206798899558112e-16,4.9731649002856466e-18,4.139962222093934e-18,5.9468071998132205e-18,1.806844977719287e-18,7.114072510830361e-18,7.155146313180297e-14,1.5850835787614745e-18,1e0ad5c0c17d9e3a395a2c49169097f1369244e5b06f3bcbafbf801546683702,56ff678e8a25e470f432fbec156a1993becdf436096ad2a4fab4667a77177a26,0.0001,0,1000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,1.6493902594744677e-15,1.6493902594744676e-17,1.1498673403804998e-17,7.470824577876316e-18,1.9924393043329008e-17,1.2453568465452692e-17,3.3080332042534016e-17,7.648463799713482e-17,4.70068652821494e-18,03ce977d2e3768cb368004d8b16c62a60ebbeb1c330bc720ab98abbaebebe66a,276a77d209d2816695c86d70ecc2b3164b076cb853a5c4dbeaaec062896f1248,0.0001,0,1500,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,2.0445798873778968e-15,2.044579887377897e-17,1.6756490626742153e-17,9.746874690890007e-18,2.4546418242362766e-17,1.479954355147276e-17,3.250550840161597e-17,1.8537835686467306e-16,5.1633853702802096e-18,6025e7eadf653a035c6b6271e78bb70bdff1b1c473ae1257dd9d43e6405ec914,7d84c0eb2b417e81813a9bd4f4599dac27c822b93b68795a24644fe397f631ab,0.0001,0,2000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,1.1319476789116047e-15,1.1319476789116046e-17,1.0756245835590766e-17,8.704447385563134e-18,1.2784968829171766e-17,4.080521443608633e-18,1.5673799802906776e-17,2.3504296661764654e-17,5.954556180500961e-18,de4774412994b7bce0f32671de39affe2ded40f5074882527293df2e4f9c3e75,4345029f97135241946db6f8343410d1474582d3794fb531c3e16324de252ff2,0.0001,0,3000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,9.64061626134799e-16,9.640616261347989e-18,9.146587337610833e-18,8.057924252541528e-18,1.0724529117886338e-17,2.66660486534481e-18,1.2902509271870371e-17,1.727257150627807e-17,5.763491784629236e-18,a2504ec4d20467287c8ffe7efb9af95148999619a5259f45d962d45740dae6a2,b4ab5fca7e0ea1d4673b3ed6d93d9550f1ff0677f1d47522930e0460f4748776,0.0001,0,5000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,9.23834618503821e-16,9.23834618503821e-18,8.740537954659866e-18,7.548650105359542e-18,1.0414199455502389e-17,2.8655493501428475e-18,1.2317294697669783e-17,1.9777462669161485e-17,4.587971883937185e-18,bb3c1a7067944803d9ecfe90f7d638781a08a7afe2e7aec030d528ac4bb69a48,1c73f75f893cba346ade208c7a9bc6d64493e3c1b15aee8f7efe06ea2fb06c03,0.0001,0,7500,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,memit,100,1.0805993487279657e-15,1.0805993487279657e-17,9.325742243408802e-18,7.540862882428033e-18,1.3453531078340287e-17,5.912668195912254e-18,1.78116845100573e-17,2.2788491394601156e-17,2.449805988231562e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,10000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,7.140785792753579e-16,7.140785792753579e-18,6.969509880736239e-18,6.379265042271394e-18,7.793062398412853e-18,1.4137973561414585e-18,8.776282760681954e-18,1.0677150685487009e-17,4.894380087475552e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,0,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,7.140785792753579e-16,7.140785792753579e-18,6.969509880736239e-18,6.379265042271394e-18,7.793062398412853e-18,1.4137973561414585e-18,8.776282760681954e-18,1.0677150685487009e-17,4.894380087475552e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,0,RESET_CACHE
