endpoint,metric,field,count,mean,median,p90,max
W0,RS,new_nll,100,11.743399815559387,11.79481029510498,16.157984352111818,21.156511306762695
W0,RS,true_nll,100,4.899286127600353,4.4117772579193115,9.811372756958011,15.272222518920898
W0,PS,new_nll,200,10.184145704507827,10.168671607971191,14.70674695968628,18.51066780090332
W0,PS,true_nll,200,5.0115117009449754,4.745974779129028,9.87364692687988,18.12644386291504
W0,NS,new_nll,1000,11.70286667406559,11.753241062164307,16.330908966064452,23.890657424926758
W0,NS,true_nll,1000,5.548877082152117,5.327502965927124,10.79243278503418,19.437692642211914
NATIVE,RS,new_nll,100,0.002291601098913816,0.0014981128624640405,0.004485731059685359,0.01898849941790104
NATIVE,RS,true_nll,100,14.692438974380494,14.731548309326172,19.80002841949463,25.39798927307129
NATIVE,PS,new_nll,200,1.6111701481361524,0.3366415351629257,4.73203330039978,11.463848114013672
NATIVE,PS,true_nll,200,9.99066817075014,9.715697288513184,15.009114933013915,22.265443801879883
NATIVE,NS,new_nll,1000,11.146550103770103,11.162758827209473,15.984956836700439,23.540735244750977
NATIVE,NS,true_nll,1000,5.5176151542666485,5.284771919250488,10.677275943756104,18.833728790283203
