batch,population,D,denominator,forwards,backwards,input_tokens,scored_tokens,teacher_reads
5,Dev128_OBSERVER,0.012101216190785635,128,128,0,32896,16384,128
10,Dev128_OBSERVER,0.026310416924388846,128,128,0,32896,16384,128
