batch,native_targets,native_solves,native_key_calls,actual_Adam,loss_evaluations,inner_history,final_history,native_seconds,z_seconds,native_keys_seconds,readout_seconds,solve_seconds,map_seconds,screen_seconds,history_seconds,selected_evaluation_seconds,current_gradient_total,current_gradient_FB,S64_gradient_total,S64_gradient_FB,S64_teacher_read,current_gradient_forwards,current_gradient_backwards,current_gradient_input_tokens,current_gradient_scored_tokens,S64_gradient_forwards,S64_gradient_backwards,S64_gradient_scored_tokens,corrected_candidate_forward_current,corrected_candidate_forward_S64,pure_writer,checkpoint_IO,peak_GPU_allocated
1,100,1,1,2400,2500,0,1,293.68748414702713,274.10804914403707,4.219342427328229,0.629750270396471,0.15484296716749668,0.31429979018867016,77.11858901847154,14.679875661619008,23.22247986588627,1.1542476285248995,NOT_SEPARATELY_TIMED,15.60161504149437,12.35357960127294,3.1979373516514897,7,7,865,101,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
2,100,1,1,2400,2500,0,1,301.73613936733454,286.5322737665847,3.5991982147097588,0.3781111538410187,0.11943057924509048,0.37377299927175045,75.19097285252064,13.996191777288914,43.381260024383664,0.9837075071409345,NOT_SEPARATELY_TIMED,14.452369055710733,12.360854344442487,2.035885193385184,7,7,915,102,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
3,100,1,1,2400,2500,0,1,292.703783265315,277.37528459355235,3.6521307602524757,0.4376332676038146,0.11939476616680622,0.37719061225652695,74.49497775547206,14.135925057344139,58.2761249197647,0.974095712415874,NOT_SEPARATELY_TIMED,14.4837237149477,12.332416047342122,2.0952034760266542,7,7,881,102,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
4,100,1,1,2400,2500,0,1,298.254144044593,283.80151141714305,3.662071581929922,0.4347945675253868,0.11936921533197165,0.31432365719228983,66.57813392113894,12.050382883287966,74.33432024624199,0.9666468137875199,NOT_SEPARATELY_TIMED,14.430135321803391,12.335096293129027,2.045861774124205,7,7,882,101,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
5,100,1,1,2400,2500,0,1,292.34303683042526,277.4407648611814,3.7366123972460628,0.43472063541412354,0.11943709850311279,0.31403675861656666,76.59436281677336,14.21539778728038,196.12323978543282,0.9802592601627111,NOT_SEPARATELY_TIMED,14.533744102343917,12.325273591093719,2.153625773265958,7,7,878,101,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
6,100,1,1,2400,2500,0,1,298.8285245317966,283.2045762343332,3.8083954891189933,0.4348677583038807,0.11934684496372938,0.3130747489631176,75.34465149790049,14.39618641231209,105.12364924605936,0.9818700142204762,NOT_SEPARATELY_TIMED,14.455238847993314,12.353948042728007,2.0473518753424287,7,7,901,104,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
7,100,1,1,2400,2500,0,1,297.94846881181,281.70769987255335,3.778455385938287,0.43493869062513113,0.11938898637890816,0.3134774900972843,73.97199474554509,14.786105774343014,120.49011507444084,1.0479879193007946,NOT_SEPARATELY_TIMED,35.597683841362596,12.389458775520325,23.150446681305766,7,7,914,101,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
8,100,1,1,2400,2500,0,1,297.5052446164191,281.9799206862226,3.8574261125177145,0.49985432159155607,0.11944822501391172,0.3597309719771147,73.6598943118006,14.718818987719715,136.84780831169337,1.011372696608305,NOT_SEPARATELY_TIMED,14.496392318047583,12.318288307636976,2.12261266913265,7,7,905,102,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
9,100,1,1,2400,2500,0,1,288.8023343719542,273.25227594189346,3.482916636392474,0.3785178894177079,0.1193769983947277,0.31689915992319584,76.04245807789266,14.476613440550864,152.12284947745502,0.9718466214835644,NOT_SEPARATELY_TIMED,14.565312374383211,12.329615105874836,2.1785812629386783,7,7,860,100,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
10,100,1,1,2400,2500,0,1,294.9604618335143,279.24146898742765,3.7790208822116256,0.47913972567766905,0.11937785521149635,0.315054127946496,74.8450178867206,14.442319491878152,352.13740614801645,1.093202481046319,NOT_SEPARATELY_TIMED,16.821837016381323,12.361377014778554,4.407022719271481,7,7,891,101,64,64,8192,21,192,NOT_SEPARATED,NOT_SEPARATELY_TIMED,38208243200
