batch,candidate,called,duplicate_of,finite,trust_valid,E,E_minus_RAW,D64,D64_minus_RAW,strict_count,RAW_strict_lost,feasible,selected,actual_correction_norm,reason
1,RAW,True,,True,True,0.002287666152260499,0.0,0.0015781786939896847,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
1,C1,True,,True,True,0.002287652181839803,-1.3970420696153563e-08,0.0015741323738325264,-4.046320157158334e-06,100,0,True,True,0.0006551064104241197,FINITE_EXACT_QUALITY_FEASIBLE
1,C05,True,,True,True,0.002287680976296542,1.482403604296384e-08,0.0015761504906208756,-2.028203368809045e-06,100,0,False,False,0.0003275575529307783,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
1,C025,True,,True,True,0.002287655268009985,-1.0884250514330701e-08,0.001577169790834887,-1.0089031547977356e-06,100,0,True,False,0.00016378736115470985,FINITE_EXACT_QUALITY_FEASIBLE
2,RAW,True,,True,True,0.005383443928294583,0.0,0.0036145931771329742,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
2,C1,True,,True,True,0.005383479854499456,3.5926204873006073e-08,0.0036050201345005917,-9.573042632382567e-06,100,0,False,False,0.0010418315634986369,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
2,C05,True,,True,True,0.005383432866365183,-1.1061929399390491e-08,0.003609805245048392,-4.78793208458228e-06,100,0,True,True,0.000520918549525139,FINITE_EXACT_QUALITY_FEASIBLE
2,C025,True,,True,True,0.005383424560423009,-1.936787157388875e-08,0.003612195420146236,-2.3977569867383863e-06,100,0,True,False,0.000260464701338507,FINITE_EXACT_QUALITY_FEASIBLE
3,RAW,True,,True,True,0.0015892918577446835,0.0,0.005858019608695031,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
3,C1,True,,True,True,0.001589285595327965,-6.2624167184409385e-09,0.005844112609565855,-1.3906999129176256e-05,100,0,True,True,0.0012853797404913196,FINITE_EXACT_QUALITY_FEASIBLE
3,C05,True,,True,True,0.0015892875088320579,-4.348912625634291e-09,0.0058510640665190294,-6.955542176001472e-06,100,0,True,False,0.0006426919627426738,FINITE_EXACT_QUALITY_FEASIBLE
3,C025,True,,True,True,0.001589294065051945,2.2073072614495204e-09,0.005854544060753142,-3.47554794188909e-06,100,0,False,False,0.00032135047709894865,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
4,RAW,True,,True,True,0.0013064281209153705,0.0,0.008212091013888312,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
4,C1,True,,True,True,0.0013064307575768907,2.6366615201930954e-09,0.00818726146849258,-2.4829545395732566e-05,100,0,False,False,0.0017108101112048987,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
4,C05,True,,True,True,0.0013064235025740346,-4.618341335879336e-09,0.0081996533142501,-1.2437699638212507e-05,100,0,True,True,0.0008554073726145597,FINITE_EXACT_QUALITY_FEASIBLE
4,C025,True,,True,True,0.0013064335695889895,5.448673619061484e-09,0.00820584359962595,-6.247414262361417e-06,100,0,False,False,0.0004277068673851706,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
5,RAW,True,,True,True,0.0015447625856904778,0.0,0.01030052469968723,0.0,100,0,True,True,0.0,FINITE_EXACT_QUALITY_FEASIBLE
5,C1,True,,True,True,0.0015447892995143775,2.6713823899704794e-08,0.010268246767395794,-3.227793229143572e-05,100,0,False,False,0.0019399480670622418,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
5,C05,True,,True,True,0.00154477977877832,1.7193087842315435e-08,0.010284373299555227,-1.615140013200289e-05,100,0,False,False,0.0009699750915291082,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
5,C025,True,,True,True,0.0015447750601742883,1.2474483810503978e-08,0.01029245161714698,-8.073082540249743e-06,100,0,False,False,0.0004849912343156282,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
6,RAW,True,,True,True,0.0019356130384403515,0.0,0.01193354528686541,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
6,C1,True,,True,True,0.0019354469796962802,-1.6605874407125097e-07,0.011907817015071487,-2.572827179392334e-05,100,0,True,True,0.0017657641080235321,FINITE_EXACT_QUALITY_FEASIBLE
6,C05,True,,True,True,0.0019355357246968196,-7.731374353182538e-08,0.01192064263705106,-1.2902649814350298e-05,100,0,True,False,0.0008828836593746699,FINITE_EXACT_QUALITY_FEASIBLE
6,C025,True,,True,True,0.0019355785227526212,-3.451568773025007e-08,0.011927090381959715,-6.4549049056950025e-06,100,0,True,False,0.00044144497201963463,FINITE_EXACT_QUALITY_FEASIBLE
7,RAW,True,,True,True,0.0028046506572900398,0.0,0.01397174706653459,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
7,C1,True,,True,True,0.0028046507031649526,4.5874912809468205e-11,0.01394206926647712,-2.967780005747045e-05,100,0,False,False,0.0018714203161901072,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
7,C05,True,,True,True,0.0028046471961533826,-3.461136657226943e-09,0.013956920851796895,-1.4826214737695409e-05,100,0,True,True,0.0009357120136639726,FINITE_EXACT_QUALITY_FEASIBLE
7,C025,True,,True,True,0.0028046789423206066,2.8285030566864433e-08,0.01396433576792333,-7.411298611259554e-06,100,0,False,False,0.00046785886079721197,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
8,RAW,True,,True,True,0.0016197894379729404,0.0,0.01587227978006922,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
8,C1,True,,True,True,0.0016197758766065818,-1.3561366358659163e-08,0.015841237879158143,-3.104190091107739e-05,100,0,True,True,0.0019190610135407207,FINITE_EXACT_QUALITY_FEASIBLE
8,C05,True,,True,True,0.0016197805920091922,-8.845963748180599e-09,0.01585672555529527,-1.555422477395041e-05,100,0,True,False,0.0009595324165740729,FINITE_EXACT_QUALITY_FEASIBLE
8,C025,True,,True,True,0.001619784710346721,-4.727626219322434e-09,0.015864495962432557,-7.783817636664025e-06,100,0,True,False,0.0004797692897833534,FINITE_EXACT_QUALITY_FEASIBLE
9,RAW,True,,True,True,0.0023295510291791287,0.0,0.01826888483219591,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
9,C1,True,,True,True,0.0023295452821912475,-5.746987881243004e-09,0.018236215508522946,-3.266932367296249e-05,100,0,True,True,0.001991877180336763,FINITE_EXACT_QUALITY_FEASIBLE
9,C05,True,,True,True,0.002329546348701115,-4.680478013843747e-09,0.018252578346164228,-1.6306486031680834e-05,100,0,True,False,0.0009959407846117391,FINITE_EXACT_QUALITY_FEASIBLE
