batch,key,raw_sha,fixture_header_sha,policy_header_sha,shape,dtype,finite,frobenius
1,W4,bf498365eb5c9c88633f4ea07876fcb4ab107afcd346c9ad2a3029aaf003bf02,0a760d14e8a80cad892a19e5e33e6ea1004353ffa885cbc69f875a6f0172dfae,b49f09b15944f803d901d561da5a0df29ed3ee102006a6a398d76b2c4d978c6c,"[4096, 14336]",torch.float32,True,77.78904315024452
1,M4,f1eb1c7dc8c2cbb2b9e12512ebadba32dcbcb8d4ff1e12541c07614c5ed64a11,2edeaba9aa0e7ca6cb4539c52dbb6a56151d8cc45401d732916a908437a1797b,5cb4f5c443e76433c5e87c38c47a8eadb30fc933479d12f6cf0e65c6e0b515e3,"[1, 14336, 14336]",torch.float32,True,96.60863729887826
1,RAW_Vp,124e7a3d6a6ead73785703075dd88022ac1c0e7900dc99c7c1e872bee946810f,e2a584c279634e7d6de0ea99a9d4ab38677d26c4ee502e40c62ee3b519053cf1,cd1b51762e988523642e8f32f2635ae865d09e441f4ed216f18c7fda0293890e,"[4096, 14336]",torch.float32,True,77.78904685100574
1,A,5c2e648d4d4f5dc515d6177f6fef63e08bb557711b127e629b31ed1aeffe3d57,83a94565da40dfcfc2c478af67716d6fc0bbeb4aeced6d4ffe95351e0baf6114,ca4f6b5520ddfb2985ba72bc5c9fde3753b55ee81a6735445613307838ca3ba3,"[100, 14336]",torch.float32,True,3.3289705893140558
2,W4,fb245ae88651e73ab5d7887795f40502557c29d63bd0f686562abc8a6c01c7d2,381b07dec32e85e8e88574cea1e8e7560e16deb115a4c2653ad6b554fb55b1f6,4ae18aa0fff8b6c4bc7a416da8a3268a6d1d56aa68a6a6afb0c8d4f1f8320444,"[4096, 14336]",torch.float32,True,78.16581524886631
2,M4,c77a1802e9410fa1fcb98ef90355a05dfe3dd1a87708f2104364dfbcd8753a3a,30ee1bbd91cd4a17348fc625ef6dd7221b984225366ceaeecfa3065005668bdc,9038ab94f0bd8bde9e747035d237f32813cd63fddd384aa605649c88565be14e,"[1, 14336, 14336]",torch.float32,True,157.60813404863796
2,RAW_Vp,34f7f054cdfad3b0be09a82c081c4effe8c65a366a26c528d4c0187a2ec94f3e,8ea91e5964dd2e6be258505c59e45a73056165e68042c21094a545ce0614074c,04df5097b8b713f6cca5324c602a7a427884e6976136b4c5fb2049a72174b2af,"[4096, 14336]",torch.float32,True,78.16581774485422
2,A,36db2c634be19df768f4d8b68e9c6aaf0a9de67a92c16779f2b4b8e14f98630d,e1c1ec0e6905f15a6fc620015ff36cb4a216514ed34423f97962e240b6259339,1f2a57d0a1ba859037026233dbca8918b376a7fcfb60b5d21125ae1cb80062d1,"[100, 14336]",torch.float32,True,3.3404029267329856
3,W4,61e9bcf19351db422f43f71f11d2b2b4c8356b16e74fd4d03476e1c790846201,0a1c9e40b45fa2046aae12113f7452dacd9edeaae4204307d559eabfc40d0508,febac4cbae5639c2a1c546042308855ec755a462ad5988874efe9485646bbd2b,"[4096, 14336]",torch.float32,True,78.55151717611743
3,M4,6192dc87302d85c54591d9b671b76a637cfa9da402148c219cc63d8ee0735f45,3b01e5922c60cffe1b5c0ebc167512d1152d4b8ebc342374848ae8f2fcfa6efc,6c0ddc97fffa1e902ef6c7b03bc780c0ee2e040a423b8a29805f568d9d66061e,"[1, 14336, 14336]",torch.float32,True,213.89693729405002
3,RAW_Vp,ee683018c0503f1a3e28426b0b99899a3229d33d0ab8c1fdddae51cb2b333dfe,00853e5f98eec05275c7467da57115f081d8be8c6574f0c20213792c3ebc609a,80404ac2a43aba6d1ea493bf00ba5929b6b41c98ef85a15427206749d55593ec,"[4096, 14336]",torch.float32,True,78.55152268503217
3,A,7b6da3fd1622227ad4caf1416ed799380b57d71527b1523ca45f0008a29110aa,684ef2504d0fadea16873082d428abed26e6a10725c5b2560bda6786f9f1fc24,ac1ab7f0d2fa3ea4df2a09ed484ad3ba04634e445a9686ea31162eeec50b836d,"[100, 14336]",torch.float32,True,3.3897440179569074
4,W4,dcd19dbe4a31d4e65ed7cd9cf5b0555d00e7e18a1964dd3e36c6a92f62e08800,e3a0069d16450805e3e4badf4fa7c4fa4f7c839f2d28927725e64c85baadb9fe,7d1dba345775047c44e8edcdc733eade4d72a5b4344ac0d5108d8432808c26c0,"[4096, 14336]",torch.float32,True,78.93233036771412
4,M4,307bcdfc5dad69d3c32f7390a631a04371eaae69a29684cfe53e97e38dd38ba2,b1fbbd8b96f2bd509d0b50bc282efafd2dcc3a359852f22205ba29201634cf5a,b1f5acc87ee6065d90a20328a36586461f4c356b661cb76892796c2f648b0e8f,"[1, 14336, 14336]",torch.float32,True,268.31783677377564
4,RAW_Vp,1a44078487c3159f049c251a2c4b326df7c714032e137725749bf470d7b04c13,8331c1d708e07bd5f416b72d89c4ca7804dbf2217257b00006d662a5d720aa6c,83faa5efa65ad3a25124f8051dfde6a5f24fc14621217725d7761bc7e80fb49a,"[4096, 14336]",torch.float32,True,78.93233315770135
4,A,342d01546f97c55719a8885f9b2d8e551102313fb3f4cc7e01799b4bdc349244,667c4c9978a5834d60859956bdc6b7cfe8a1d099f9c8dd11c2cba0be3105039b,700c819a1a2a4c03999633364739cd68369bdd833f3b6b66fbd8c4ec795167ce,"[100, 14336]",torch.float32,True,3.3878208420912213
5,W4,3cdf33e475935707acfcafe0c8320cf4c7fa2fd0f519d696f040f452c3fff756,47ab264b4b9fa598f6a81d27a7966cc56ce70870595174c51990af9b2be9e63a,eb8a2b03fb279dae81e5b66f2d9721d1eb37bbf42c88d168326ef63b6dac5361,"[4096, 14336]",torch.float32,True,79.31570860094646
