batch,selected,actual_raw_to_selected_norm,recorded_norm,selected_W_norm,M_norm,selected_increment_norm,native_action_recorded,q_cpu,q_recorded,q_abs_difference,ge_norm,gd_norm,header_bridge,GPU_model_parity
1,C1,0.0006551064104241197,0.0006551064104241197,77.78904315024452,96.60863729887826,W0_TENSOR_NOT_LOADED_RECORDED_ONLY,7.610187124377856,-2.1026344278077287e-07,-2.1026344278077292e-07,5.293955920339377e-23,0.026770689735801625,0.0020146166063790575,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
2,C05,0.000520918549525139,0.000520918549525139,78.16581524886631,157.60813404863796,7.716215511535217,7.716240959225081,-4.544465771877477e-06,-4.544465771877477e-06,0.0,0.1503314917950022,0.00309984492256203,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
3,C1,0.0012853797404913196,0.0012853797404913196,78.55151717611743,213.89693729405002,7.84006729527573,7.8401227271865235,-3.222131662468245e-07,-3.222131662468244e-07,1.0587911840678754e-22,0.013135167241026072,0.0037355143202644396,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
4,C05,0.0008554073726145597,0.0008554073726145597,78.93233036771412,268.31783677377564,7.802087432593621,7.802116174271521,-2.732106024004476e-07,-2.7321060240044765e-07,5.293955920339377e-23,0.008020676114973339,0.004993004330763993,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
5,RAW,0.0,0.0,79.31570860094646,325.6381651415997,7.841175442863769,7.84117544297873,-2.2974051838559308e-07,-2.2974051838559308e-07,0.0,0.0056252729170342694,0.005694326312748517,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
6,C1,0.0017657641080235321,0.0017657641080235321,79.73358474888515,380.9960104193468,8.225654958578348,8.2257044858869,1.7034182732878657e-07,1.7034182732878657e-07,0.0,0.012587776456894054,0.005078566213213211,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
7,C05,0.0009357120136639726,0.0009357120136639726,80.15037653772274,433.95928846870225,8.227081515830665,8.227109365428777,-3.5536340268638413e-07,-3.553634026863842e-07,5.293955920339377e-23,0.015143092599935988,0.005456030621428384,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
8,C1,0.0019190610135407207,0.0019190610135407207,80.55645568159603,489.0123850524781,8.14906310324276,8.149114993666952,-2.814268115336394e-07,-2.8142681153363946e-07,5.293955920339377e-23,0.006396412783676591,0.005581313963116223,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
9,C1,0.0019918771803367624,0.001991877180336763,81.0115662791661,542.4109801399092,8.641064013729858,8.641126918653695,-2.4872322200646345e-07,-2.487232220064634e-07,5.293955920339377e-23,0.00907128463831637,0.005716435096894753,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
10,RAW,0.0,0.0,81.46013051426578,596.2058887699453,8.603390473928195,8.603390473986499,-2.38003657843241e-06,-2.38003657843241e-06,0.0,0.15086006131560709,0.006520758151617183,RAW_FIXTURE_POLICY_ALL_SAME_STORED_BYTES,NOT_ESTABLISHED
