arm,from_batch,to_batch,W_M_P_context_RNG_exact,received_exact
N4,1,2,True,True
N4,2,3,True,True
N4,3,4,True,True
N4,4,5,True,True
N4,5,6,True,True
N4,6,7,True,True
N4,7,8,True,True
N4,8,9,True,True
N4,9,10,True,True
REFIT4,1,2,True,True
REFIT4,2,3,True,True
REFIT4,3,4,True,True
REFIT4,4,5,True,True
REFIT4,5,6,True,True
REFIT4,6,7,True,True
REFIT4,7,8,True,True
REFIT4,8,9,True,True
REFIT4,9,10,True,True
L75,1,2,True,True
L75,2,3,True,True
L75,3,4,True,True
L75,4,5,True,True
L75,5,6,True,True
L75,6,7,True,True
L75,7,8,True,True
L75,8,9,True,True
L75,9,10,True,True
T75,1,2,True,True
T75,2,3,True,True
T75,3,4,True,True
T75,4,5,True,True
T75,5,6,True,True
T75,6,7,True,True
T75,7,8,True,True
T75,8,9,True,True
T75,9,10,True,True
L4D,1,2,True,True
L4D,2,3,True,True
L4D,3,4,True,True
L4D,4,5,True,True
L4D,5,6,True,True
L4D,6,7,True,True
L4D,7,8,True,True
L4D,8,9,True,True
L4D,9,10,True,True
LD,1,2,True,True
LD,2,3,True,True
LD,3,4,True,True
LD,4,5,True,True
LD,5,6,True,True
LD,6,7,True,True
LD,7,8,True,True
LD,8,9,True,True
LD,9,10,True,True
TD,1,2,True,True
TD,2,3,True,True
TD,3,4,True,True
TD,4,5,True,True
TD,5,6,True,True
TD,6,7,True,True
TD,7,8,True,True
TD,8,9,True,True
TD,9,10,True,True
