arm,batch,candidate,a4,a8,E,H,D,current_strict,past_strict,action_norm,L8_zero,selected,score_reused_from,E_ceiling,H_ceiling,strict_lost_vs_N4,past_strict_lost_vs_N4,current_new_NLL_mean,current_new_NLL_median,current_new_NLL_p90,current_new_NLL_p95,current_new_NLL_p99,current_new_NLL_min,current_new_NLL_max,new_NLL_vs_ownN4_mean,new_NLL_vs_ownN4_median,new_NLL_vs_ownN4_p90,new_NLL_vs_ownN4_p95,new_NLL_vs_ownN4_p99,new_NLL_vs_ownN4_min,new_NLL_vs_ownN4_max,requests_harmed_vs_ownN4
N4,1,N4,1.0,0.0,0.003404614371538628,,0.0017209079930182725,100,0,7.61165279863614,True,True,,,,0,0,0.0014505088787700516,0.0008624052279628813,0.003005916834808887,0.004103520512580871,0.006732942759990713,6.8662193370983e-05,0.010831019841134548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,2,N4,1.0,0.0,0.026622378780157305,0.0015802247926330892,0.0038239335715388734,100,64,7.71136987798354,True,True,,,,0,0,0.006550880679860711,0.0006678853824269027,0.0024775514379143737,0.007113244524225592,0.1215853514522326,0.00011276562872808427,0.3540442883968353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,3,N4,1.0,0.0,0.0026307728864776434,0.012278749113193044,0.006022348446322212,100,64,7.8385920077260876,True,True,,,,0,0,0.0016508737414551433,0.0006519814196508378,0.00327991561498493,0.006242760340683157,0.009560675388202195,2.3007127310847864e-05,0.033706627786159515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,4,N4,1.0,0.0,0.003918482569279149,0.024522713774786098,0.008421741996926357,100,63,7.8014973235883645,True,True,,,,0,0,0.0013220222789095714,0.0007687234319746494,0.002712137438356882,0.004883272526785731,0.009172180257737646,8.928377064876258e-05,0.010783258825540543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,5,N4,1.0,0.0,0.012849908573552966,0.032335318147602266,0.010314425840761032,100,63,7.824510436564866,True,True,,,,0,0,0.0014804163601365872,0.0009017691772896796,0.002485183160752058,0.003393565770238638,0.0118661777116359,6.246371776796877e-05,0.02577628381550312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,6,N4,1.0,0.0,0.0024117284012027083,0.03278846723253537,0.012474029073018755,100,63,8.213161757253289,True,True,,,,0,0,0.0011558585344755557,0.0007030875713098794,0.002838024520315231,0.0033993373974226405,0.005273390552029033,7.4741430580616e-05,0.008997846394777298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,7,N4,1.0,0.0,0.004654217146162409,0.03582400399386643,0.014935928673367016,100,63,8.211082227704994,True,True,,,,0,0,0.0021151891891258855,0.000767293997341767,0.0036573453573510092,0.00535176387056708,0.010083621926606017,9.417489309271332e-06,0.07097778469324112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,8,N4,1.0,0.0,0.001981715756119229,0.0459460568600889,0.016842210480717767,100,63,8.135063794196299,True,True,,,,0,0,0.0012872697522652743,0.000777061766711995,0.002948022494092585,0.004279659083113071,0.007024810034781696,1.156323378381785e-05,0.00736285001039505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,9,N4,1.0,0.0,0.003784382830854156,0.06089393641013885,0.01877682717577045,100,63,8.633953693329415,True,True,,,,0,0,0.0020751445917994715,0.0007787889917381108,0.0038822986418381353,0.006868870230391618,0.02402552453801041,3.45700973412022e-05,0.03385714441537857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,10,N4,1.0,0.0,0.0246290294676146,0.04731072307913564,0.021280895331074134,99,63,8.59634070037267,True,True,,,,0,0,0.02154319377776119,0.001082549395505339,0.003805076098069553,0.006553407479077575,0.03876571267844249,3.218599158572033e-05,1.9790524244308472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
REFIT4,1,REFIT4,0.75,0.0,0.0112073150408105,,0.0018378508228238388,100,0,8.168250888204438,True,True,,,,,,0.005801472827515681,0.0022195292403921485,0.013671184610575442,0.02037165602669119,0.052807312086224675,7.271502545336261e-05,0.07598032057285309,,,,,,,,
REFIT4,2,REFIT4,0.75,0.0,0.012654742470185738,0.006537405304698041,0.004219911716973002,100,64,7.835088442287814,True,True,,,,,,0.007668714359824662,0.002910544164478779,0.016682069934904575,0.02353539457544683,0.06838577575981646,8.356221951544285e-05,0.12358053773641586,,,,,,,,
REFIT4,3,REFIT4,0.75,0.0,0.009953513321088394,0.00551365914282087,0.0059599665278256,100,64,7.255173319934335,True,True,,,,,,0.004759113789277763,0.0022094257874414325,0.009858946502208712,0.014542314177379011,0.021744529474527034,1.585470999998506e-05,0.09722655266523361,,,,,,,,
REFIT4,4,REFIT4,0.75,0.0,0.009690884022274986,0.005563437546129535,0.007944797201275833,100,64,6.979013106055374,True,True,,,,,,0.005664107616248657,0.0028027318185195327,0.014918640628457084,0.01985664628446102,0.02327190000563863,7.462222856702283e-05,0.02933838590979576,,,,,,,,
REFIT4,5,REFIT4,0.75,0.0,0.011320515932020499,0.005705943409566316,0.00937087927900393,100,64,6.719953598086604,True,True,,,,,,0.009808167159862933,0.003968100994825363,0.022956223227083697,0.03195278011262416,0.09029163010418431,4.362964682513848e-05,0.12130024284124374,,,,,,,,
REFIT4,6,REFIT4,0.75,0.0,0.009562592200672952,0.006917253321262251,0.011038594578167249,100,64,7.050060121561578,True,True,,,,,,0.006234947905832087,0.0032445869874209166,0.012230479530990126,0.016997372265905135,0.051173433922231316,4.577531944960356e-05,0.07393123209476471,,,,,,,,
REFIT4,7,REFIT4,0.75,0.0,0.009350892205402488,0.00722391788076493,0.012678923266321362,100,64,7.4356509647032665,True,True,,,,,,0.006638870876795409,0.0020452074240893126,0.016644004546105876,0.023727223835885523,0.06781066007912186,2.7417760065873154e-05,0.11929251253604889,,,,,,,,
REFIT4,8,REFIT4,0.75,0.0,0.008647304433980025,0.008699131130015303,0.01417846468211792,100,64,7.476801653159684,True,True,,,,,,0.007329304293016321,0.0037140928907319903,0.015909781865775602,0.02522380445152519,0.041075018867850636,8.201262971851975e-05,0.10602778196334839,,,,,,,,
REFIT4,9,REFIT4,0.75,0.0,0.00851686133275507,0.010028783044390366,0.016030613787734183,100,64,7.388864310054648,True,True,,,,,,0.008903995623877564,0.0031524625374004245,0.020011575892567635,0.026167194359004484,0.05800316110253419,5.280832192511298e-05,0.2214883267879486,,,,,,,,
REFIT4,10,REFIT4,0.75,0.0,0.011102676214650274,0.008380324551922058,0.017939165220241193,100,64,7.459725796438616,True,True,,,,,,0.007819018503214465,0.003397884196601808,0.023880601674318314,0.027695736661553366,0.06541086450219157,8.701899787411094e-05,0.06914214044809341,,,,,,,,
L75,1,L0.75-1,0.75,1.0,0.010280911758527508,,0.002032699220990253,100,0,9.344629620479056,False,True,,,,,,0.005857807467255043,0.0022188823204487562,0.012999134510755541,0.02318780040368437,0.0445886899158361,3.015949550899677e-05,0.09160242974758148,,,,,,,,
