arm,history,E_forward_groups,S64_forward_docs,S64_scored_tokens,canonical_current_forward_groups,Past_forward_groups,target_calls,solve,candidate_declared,candidate_distinct,local_Adam,local_loss,training_E_seconds,S64_seconds,teacher_stream_seconds,canonical_current_seconds,Past_seconds,compute_z_seconds,compute_ks_seconds,get_module_input_output_at_words_seconds,solve_seconds,program_seconds,peak_GPU_allocated_bytes,peak_GPU_reserved_bytes,peak_host_RSS_KiB,candidate_scoring_inclusive,entry_observer_inclusive,history_finalization_inclusive,proposal_inclusive_inclusive,selected_observer_inclusive,state_IO_inclusive,local_native_fit_runtime,model_load_runtime,projector_load_runtime,nested_time_sum_forbidden
N4,10,1000,640,81920,70,36,1000,10,10,10,24000,25000,64.94151227548718,109.5054839104414,38.02264277730137,5.462223953567445,3.1713422061875463,2791.120361189358,37.580901137553155,4.559155751951039,1.2263489356264472,5999.351203652099,35950659072,43786436608,34549536,1129.4553255466744,352.0267284633592,141.19465370848775,3344.33480842039,643.6180139817297,47.28771334886551,2940.588694619946,16.829799914732575,8.412736472673714,True
REFIT4,10,1000,640,81920,70,36,2000,20,10,10,27864,29864,65.34081820957363,172.37700138706714,99.45564271695912,5.554382713511586,3.271572843194008,3336.653456236236,75.28243968915194,9.139074583537877,2.4387294640764594,7375.143102972768,35950659072,43786436608,34547488,1264.9155224226415,364.0025592632592,146.6820234740153,4303.71495803725,888.0076765976846,48.75419810041785,3657.812655210495,17.842996616847813,8.653855316340923,True
L75,20,1000,640,81920,70,36,2000,20,10,10,27756,29756,65.10055258125067,96.7060104161501,25.02405851893127,5.497677573934197,3.171825360506773,3278.428813898936,75.3501756452024,9.148630822077394,2.4259981401264668,6745.863741531037,35950659072,43786436608,34547940,1038.4550365917385,340.75177676044405,270.2482811389491,4125.639302850701,611.7857670998201,43.750737586058676,3563.8920380696654,14.549236224964261,7.343304553069174,True
T75,20,1000,640,81920,70,36,1000,20,10,10,0,0,65.52324136346579,191.8799767382443,118.99003005307168,5.572318963706493,3.2740158420056105,0,0,0,0,7093.613020384684,35712303616,43782242304,34546696,1436.8494059415534,355.44590241927654,329.8767893947661,3792.5468187546358,751.6513220192865,61.19600052013993,,14.37285092100501,6.62552834674716,True
L4D,10,2000,1280,163840,140,72,1000,10,20,20,24000,25000,129.99273276049644,195.7416170220822,52.72750096954405,10.941802827641368,6.3594534154981375,2793.396875411272,37.70049462188035,4.572571778669953,1.2334631998091936,6685.782785478048,35950659072,43786436608,34548280,1906.360287565738,339.3561206916347,133.48268645629287,3336.582246946171,619.52141281683,44.62269547022879,2936.5437650568783,12.543974915519357,6.108845455572009,True
LD,20,6000,3840,491520,420,216,3000,30,60,60,28584,31584,392.4461241811514,2188.8514626268297,1752.3677274603397,33.36393250897527,19.88212901353836,3457.550206764601,112.97275604959577,13.720208643004298,3.625657308846712,15210.345373326913,35950659072,43786436608,34546268,8419.784346187487,355.4429550943896,318.9291549110785,4978.8568520909175,709.4648702777922,63.5366360777989,3940.8781051356345,13.712453467771411,7.99327377974987,True
TD,20,7000,4480,573440,490,252,2000,40,70,70,24000,25000,455.129112130031,1752.0804969016463,1243.2071198839694,38.398019838146865,22.875050253234804,2808.809357298538,37.51155377924442,4.543372408486903,1.230743401683867,18497.788865180686,35950659072,43786436608,34546960,8900.245860915631,357.0725106699392,280.5791909303516,7630.130156791769,916.1086071338505,66.7244806131348,2961.4122852105647,14.49740209709853,8.715900377370417,True
