arm,batch,target_calls,Adam,loss,early_stop,zero_step,clamp_hits
N4,1,100,2400,2500,0,0,NOT_RECORDED
N4,2,100,2400,2500,0,0,NOT_RECORDED
N4,3,100,2400,2500,0,0,NOT_RECORDED
N4,4,100,2400,2500,0,0,NOT_RECORDED
N4,5,100,2400,2500,0,0,NOT_RECORDED
N4,6,100,2400,2500,0,0,NOT_RECORDED
N4,7,100,2400,2500,0,0,NOT_RECORDED
N4,8,100,2400,2500,0,0,NOT_RECORDED
N4,9,100,2400,2500,0,0,NOT_RECORDED
N4,10,100,2400,2500,0,0,NOT_RECORDED
REFIT4,1,200,3264,3464,64,64,NOT_RECORDED
REFIT4,2,200,3048,3248,73,73,NOT_RECORDED
REFIT4,3,200,2856,3056,81,81,NOT_RECORDED
REFIT4,4,200,2664,2864,89,89,NOT_RECORDED
REFIT4,5,200,2616,2816,91,91,NOT_RECORDED
REFIT4,6,200,2592,2792,92,92,NOT_RECORDED
REFIT4,7,200,2808,3008,83,83,NOT_RECORDED
REFIT4,8,200,2808,3008,83,83,NOT_RECORDED
REFIT4,9,200,2592,2792,92,92,NOT_RECORDED
REFIT4,10,200,2616,2816,91,91,NOT_RECORDED
L75,1,200,3264,3464,64,64,NOT_RECORDED
L75,2,200,2928,3128,78,78,NOT_RECORDED
L75,3,200,2736,2936,86,86,NOT_RECORDED
L75,4,200,2688,2888,88,88,NOT_RECORDED
L75,5,200,2664,2864,89,89,NOT_RECORDED
L75,6,200,2640,2840,90,90,NOT_RECORDED
L75,7,200,2688,2888,88,88,NOT_RECORDED
L75,8,200,2712,2912,87,87,NOT_RECORDED
L75,9,200,2709,2909,88,87,NOT_RECORDED
L75,10,200,2727,2927,87,86,NOT_RECORDED
T75,1,100,2400,2500,0,0,NOT_RECORDED
T75,2,100,2394,2494,1,0,NOT_RECORDED
T75,3,100,2385,2485,2,0,NOT_RECORDED
T75,4,100,2380,2480,3,0,NOT_RECORDED
T75,5,100,2331,2431,7,0,NOT_RECORDED
T75,6,100,2347,2447,8,0,NOT_RECORDED
T75,7,100,2346,2446,6,0,NOT_RECORDED
T75,8,100,2311,2411,9,0,NOT_RECORDED
T75,9,100,2260,2360,17,0,NOT_RECORDED
T75,10,100,2305,2405,9,0,NOT_RECORDED
L4D,1,100,2400,2500,0,0,NOT_RECORDED
L4D,2,100,2400,2500,0,0,NOT_RECORDED
L4D,3,100,2400,2500,0,0,NOT_RECORDED
L4D,4,100,2400,2500,0,0,NOT_RECORDED
L4D,5,100,2400,2500,0,0,NOT_RECORDED
L4D,6,100,2400,2500,0,0,NOT_RECORDED
L4D,7,100,2400,2500,0,0,NOT_RECORDED
L4D,8,100,2400,2500,0,0,NOT_RECORDED
L4D,9,100,2400,2500,0,0,NOT_RECORDED
L4D,10,100,2400,2500,0,0,NOT_RECORDED
LD,1,300,3264,3564,164,164,NOT_RECORDED
LD,2,300,3048,3348,173,173,NOT_RECORDED
LD,3,300,2928,3228,178,178,NOT_RECORDED
LD,4,300,2784,3084,184,184,NOT_RECORDED
LD,5,300,2712,3012,187,187,NOT_RECORDED
LD,6,300,2664,2964,189,189,NOT_RECORDED
LD,7,300,2832,3132,182,182,NOT_RECORDED
LD,8,300,2712,3012,187,187,NOT_RECORDED
LD,9,300,2688,2988,188,188,NOT_RECORDED
LD,10,300,2952,3252,177,177,NOT_RECORDED
TD,1,200,4800,5000,0,0,NOT_RECORDED
TD,2,200,4800,5000,0,0,NOT_RECORDED
TD,3,200,4800,5000,0,0,NOT_RECORDED
TD,4,200,4800,5000,0,0,NOT_RECORDED
TD,5,200,4800,5000,0,0,NOT_RECORDED
TD,6,200,4800,5000,0,0,NOT_RECORDED
TD,7,200,4800,5000,0,0,NOT_RECORDED
TD,8,200,4800,5000,0,0,NOT_RECORDED
TD,9,200,4800,5000,0,0,NOT_RECORDED
TD,10,200,4800,5000,0,0,NOT_RECORDED
