arm,batch,fit,writer_layer,readout_layer,residual_exact_Z8_minus_current_H8,Z8_norm,H8_norm,residual_norm,terminal_key_readout_solve_inclusive_seconds,input_state_hash
T75,1,terminal4,4,8,True,75.28704071044922,61.214263916015625,45.910736083984375,24.20116311404854,7df16a68071248a93f60b6616c0e395b9bc0d6b3811d49a802262862bb63c289
T75,1,terminal8-a4-0.75,8,8,True,75.28704071044922,57.16730499267578,53.38577651977539,23.73037673905492,b4a402526aef04c7a84f56f689a7ef61d19c576637f27683d1250dc41683d7c0
T75,2,terminal4,4,8,True,81.8502197265625,65.6788558959961,49.25920486450195,19.78199017699808,41a977b1c08f03000cb032a37cecd8df89cba295f3b9054be9534674ee60b9b8
T75,2,terminal8-a4-0.75,8,8,True,81.8502197265625,62.979042053222656,54.505897521972656,20.91447523329407,9325828535b1cf6a6aaaf8f360c60eaf16744aceabcda7ba7ea42243dd469c17
T75,3,terminal4,4,8,True,85.36680603027344,68.03311920166016,51.02490997314453,24.849936003796756,1d8b41770113cf555c014917b7733e5fa6e6807d7df1a444ccb8bfcc6a7f6492
T75,3,terminal8-a4-0.75,8,8,True,85.36680603027344,67.85671997070312,53.92305374145508,24.859024883247912,c853e8acc4a97780ce673ec938fcf1cce64014bd4fa0d4dc2ca3cd5465db967e
T75,4,terminal4,4,8,True,86.84567260742188,69.15743255615234,51.868064880371094,25.153682094067335,c3368ebbc8974f238d9e6b14a0a0d669afad57f7eb7d064945919f74325f1e73
T75,4,terminal8-a4-0.75,8,8,True,86.84567260742188,70.35814666748047,54.84428405761719,24.395900101400912,bc5e7569c730e16a65e76c73c3d95660bdc966e5c519a7f404046e47dd9a7351
T75,5,terminal4,4,8,True,89.693603515625,71.53128051757812,53.648521423339844,23.94040495995432,2fc874bd7e5f58c2cf11b09506411b258825fb1b30b3804ad93ea5137467675e
T75,5,terminal8-a4-0.75,8,8,True,89.693603515625,72.01348876953125,54.942256927490234,24.228121974505484,026698883fe65b96cc470d31e45a85cb696411048b4f2137b56343c980068f15
T75,6,terminal4,4,8,True,91.58885955810547,72.88440704345703,54.663475036621094,24.50919333100319,43cc546e168a514588aefbbf71316c9de9d9c8768bdd8b5a2f15ddda391bf0f1
T75,6,terminal8-a4-0.75,8,8,True,91.58885955810547,73.6067123413086,53.64805603027344,24.964042564854026,d53342db22afb3894400f6cfcf27c45d2b6e019b23708b5fff77248ace6b0eff
T75,7,terminal4,4,8,True,91.06854248046875,72.35118865966797,54.263526916503906,25.225969512946904,8f4d02188f5beb0e7950a6ec7f94d27f6b89dd076372b5fdc7ce70b9f5ddb233
T75,7,terminal8-a4-0.75,8,8,True,91.06854248046875,74.22199249267578,53.50361251831055,24.264378203079104,238b784b45b34ff63ef3e8e0bf049c6b30752085c1f14db33a887aa7d9da299d
T75,8,terminal4,4,8,True,93.94418334960938,74.70457458496094,56.02861022949219,26.761228541843593,35dc73a7fbb9b31ca6a029399fc015b6262bbe7c2dface672ecde20a1d591217
T75,8,terminal8-a4-0.75,8,8,True,93.94418334960938,76.69883728027344,54.95616912841797,25.123477190732956,2666c02be3745c099972dc1edc0138b0f007b9f3d087aff1e5939b463dbd7ebe
T75,9,terminal4,4,8,True,95.7020034790039,75.90309143066406,56.92744445800781,25.207045153714716,7ff2b747e2a7f1fced28251f73b3bbb6e83cca60277e7ced445311d7bb676135
T75,9,terminal8-a4-0.75,8,8,True,95.7020034790039,77.8515853881836,55.00615310668945,36.55005437042564,6b3ecf7d60531dec9f7e23d6091df3a3d7324f807064320516e60020818dc3d3
T75,10,terminal4,4,8,True,94.57097625732422,75.08808898925781,56.31618881225586,25.452212802134454,631a3885ff30288f9ee8a95ff935407d56c90db0a623dd673b098aac2d6e09d2
T75,10,terminal8-a4-0.75,8,8,True,94.57097625732422,77.4436264038086,53.473934173583984,26.656118301674724,6e283e5d262385358e2b0cbc3ae068e5f076867a5ccc7e0991392bafb87fdf09
TD,1,terminal4,4,8,True,75.28704071044922,61.214263916015625,45.910736083984375,24.11584897339344,7df16a68071248a93f60b6616c0e395b9bc0d6b3811d49a802262862bb63c289
TD,1,terminal8-a4-0.75,8,8,True,75.28704071044922,57.16730499267578,53.38577651977539,24.601274619810283,b4a402526aef04c7a84f56f689a7ef61d19c576637f27683d1250dc41683d7c0
TD,1,terminal8-a4-1,8,8,True,75.28704071044922,58.720069885253906,56.427310943603516,24.108781934715807,f0fbe12db74f3c1e01a17e68f16a34272fc5d6cbb540f6ac9908ccbb74caba4a
TD,2,terminal4,4,8,True,72.89476776123047,58.842952728271484,44.13230514526367,24.17084035091102,dcf4ded89f00697a27f18328c5cd58141cf5d3e4cd48b58eec48fb6cda2431a5
TD,2,terminal8-a4-0.75,8,8,True,72.89476776123047,56.21401596069336,51.54780960083008,23.72917049564421,1d654ca2ffd6830f52b7a1982e977b141c961a563b41e2e17b9b3aacbd7ceac5
TD,2,terminal8-a4-1,8,8,True,72.89476776123047,57.87369155883789,54.906925201416016,23.973904059268534,7eb21252ccde5d772f521ff65560d0c70f4db0e066ef9f471c309e8b5a98169a
TD,3,terminal4,4,8,True,71.34748840332031,57.287288665771484,42.96554946899414,24.43858283292502,7a1ae48e55ee89268fe9d5b5baf56f13d3f05db2b2adef1aa0713719a112ddd1
TD,3,terminal8-a4-0.75,8,8,True,71.34748840332031,57.024085998535156,49.95964813232422,24.48786125611514,4d209df8dee61e5b9f2c0bfc5a31fe16cacee59dbd53b4f0b30cb1728052f667
TD,3,terminal8-a4-1,8,8,True,71.34748840332031,58.842247009277344,52.965267181396484,23.68408005218953,82a89f50cabad879348052daf84c71c69d1dd4450632612527389009406b3f57
TD,4,terminal4,4,8,True,70.298583984375,56.451271057128906,42.33852005004883,24.04861473478377,b14525a1354a6e8a47a4085b391b56c6e097d3cfe92d2045be89e1b4a276f816
