arm,batch,state,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator
N4,1,entry,NS,886,1000,88.6,0,171,200,1030,11.702866309762001,11.753228187561035,16.330905532836915,17.844212245941154,20.694358615875245,1.4505696296691895,23.890642166137695,5.548876543793653,5.327509164810181,10.792420768737793,12.224353837966918,15.0020481300354,0.0006337541271932423,19.437641143798828,6.1539897659683485,6.283679723739624,12.643171024322509,14.603695090115068,17.407033039331434,-7.564944267272949,19.776073440909386,,
N4,1,entry,PS,20,200,10.0,0,0,0,202,10.184146780967712,10.16865348815918,14.706744194030762,15.584749317169189,18.057230358123775,2.29310941696167,18.510713577270508,5.011512103741989,4.745984792709351,9.873660755157468,11.626846599578851,13.519330320358273,0.015909049659967422,18.12643814086914,-5.172634677225724,-5.06204891204834,-0.02309870719910198,2.190676355361932,6.111190600395202,-18.461957179009914,8.01390027999878,0,100
N4,1,entry,RS,5,100,5.0,0,0,0,101,11.743398172855377,11.794809341430664,16.157980155944827,17.85722961425781,20.54955348968506,2.6649434566497803,21.15650177001953,4.899285252303816,4.411774158477783,9.811361503601077,12.17257852554321,14.300750102996831,0.0032719431910663843,15.272205352783203,-6.844112920551561,-6.767649173736572,-1.4714363098144525,-0.6172097682952927,3.8515192222595243,-19.781265690922737,4.406447410583496,,
N4,1,selected,NS,865,1000,86.5,0,160,190,1030,11.133724765693536,11.104583740234375,15.948259830474854,17.2749960899353,20.17293081283569,0.002092316746711731,23.542463302612305,5.526177989302028,5.322661638259888,10.662451839447021,12.1157244682312,14.517468338012694,0.0007858763565309346,18.67910385131836,5.607546776391508,5.614887028932571,12.256295767426492,13.982353086210786,16.518053651452064,-12.937066122889519,19.899939574301243,,
N4,1,selected,PS,194,200,97.0,0,125,127,202,1.6400640051125084,0.3955034166574478,5.044349241256713,6.829371380805961,9.776966915130611,0.0004923323867842555,10.714134216308594,10.153915958404541,10.02016544342041,15.388942813873289,17.06114339828491,19.595753707885738,0.8843942880630493,21.306928634643555,8.513851953292033,8.348864717409015,15.08514501331374,16.832523868849965,19.594074323917734,-5.414586901664734,21.037090569734573,44,100
N4,1,selected,RS,100,100,100.0,0,100,101,101,0.0014505088787700516,0.0008624052279628813,0.003005916834808887,0.004103520512580871,0.006732942759990713,6.8662193370983e-05,0.010831019841134548,15.203706488609313,15.342006206512451,20.198003196716314,21.524964427948,25.840298042297373,4.724857807159424,27.617387771606445,15.202255979730545,15.34120729303686,20.197546068267552,21.524486787123898,25.838240918931852,4.72220047051087,27.617319109413074,,
N4,2,entry,NS,881,1000,88.1,0,186,196,1010,11.04870445394516,10.940295696258545,15.794180583953858,16.927821350097656,18.644108085632325,0.674769401550293,22.007766723632812,4.9906412647319955,4.560280084609985,10.083571434020998,11.886250114440914,14.846976976394652,0.0010901705827564,17.886899948120117,6.058063189213164,6.518204092979431,12.241189267486336,13.679417268279938,17.041792438426054,-11.158666610717773,18.420170418918133,,
N4,2,entry,PS,28,200,14.0,0,1,5,204,10.14515511214733,10.0947847366333,14.476481914520264,15.43471655845642,17.579542331695553,0.8896776437759399,18.917821884155273,4.811316930409521,4.220985412597656,10.020317649841308,11.809185695648189,14.323035831451406,0.0058114612475037575,17.353605270385742,-5.333838181737811,-5.140179991722107,0.6490297794342038,2.16500821113586,4.850699132680892,-16.213018647395074,5.460019111633301,0,100
N4,2,entry,RS,11,100,11.0,0,0,2,102,10.965584667921066,10.927775382995605,14.978637218475344,16.995656871795653,20.07482517242432,1.1150139570236206,20.642995834350586,4.46991860230919,4.096575498580933,8.48686628341675,10.98032808303833,12.770781593322758,0.005240275990217924,13.515713691711426,-6.495666065611877,-6.807186603546143,0.09983739852905696,1.4905673027038564,2.8143024921417257,-16.340905904769897,3.1762895584106445,,
N4,2,selected,NS,869,1000,86.9,0,191,201,1010,10.661985225580633,10.532875061035156,15.260393428802491,16.55977449417114,18.260329017639158,0.10957358032464981,21.35472869873047,4.938805981725687,4.480934143066406,10.110161685943604,11.86575045585632,15.176575107574461,0.0012251974549144506,19.523468017578125,5.723179243854945,6.111349582672119,11.794577184319499,12.981111913919449,16.447216928601264,-11.036842286586761,18.305434208363295,,
