candidate_id,feasible,reasons,arm,batch,screen
N4,True,,N4,1,FIXED_NO_SCREEN
N4,True,,N4,2,FIXED_NO_SCREEN
N4,True,,N4,3,FIXED_NO_SCREEN
N4,True,,N4,4,FIXED_NO_SCREEN
N4,True,,N4,5,FIXED_NO_SCREEN
N4,True,,N4,6,FIXED_NO_SCREEN
N4,True,,N4,7,FIXED_NO_SCREEN
N4,True,,N4,8,FIXED_NO_SCREEN
N4,True,,N4,9,FIXED_NO_SCREEN
N4,True,,N4,10,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,1,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,2,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,3,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,4,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,5,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,6,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,7,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,8,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,9,FIXED_NO_SCREEN
REFIT4,True,,REFIT4,10,FIXED_NO_SCREEN
L0.75-1,True,,L75,1,FIXED_NO_SCREEN
L0.75-1,True,,L75,2,FIXED_NO_SCREEN
L0.75-1,True,,L75,3,FIXED_NO_SCREEN
L0.75-1,True,,L75,4,FIXED_NO_SCREEN
L0.75-1,True,,L75,5,FIXED_NO_SCREEN
L0.75-1,True,,L75,6,FIXED_NO_SCREEN
L0.75-1,True,,L75,7,FIXED_NO_SCREEN
L0.75-1,True,,L75,8,FIXED_NO_SCREEN
L0.75-1,True,,L75,9,FIXED_NO_SCREEN
L0.75-1,True,,L75,10,FIXED_NO_SCREEN
T0.75-1,True,,T75,1,FIXED_NO_SCREEN
T0.75-1,True,,T75,2,FIXED_NO_SCREEN
T0.75-1,True,,T75,3,FIXED_NO_SCREEN
T0.75-1,True,,T75,4,FIXED_NO_SCREEN
T0.75-1,True,,T75,5,FIXED_NO_SCREEN
T0.75-1,True,,T75,6,FIXED_NO_SCREEN
T0.75-1,True,,T75,7,FIXED_NO_SCREEN
T0.75-1,True,,T75,8,FIXED_NO_SCREEN
T0.75-1,True,,T75,9,FIXED_NO_SCREEN
T0.75-1,True,,T75,10,FIXED_NO_SCREEN
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,1,DYNAMIC
N4,True,,L4D,1,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,2,DYNAMIC
N4,True,,L4D,2,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,3,DYNAMIC
N4,True,,L4D,3,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,4,DYNAMIC
N4,True,,L4D,4,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,5,DYNAMIC
N4,True,,L4D,5,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,6,DYNAMIC
N4,True,,L4D,6,DYNAMIC
L0.75-0,False,CURRENT_MEAN,L4D,7,DYNAMIC
N4,True,,L4D,7,DYNAMIC
L0.75-0,True,,L4D,8,DYNAMIC
N4,True,,L4D,8,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,L4D,9,DYNAMIC
N4,True,,L4D,9,DYNAMIC
L0.75-0,False,CURRENT_MEAN,L4D,10,DYNAMIC
N4,True,,L4D,10,DYNAMIC
L0.75-0.5,True,,LD,1,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,1,DYNAMIC
L0.75-1,True,,LD,1,DYNAMIC
L1-0.5,True,,LD,1,DYNAMIC
L1-1,True,,LD,1,DYNAMIC
N4,True,,LD,1,DYNAMIC
L0.75-0.5,True,,LD,2,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,2,DYNAMIC
L0.75-1,True,,LD,2,DYNAMIC
L1-0.5,True,,LD,2,DYNAMIC
L1-1,True,,LD,2,DYNAMIC
N4,True,,LD,2,DYNAMIC
L0.75-0.5,True,,LD,3,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,3,DYNAMIC
L0.75-1,True,,LD,3,DYNAMIC
L1-0.5,True,,LD,3,DYNAMIC
L1-1,True,,LD,3,DYNAMIC
N4,True,,LD,3,DYNAMIC
L0.75-0.5,False,PAST_MEAN,LD,4,DYNAMIC
L0.75-0,False,CURRENT_MEAN,LD,4,DYNAMIC
L0.75-1,False,PAST_MEAN,LD,4,DYNAMIC
L1-0.5,True,,LD,4,DYNAMIC
L1-1,True,,LD,4,DYNAMIC
N4,True,,LD,4,DYNAMIC
L0.75-0.5,True,,LD,5,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,5,DYNAMIC
L0.75-1,True,,LD,5,DYNAMIC
L1-0.5,True,,LD,5,DYNAMIC
L1-1,True,,LD,5,DYNAMIC
N4,True,,LD,5,DYNAMIC
L0.75-0.5,True,,LD,6,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,6,DYNAMIC
L0.75-1,True,,LD,6,DYNAMIC
L1-0.5,True,,LD,6,DYNAMIC
L1-1,True,,LD,6,DYNAMIC
N4,True,,LD,6,DYNAMIC
L0.75-0.5,True,,LD,7,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,7,DYNAMIC
L0.75-1,True,,LD,7,DYNAMIC
L1-0.5,True,,LD,7,DYNAMIC
L1-1,True,,LD,7,DYNAMIC
N4,True,,LD,7,DYNAMIC
L0.75-0.5,True,,LD,8,DYNAMIC
L0.75-0,False,CURRENT_MEAN,LD,8,DYNAMIC
L0.75-1,True,,LD,8,DYNAMIC
L1-0.5,True,,LD,8,DYNAMIC
L1-1,True,,LD,8,DYNAMIC
N4,True,,LD,8,DYNAMIC
L0.75-0.5,True,,LD,9,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,9,DYNAMIC
L0.75-1,True,,LD,9,DYNAMIC
L1-0.5,True,,LD,9,DYNAMIC
L1-1,True,,LD,9,DYNAMIC
N4,True,,LD,9,DYNAMIC
L0.75-0.5,True,,LD,10,DYNAMIC
L0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,LD,10,DYNAMIC
L0.75-1,True,,LD,10,DYNAMIC
L1-0.5,True,,LD,10,DYNAMIC
L1-1,True,,LD,10,DYNAMIC
N4,True,,LD,10,DYNAMIC
N4,True,,TD,1,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,1,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,1,DYNAMIC
T0.75-1,True,,TD,1,DYNAMIC
T1-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,1,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,1,DYNAMIC
T1-1,True,,TD,1,DYNAMIC
N4,True,,TD,2,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,2,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,2,DYNAMIC
T0.75-1,False,CURRENT_MEAN;PAST_MEAN,TD,2,DYNAMIC
T1-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,2,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,2,DYNAMIC
T1-1,False,CURRENT_MEAN;PAST_MEAN,TD,2,DYNAMIC
N4,True,,TD,3,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,3,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,3,DYNAMIC
T0.75-1,False,PAST_MEAN,TD,3,DYNAMIC
T1-0.5,False,PAST_MEAN,TD,3,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,3,DYNAMIC
T1-1,False,PAST_MEAN,TD,3,DYNAMIC
N4,True,,TD,4,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,4,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,4,DYNAMIC
T0.75-1,True,,TD,4,DYNAMIC
T1-0.5,False,CURRENT_MEAN,TD,4,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,4,DYNAMIC
T1-1,True,,TD,4,DYNAMIC
N4,True,,TD,5,DYNAMIC
T0.75-0.5,False,CURRENT_STRICT_IDS;PAST_MEAN,TD,5,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,5,DYNAMIC
T0.75-1,False,PAST_MEAN,TD,5,DYNAMIC
T1-0.5,False,PAST_MEAN,TD,5,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,5,DYNAMIC
T1-1,False,PAST_MEAN,TD,5,DYNAMIC
