arm,batch,tensor,dtype,shape,finite,raw_sha256,header_bytes_sha256,norm,bytes,checkpoint_sha256
N4,1,W4,torch.float32,"[4096, 14336]",True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,92ddb99bf22538d28efa4e24ab157338a967a4f257fde072d398894b44b15a48,77.38563537597656,234881024,b9dd31e1dd90005ad1b3300c4c2a28db74b10d73ee4c29b61133ae8d8e532891
N4,1,W8,torch.float32,"[4096, 14336]",True,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,25561ed3fa92c403f3b3609356ee3b79887139c61b0efba81e151172db44b900,78.18721008300781,234881024,b9dd31e1dd90005ad1b3300c4c2a28db74b10d73ee4c29b61133ae8d8e532891
N4,1,M4,torch.float32,"[1, 14336, 14336]",True,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,16367d6c364439016b6c296b7c44108d559be918e6fa02fa64c69768c1b5a7e5,93.57093048095703,822083584,b9dd31e1dd90005ad1b3300c4c2a28db74b10d73ee4c29b61133ae8d8e532891
N4,1,M8,torch.float32,"[1, 14336, 14336]",True,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,a0b024ce0ae354fae9fa2b049333132184fa800a2439396c0caf9d5b09e47025,0.0,822083584,b9dd31e1dd90005ad1b3300c4c2a28db74b10d73ee4c29b61133ae8d8e532891
N4,5,W4,torch.float32,"[4096, 14336]",True,a9e896b8f71f4c15373daa22ec18c44e212e5c1ce13cc4e0b654299d2c81bbb7,bb8a6ac1ad6bf648e159dd79d555fd932b2ad8604be1fbea7730a2efa88d793a,78.90921020507812,234881024,69da2868a6ff8bcbd15e76e14cb022ad3a1793de3312ad8af8969656f90c5110
N4,5,W8,torch.float32,"[4096, 14336]",True,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,25561ed3fa92c403f3b3609356ee3b79887139c61b0efba81e151172db44b900,78.18721008300781,234881024,69da2868a6ff8bcbd15e76e14cb022ad3a1793de3312ad8af8969656f90c5110
N4,5,M4,torch.float32,"[1, 14336, 14336]",True,85652ee2cef8a9271e5ba5db7f765c89c2af1137f92daed20ebbf78cc88ed34b,f4f0fa77465e5b8045ef5928842acac87e9d86f225e800198c230bc104a8bd93,316.3362121582031,822083584,69da2868a6ff8bcbd15e76e14cb022ad3a1793de3312ad8af8969656f90c5110
N4,5,M8,torch.float32,"[1, 14336, 14336]",True,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,a0b024ce0ae354fae9fa2b049333132184fa800a2439396c0caf9d5b09e47025,0.0,822083584,69da2868a6ff8bcbd15e76e14cb022ad3a1793de3312ad8af8969656f90c5110
N4,10,W4,torch.float32,"[4096, 14336]",True,4d54868d1222ff9b92cc5249fe81b78429fddaa572af4fff1dbb78d5b938e1dc,838b7e15bc2ad3062a8053c72d44a2ff12ce4f85a066bb207c73f840c2ce8bd2,81.04903411865234,234881024,50d791b30dc4f5ff16e996ca9d920f9cec8dd8c73af6fee2f645f2a42fcc076d
N4,10,W8,torch.float32,"[4096, 14336]",True,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,25561ed3fa92c403f3b3609356ee3b79887139c61b0efba81e151172db44b900,78.18721008300781,234881024,50d791b30dc4f5ff16e996ca9d920f9cec8dd8c73af6fee2f645f2a42fcc076d
