arm,batch,candidate,status,action_norm_cpu,action_norm_stored,action_norm_abs_diff
N4,1,N4,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
N4,2,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.71136987798354,7.71136987798354,0.0
N4,3,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8385920077260876,7.8385920077260876,0.0
N4,4,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8014973235883645,7.8014973235883645,0.0
N4,5,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.824510436564866,7.824510436564866,0.0
N4,6,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.213161757253289,8.213161757253289,0.0
N4,7,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.211082227704994,8.211082227704994,0.0
N4,8,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.135063794196299,8.135063794196299,0.0
N4,9,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.633953693329415,8.633953693329415,0.0
N4,10,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.59634070037267,8.59634070037267,0.0
REFIT4,1,REFIT4,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
REFIT4,2,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.835088442287813,7.835088442287814,8.881784197001252e-16
REFIT4,3,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.255173319934336,7.255173319934335,8.881784197001252e-16
REFIT4,4,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,6.979013106055374,6.979013106055374,0.0
REFIT4,5,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,6.7199535980866045,6.719953598086604,8.881784197001252e-16
REFIT4,6,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.050060121561579,7.050060121561578,8.881784197001252e-16
REFIT4,7,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.435650964703267,7.4356509647032665,8.881784197001252e-16
REFIT4,8,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.476801653159684,7.476801653159684,0.0
REFIT4,9,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.388864310054648,7.388864310054648,0.0
REFIT4,10,REFIT4,CPU_EXACT_STORED_WEIGHT_HASH,7.459725796438617,7.459725796438616,8.881784197001252e-16
L75,1,L0.75-1,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
L75,2,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.19471509230082,8.194715092300822,1.7763568394002505e-15
L75,3,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.550297073546518,7.550297073546517,8.881784197001252e-16
L75,4,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.490148120075751,7.490148120075751,0.0
L75,5,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.246264838620983,7.246264838620983,0.0
L75,6,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.425946215383948,7.425946215383947,8.881784197001252e-16
L75,7,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.684790969280805,7.684790969280806,8.881784197001252e-16
L75,8,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.747048512967386,7.747048512967386,0.0
L75,9,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.164949214394282,8.164949214394282,0.0
L75,10,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.247317640660567,8.247317640660565,1.7763568394002505e-15
T75,1,T0.75-1,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
T75,2,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,20.128686087341887,20.128686087341887,0.0
T75,3,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,20.895847896572015,20.895847896572015,0.0
T75,4,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,21.358943196384832,21.358943196384832,0.0
T75,5,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,21.915577602765087,21.91557760276509,3.552713678800501e-15
T75,6,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,22.14576216752167,22.14576216752167,0.0
